Variants,Redewendung,Bedeutung,Beispiele
['wie gesagt'],wie gesagt,wie ich bereits gesagt habe,"['Bisher, wie gesagt, standen sich diese Meinungen unversöhnlich gegenüber.']"
"['gesagt, getan']","gesagt, getan","den Worten, der Ankündigung folgte unmittelbar die Tat, die Ausführung","['Man beschloss, ein neues Verwaltungsgebäude zu bauen, und – gesagt, getan – schon bald ragte ein Wolkenkratzer in den Himmel.']"
"['lass dir das gesagt sein!', 'lassen Sie sich das gesagt sein!']",lass dir/lassen Sie sich das gesagt sein!,merke dir/merken Sie sich das und richte dich/richten Sie sich danach!,"['Wir wollen dich nicht noch einmal in unserem Vereinslokal sehen, lass dir das gesagt sein!']"
['nicht gesagt sein'],nicht gesagt sein,nicht sicher sein,"['Es ist nicht gesagt, dass er auch tatsächlich kommt. Dass das Lokal geschlossen wird, ist gar nicht einmal gesagt.']"
['zu viel gesagt sein'],zu viel gesagt sein,übertrieben sein,['Wir fuhren zur Privatwohnung eines Bekannten. Wohnung war zu viel gesagt– es war nur ein einziges Zimmer.']
['das Sagen haben'],das Sagen haben,"in der Position sein, Entscheidungen zu treffen, Anweisungen zu erteilen","['dass im Berliner Nachtleben Gangster das Sagen haben, die die Polizei schon gar nicht mehr fürchten', 'die Lehrer. Die haben ja das Sagen im Gemeinderat']"
['erste Sahne sein'],erste Sahne sein,"erstklassig, von hervorragender Güte sein","['Was der spielt und wie der spielt, das ist allererste Sahne', 'Was die Jungs heute gezeigt haben, war allererste Sahne, sagte FC-Trainer Dirk Huber voller Stolz']"
"['andere Saiten aufziehen', 'strengere Saiten aufziehen']",andere/strengere Saiten aufziehen,strenger vorgehen,"['Der Schulleiter wird strengere Saiten aufziehen müssen, wenn er die Disziplin an seiner Schule aufrechterhalten will.', 'Immer wieder sei hinter mir hertelefoniert worden, ab sofort würden hier andere Saiten aufgezogen. Da gäbe es Wind von vorn.']"
"['verwandte Saiten in jemandem aufklingen lassen', 'eine verwandte Saite in jemandem aufklingen lassen']",verwandte Saiten/eine verwandte Saite in jemandem aufklingen lassen,"jemanden, weil er ähnlich deutet oder empfindet, ansprechen, Sympathie empfinden lassen","['weil das Heldische in ihm eine verwandte Saite in uns anrührt', 'Ich sah, dass es sein Prinzip war, den unteren Schichten zu dienen. Das ließ in mir sogleich eine verwandte Saite erklingen']"
['einen Salamander reiben'],einen Salamander reiben,"die Gläser dreimal auf dem Tisch reiben, leeren und nach kurzem Trommeln auf einen Schlag niedersetzen",['Und nun reiben wir alle zusammen einen Salamander auf unsere Alten Herren!']
"['da hast du den Salat!', 'da haben wir den Salat!']",da hast du/haben wir den Salat!,"Ausruf des Ärgers, wenn etwas missglückt ist oder etwas Unangenehmes eingetreten ist","['So, jetzt haben wir den Salat Jetzt sieh du zu, dass wir wieder aus der Patsche rauskommen, du hast uns ja schließlich reingerissen', 'Jetzt hast du den Salat, sagte Lothar zu Inge']"
['mach keinen Salat!'],mach keinen Salat!,reg dich nicht auf!,"['Mach keinen Salat, das bisschen Sprudelwasser gibt bestimmt keine Flecken!']"
['der ganze Salat'],der ganze Salat,das alles,"['Nachdem nun die Schuldenbremse beschlossen wurde, wird nach der Bundestagswahl natürlich die Frage auftauchen, wer für diesen ganzen Salat zahlen soll', 'Ihr müsst den Tank abbauen, denn unter dem Tank ist der ganze Salat verklemmt']"
"['mit allen Salben geschmiert sein', 'mit allen Salben gerieben sein']",mit allen Salben geschmiert/gerieben sein,"verschlagen, gewitzt, abgebrüht sein","['Der Bursche ist mit allen Salben geschmiert, dem macht keiner etwas vor. Man muss in diesem Gewerbe schon mit allen Salben gerieben sein.']"
['einen langen Salm machen'],einen langen Salm machen,umständlich herumreden,"['Hoffentlich macht er keinen langen Salm, sondern gibt bald das kalte Büfett frei – ich sterbe vor Hunger!']"
['attisches Salz'],attisches Salz,geistreicher Witz,"['Das neue Theaterstück ist mit Tiefsinn überladen; es fehlt das attische Salz, das die früheren Werke des Autors so vergnüglich und unterhaltsam macht.']"
['Salz und Brot macht Wangen rot'],Salz und Brot macht Wangen rot,"einfache, kräftige Nahrung erhält die Gesundheit.",x
['das Salz in der Suppe'],das Salz in der Suppe,das eigentlich Interessante an einer Sache,['Ohne das begeisterungsfähige Publikum im Vogtland würde das Salz in der Suppe irgendwie fehlen.']
['weder Salz noch Schmalz sein'],weder Salz noch Schmalz sein,"nichts Richtiges, nur eine halbe Sache sein","['Was du bisher gemacht hast, ist weder Salz noch Schmalz, du musst dich endlich mal für eine klare Linie entscheiden.']"
['jemandem nicht das Salz in der Suppe gönnen'],jemandem nicht das Salz in der Suppe gönnen,"sehr missgünstig, neidisch auf jemanden sein",['Sie hatte immer sehr freundlich mit ihrem Schwiegersohn getan – dabei gönnte sie dem jungen Paar nicht das Salz in der Suppe!']
"['nicht das Salz zum Brot haben', 'nicht das Salz zur Suppe haben']",nicht das Salz zum Brot/zur Suppe haben,"Mangel, Not leiden","['Wie sollen wir denn diese Steuern zahlen, wenn wir seit Jahren nicht einmal das Salz zum Brot haben! Die Einwanderer hatten in den ersten Jahren nicht das Salz zur Suppe.']"
['weder Salz noch Schmalz haben'],weder Salz noch Schmalz haben,"gehaltlos, kraftlos sein",['Seine Rede hatte weder Salz noch Schmalz. Das Programm des renommierten Kabaretts hatte diesmal weder Salz noch Schmalz.']
"['Salz auf jemandes Wunde streuen', 'Salz auf die Wunde streuen', 'Salz in jemandes Wunde streuen', 'Salz in die Wunde streuen']",Salz auf jemandes/auf die/in jemandes/in die Wunde streuen,"jemandes unangenehme Situation, jemandes Kummer durch eine schonungslose Äußerung noch unangenehmer, schmerzhafter machen","['Ich weiß selbst, dass ich mich wie ein Trottel benommen habe; du musst nicht auch noch Salz auf meine Wunde streuen!']"
['zur Salzsäule erstarren'],zur Salzsäule erstarren,"plötzlich starr, unbeweglich dastehen","['Während irgend so ein Vieh mich bellend ansprang, musste ich, aus dem Lauf zur Salzsäule erstarrt, mir stereotyp anhören Der ist ganz harmlos', 'Diese allseitige lautstarke Freudenkundgebung weckte die entschwundenen Lebensgeister meiner zur Salzsäule erstarrten Schwester wieder']"
"['die fehlt mir noch in meiner Sammlung', 'der fehlt mir noch in meiner Sammlung']",die/der fehlt mir noch in meiner Sammlung,der/die kommt mir sehr ungelegen,"['Ach, du liebe Zeit, da kommt der Mann von der Versicherung – der fehlt mir noch in meiner Sammlung!']"
['samt und sonders'],samt und sonders,"alle ohne Ausnahme, ohne Unterschied",['Sie tragen samt und sonders nichts als einen Lendenschurz.']
['in Samt und Seide'],in Samt und Seide,in auffallend kostbare Kleidung,"['Der Saal war von Hunderten von Kerzen hell erleuchtet, die Gäste in Samt und Seide schritten über das spiegelnde Parkett.']"
"['jemanden mit Samthandschuhen anfassen', 'jemanden mit Samtpfötchen anfassen']",jemanden mit Samthandschuhen/Samtpfötchen anfassen,jemanden besonders zartfühlend und rücksichtsvoll behandeln,"['Die Kritiker fassten die junge Autorin nicht mit Samthandschuhen an.', 'Während Wirtschaftsverbrecher gewissermaßen als Kavaliersdelinquenten betrachtet und mit Samthandschuhen angefasst werden.']"
['wie Sand am Meer'],wie Sand am Meer,"zahllos, im Überfluss",['Diese nachgemachten Barocksessel gibts wie Sand am Meer. Ehrgeizige Nachwuchsschauspieler findet man wie Sand am Meer.']
['jemandem Sand in die Augen streuen'],jemandem Sand in die Augen streuen,"jemandem etwas vormachen, jemanden täuschen","['weil diese Völker, die auf vielen Gebieten keine Erfahrung und keinerlei Kompetenz haben, sich leicht Sand in die Augen streuen lassen.']"
['Sand im Getriebe'],Sand im Getriebe,"ein Hindernis, das den Ablauf von etwas stört","['In der Firma herrschen desolate Zustände, seit Monaten ist Sand im Getriebe.', 'Es war sein erster Besuch Er verlief sehr angenehm, es war einmal kein Sand im militärischen Getriebe.']"
['auf Sand gebaut haben'],auf Sand gebaut haben,sich auf etwas höchst Unsicheres verlassen,"['Mit den Chemieaktien haben Sie bestimmt nicht auf Sand gebaut. Er hatte an die Solidarität seiner Freunde geglaubt, doch er musste erkennen, dass er auf Sand gebaut hatte.']"
['auf Sand gebaut sein'],auf Sand gebaut sein,"äußerst unsicher, zum Scheitern verurteilt sein","['Das ganze Unternehmen ist auf Sand gebaut, das ist ganz offensichtlich.']"
['jemanden auf Sand setzen'],jemanden auf Sand setzen,jemandes Pläne vereiteln,"['Seit er im Finanzausschuss sitzt, hat er so manchen Kollegen auf den Sand gesetzt.']"
['auf dem Sand sitzen'],auf dem Sand sitzen,"nicht mehr weiterkönnen, festsitzen","['Wenn der Etat wie geplant gekürzt wird, sitzt das Ministerium mit dem neuen Forschungsprogramm auf dem Sand.']"
['etwas in den Sand setzen'],etwas in den Sand setzen,"(Geld) verlieren, einbüßen","['Ewald Lienen wollte vor zwei Jahren aufhören, kickte dann aber weiter, nachdem er bei einem Anlageberater viel Geld in den Sand gesetzt hatte.']"
['etwas in den Sand setzen'],etwas in den Sand setzen,mit etwas einen Misserfolg haben,"['Sie setzte die Klausur in den Sand.', 'So wurde Geissler in der vergangenen Spielzeit für drei Jahre engagiert, setzte als Regisseur Schillers Jungfrau ebenso in den Sand wie Bertolt Brechts Puntila.']"
['im Sande verlaufen'],im Sande verlaufen,"nicht erfolgreich sein, nach und nach aufgegeben werden, aufhören",['Nach der ersten Begeisterung sind die Aktivitäten zugunsten der Welthungerhilfe im Sande verlaufen. Durchsuchung Die Untersuchungen verlaufen im Sande.']
['bei jemandem war der Sandmann'],bei jemandem war der Sandmann,jemand ist müde,"['Oh, ich glaube, bei unserer Jüngsten war schon der Sandmann da – jetzt aber schnell ins Bettchen!']"
['sanft wie ein Lamm'],sanft wie ein Lamm,sehr sanftmütig,"['Der grobschlächtige Kerl machte einen gewalttätigen Eindruck, aber er war sanft wie ein Lamm.']"
['auf die Sanfte'],auf die Sanfte,liebenswürdig und schonungsvoll,['Die Sache werden wir auf die Sanfte erledigen.']
['mit Sang und Klang'],mit Sang und Klang,mit Gesang und Musik,['Ein festlicher Zug bewegte sich mit Sang und Klang durch die Straßen der Stadt.']
['mit Sang und Klang'],mit Sang und Klang,beschämend deutlich,['Ich war beim Vorphysikum mit Sang und Klang durchgefallen.']
['ohne Sang und Klang'],ohne Sang und Klang,ohne viel Aufhebens,"['Es gab nur eine kurze Feier, und anschließend fand die Preisverleihung ohne Sang und Klang statt.']"
['sang- und klanglos'],sangund klanglos,ohne Aufhebens,"['Der Verlag hat seine Produktion sangund klanglos eingestellt. Jetzt braucht er mich nicht mehr. Doch hätte ich mir nie träumen lassen, dass er das auch mit mir fertigbrächte, sangund klanglos abzuziehen.']"
"['etwas heiß sanieren', 'etwas warm sanieren']",etwas heiß/warm sanieren,etwas durch Brandstiftung zerstören,"['So wie der Kneipenwirt in Köln, der sich heiß sanieren wollte. Sein Fehler Er zahlte die letzte vor dem Brand fällige Versicherungsprämie pünktlich. Das war seltsam. Denn jahrelang hatte er die Prämien erst nach Mahnungen überwiesen.']"
"['heiße Sanierung', 'warme Sanierung']",heiße/warme Sanierung,Brandstiftung,"['So waren die Flammen möglicherweise ein würdevolles Ende des alten Hotels. Vielleicht, so wird gemunkelt, eine heiße Sanierung', 'Oft versuchen Brandstifter mit einer sogenannten warmen Sanierung auch, Vorschriften des Denkmalschutzes zu umgehen, die einen Abriss verhindern']"
['am Sankt-Nimmerleins-Tag'],am Sankt-Nimmerleins-Tag,"nie, niemals","['Wann siehst du ihn wieder? – Wenn es nach mir geht, am Sankt-NimmerleinsTag!']"
"['auf den Sankt-Nimmerleins-Tag', 'bis zum Sankt-Nimmerleins-Tag']",auf den/bis zum Sankt-Nimmerleins-Tag,"auf ewig, bis zu einem niemals eintretenden Zeitpunkt","['Die Hausbewohner führen die Reparaturen selbst aus, das Warten auf den Handwerker wird zu einem Warten bis zum SanktNimmerleins-Tag.']"
['wie die Sardinen in der Büchse'],wie die Sardinen in der Büchse,"sehr eng, gedrängt",['Jeden Morgen standen sie in der Straßenbahn wie die Sardinen in der Büchse.']
['dass du in keinen Sarg mehr passt!'], dass du in keinen Sarg mehr passt!,verstärkende Ergänzung einer Drohrede,"['Ich hau dich zusammen, dass du in keinen Sarg mehr passt!']"
"['immer ran an den Sarg, und mitgeweint!']","immer ran an den Sarg, und mitgeweint!",Aufforderung zum Mitmachen.,x
"['jemanden satthaben', 'jemanden satt sein']",jemanden satthaben jemanden satt sein,"jemandes überdrüssig sein, jemanden nicht mehr leiden, ertragen können","['Wir waren die ganze Verwandtschaft mittlerweile ziemlich satt.', 'Ich stand auf. Ich hatte ihn herzlich satt.']"
"['etwas satthaben', 'etwas satt sein']",etwas satthaben etwas satt sein,"einer Sache überdrüssig sein, etwas leid sein","['Sie war die ewigen Nörgeleien des Chefs satt und reichte ihre Kündigung ein.', 'Vater hatte es satt, andauernd Holzwolle in tote Tiere zu tun und dafür bloß einsfünfundachtzig zu kriegen.']"
"['nicht satt werden, etwas zu tun']","nicht satt werden, etwas zu tun","nicht müde werden, etwas zu tun; etwas immer wieder tun","['Sie wurde nicht satt, die herrlichen Auslagen zu bewundern. Sie wurden nicht satt, ihm zuzuhören, und er blies die Schlager.']"
"['jemanden aus dem Sattel heben', 'jemanden aus dem Sattel werfen']",jemanden aus dem Sattel heben/werfen,jemanden aus einer einflussreichen Position drängen,"['Mithilfe der Masse kann sie die grundherrliche und geldmächtige Elite aus dem Sattel werfen', 'Die Abgeordneten würden doch nicht ihre Kanzlerin aus dem Sattel heben wollen']"
"['jemanden aus dem Sattel heben', 'jemanden aus dem Sattel werfen']",jemanden aus dem Sattel heben/werfen,"jemanden sehr verunsichern, jemandes Versagen herbeiführen",['Meine unerwartete Frage warf den alten Rat fast aus dem Sattel.']
['in allen Sätteln gerecht sein'],in allen Sätteln gerecht sein,"sich auf allen Gebieten auskennen, allen Aufgaben gewachsen sein","['Sie suchen für den Aufbau des neuen Zweigwerkes einen Betriebsleiter, der auf kaufmännischem Gebiet in allen Sätteln gerecht ist.', 'Auch Sherman, kurz Sherry, der in allen Sätteln gerechte Journalist.']"
"['jemanden in den Sattel heben', 'jemandem in den Sattel helfen']",jemanden in den Sattel heben/jemandem in den Sattel helfen,jemandem zu einer bestimmten Position verhelfen,"['Dem linken Flügel der Partei gelang es nicht, bei den Vorstandswahlen zwei eigene Kandidaten in den Sattel zu heben. Der deutsche Rätekongress hob die bürgerliche Restauration in den Sattel', 'die mit den Bolschewiken gegen den Zarismus gekämpft und ihnen erst in den Sattel geholfen hatten']"
['fest im Sattel sitzen'],fest im Sattel sitzen,"eine sichere, ungefährdete Position innehaben",['Als Schwiegersohn des Präsidenten sitzt er jetzt noch fester im Sattel als früher.']
['sich im Sattel halten'],sich im Sattel halten,sich in seiner Position behaupten,"['Sie gehörte zu den wenigen Regierungsmitgliedern, die sich trotz der Spionageaffäre im Sattel halten konnten.', 'Die Weimarer Koalition konnte sich nur noch mit Hilfe von Geschäftsordnungskniffen einigermaßen im Sattel halten.']"
['sich an etwas nicht satthören können'],sich an etwas nicht satthören können,etwas immer wieder hören wollen,"['An klassischer Musik kann er sich einfach nicht satthören.', 'Der Arzt konnte sich an dem Unsinn nicht satthören.']"
['sich an etwas nicht sattsehen können'],sich an etwas nicht sattsehen können,etwas immer wieder sehen wollen,"['Leute, die sich nicht sattsehen können an dieser Akropolis.']"
"['mach ’n Satz!', 'mach ’nen Satz!']",mach ’n/’nen Satz!,verschwinde!,['Bist drei Tage hier und willst das große Maul haben Mach ’n Satz.']
['wie eine gesengte Sau'],wie eine gesengte Sau,"(in Bezug auf jemandes Tun, Verhalten) furchtbar schlecht","['Mein Chef verlangte von mir, dass ich wie eine gesengte Sau schreibe', 'Ich fuhr so schnell ich konnte. Ich fuhr wie eine gesengte Sau']"
['wie Sau'],wie Sau,"sehr intensiv, in höchstem Maße","['Ja, ich komme im Fernsehen total ruhig und gefasst rüber, als ob es das Normalste auf der Welt sei – dabei bin ich in Wirklichkeit nervös wie Sau', 'Daneben braucht es jede Menge Berater, die aber Consultants heißen. Diese finden zum Beispiel heraus, welches Produkt sich verkaufen lässt wie die Sau']"
['keine Sau'],keine Sau,niemand,"['Das interessiert doch keine Sau. mir hilft keine Sau, ich muss mir selber helfen.']"
['die wilde Sau spielen'],die wilde Sau spielen,"sich unerträglich, rüpelhaft benehmen, andere schikanieren","['Der Boss spielte wieder einmal die wilde Sau. Wer hier anfängt, die wilde Sau zu spielen, der fliegt sofort raus!']"
['die Sau rauslassen'],die Sau rauslassen,"sich ausnahmsweise nicht die gewohnte Selbstdisziplin, Mäßigung auferlegen, sondern sich stattdessen ganz seiner momentanen Stimmung gemäß verhalten","['Offiziell wurde getrauert, anschließend am Stammtisch ließ man die Sau raus', 'In der Kabine haben wir uns dann angebrüllt wie die Stiere. Wir haben richtig die Sau rausgelassen']"
['eine Sau durchs Dorf treiben'],eine Sau durchs Dorf treiben,"mit einer Nachricht, Ankündigung Aufmerksamkeit erregen","['In Sachen Gesundheitsreform wird jetzt ständig eine andere Sau durchs Dorf getrieben. die Zusammenfassung bestimmter medialer Kräfte, die um mit Adenauer zu reden, jeden Tag eine andere Sau durchs Dorf treiben.']"
"['dass es der Sau graust', 'dass es die Sau graust']",dass es der/die Sau graust,"zum Davonlaufen, zum Sichabwenden","['Ihre pauschalen Ableitungen sind so falsch aufgebaut, dass es der Sau graust', 'Ein Durcheinander, dass es die Sau graust!, kommentierte der für Opel zuständige Bezirksleiter am Dienstagabend die Lage an der Übernahmefront']"
['unter aller Sau'],unter aller Sau,"sehr schlecht, miserabel","['Meine Schrift war unter aller Sau', 'Die Richtung war schlecht, der Vordermann unzulänglich, die Haltung unter aller Sau']"
"['jemanden zur Sau machen', 'etwas zur Sau machen']","jemanden, etwas zur Sau machen","jemanden, etwas vernichtend kritisieren, beschimpfen","['Machen Sie unsere Spieler nicht zur Sau, wandte sich Ehrenpräsident an Presse und Zuschauer', 'die Edelschnulze wird zuerst waschecht imitiert und dann gnadenlos zur Sau gemacht', 'Ich hasse meinen Vater. Ich hasse alle, die mich zur Sau gemacht haben']"
['ich werd zur Sau!'],ich werd zur Sau!,Ausruf der Überraschung,"['Ich werd zur Sau – du bist ja ein Mädchen! Eiche, Perle, schreien.']"
['sauer wie eine unreife Zitrone sein'],sauer wie eine unreife Zitrone sein,sehr verärgert sein,"['Vorsicht, der Alte ist immer noch sauer wie eine unreife Zitrone wegen des geplatzten Orientgeschäftes.']"
['sich etwas sauer werden lassen'],sich etwas sauer werden lassen,"sich mit etwas abmühen, sich mit etwas große Mühe geben",['er saß am Tisch und schrieb und hatte allerhand Broschüren und Hefte um sich ausgebreitet Er ließ es sich sauer werden.']
"['gib ihm Saures', 'gebt ihm Saures']",gib/gebt ihm Saures,verprügle/verprügelt ihn tüchtig,"['Hierher, dritte Abteilung! Gebt ihnen Saures, Kinder!']"
"['trinken wie ein Loch', 'trinken wie ein Schlauch', 'trinken wie eine Senke', 'saufen wie ein Loch', 'saufen wie ein Schlauch', 'saufen wie eine Senke']",trinken/saufen wie ein Loch/wie ein Schlauch/wie eine Senke,sehr viel trinken,"['Erst saufen wie ein Schlauch und dann Auto fahren – kommt nicht infrage, mein Lieber!', 'Er hatte eine Mordswampe, soff wie ein Loch und hatte mit 19 schon einen Wagen gehimmelt', 'Der Kleine trinkt wie eine Senke und pinkelt wie ein Weltmeister']"
['zum Saufüttern'],zum Saufüttern,"reichlich, in großer Menge","['Und da gibt es nichts schönzureden, denn Schönredner haben wir bereits zum Saufüttern. 2']"
"['aus Saulus ein Paulus werden', 'vom Saulus zum Paulus werden']",aus Saulus ein Paulus/vom Saulus zum Paulus werden,aus einem Gegner einer Sache zu deren eifrigem Befürworter werden,"['In der Frage der Rentenreform ist der Ausschussvorsitzende mittlerweile aus einem Saulus zu einem Paulus geworden.', 'Welche Einflüsse hatten bewirkt, dass innerhalb weniger Monate aus dem Unentschiedenen der Entschlossene, aus Saulus ein Paulus wurde?', 'Wer könnte das besser beurteilen als dieser vom Saulus zum Paulus bekehrte Arzt']"
['in Saus und Braus leben'],in Saus und Braus leben,"ein üppiges, verschwenderisches Leben führen","['sie tun überhaupt nichts und leben in Saus und Braus', 'wenn ich einkalkuliere, dass Ihr Anteil am Bucherlös mindestens fünfzigtausend betragen wird und Sie ein Jahr lang in Saus und Braus auf Unkostenkonto leben können']"
['jemanden sausen lassen'],jemanden sausen lassen,"sich von jemandem, um dessen Freundschaft, Zuneigung, Partnerschaft man bemüht war, abwenden",['Lass ihn sausen! Er ist sowieso nicht der Richtige für dich!']
['etwas sausen lassen'],etwas sausen lassen,"etwas aufgeben, nicht weiter betreiben oder verfolgen; auf etwas verzichten","['Er ließ seine Karriere als Politiker sausen', 'Er hat frühe Erfolge als Schauspieler und lässt das Gymnasium sausen']"
['einen sausen lassen'],einen sausen lassen,eine Blähung abgehen lassen,['Sie ließ vor Schreck einen sausen und wäre vor Verlegenheit am liebsten im Boden versunken.']
"['jemandem Schach bieten', 'einer Sache Schach bieten']","jemandem, einer Sache Schach bieten","jemandem, einer Sache wirksam Widerstand leisten","['dem kommunistischen Staatschef bleibe gar nichts anderes übrig, als dem Katholizismus Schach zu bieten', 'Die Menschheit bedarf derer, die ihr aus Liebe Schach bieten und sich gegen sie auflehnen']"
"['jemanden in Schach halten', 'etwas in Schach halten']","jemanden, etwas in Schach halten","jemanden, etwas niederhalten, nicht gefährlich werden, sich nicht weiter entfalten lassen","['er, seine Frau und die beiden Kinder seien während der Durchsuchung von einem Matrosen mit der Waffe in Schach gehalten worden', 'die Tatsache, dass sie mit ein paar Herzogfamilien verwandt war, imponierte ihren Standesgenossen und hielt deren Spott in Schach']"
['jemanden schachmatt setzen'],jemanden schachmatt setzen,jemanden besiegen,"['Die allerneusten Schachcomputer sind in der Lage, einen Schachweltmeister aus Fleisch und Blut schachmatt zu setzen.']"
['jemanden schachmatt setzen'],jemanden schachmatt setzen,"jemandem jede Möglichkeit zum Handeln nehmen, ihn als Gegner ausschalten","['Durch rücksichtsloses Vorgehen war es dem Unternehmer gelungen, seine Konkurrenten schachmatt zu setzen. Die Polizei hat aus Versehen zwei gehörlose Münchner festgenommen und sie mit Pfefferspray schachmatt gesetzt.']"
"['wie aus dem Schächtelchen', 'wie aus dem Schachterl']",wie aus dem Schächtelchen/Schachterl,sauber und adrett gekleidet,"['Süß schauen Ihre beiden Kleinen aus – immer wie aus dem Schächtelchen!', 'Immer ist er wie aus dem Schachterl, der Papa.']"
['es ist schade'],es ist schade,es ist bedauerlich,"['Es ist wirklich schade, dass ihr nicht länger bleiben könnt.']"
"['schade um jemanden', 'schade um etwas']","schade um jemanden, etwas","es tut einem leid um jemanden, etwas","['Um das schöne Kleid ist es schade, das kann man nicht mehr reinigen. Schade um den Jungen, aus ihm hätte noch etwas werden können. wenn du so dumm bist, ist es nicht schade um dich.']"
"['für jemanden, für etwas zu schade sein', 'für jemanden, zu etwas zu schade sein']","für jemanden, für/zu etwas zu schade sein","zu gut für jemanden, etwas sein",['Er ist oberflächlich und nicht zuverlässig – du bist wirklich zu schade für ihn. Ich rauche doch nicht! Dafür ist mir mein Geld zu schade!']
"['sich für jemanden, für etwas zu schade sein', 'sich für jemanden, zu etwas zu schade sein']","sich für jemanden, für/zu etwas zu schade sein","aufgrund seiner Selbsteinschätzung jemand, etwas als zu gering, minderwertig nicht in Betracht ziehen, nicht akzeptieren","['Er war sich für keine Arbeit zu schade.', 'Es ist Koslowski, einer der berühmtesten Sänger des Landes, der sich für diesen Schülerchor nicht zu schade ist', 'ich möchte nicht in die Schar seiner Abenteuer eingereiht werden. Dazu bin ich mir zu schade']"
['jemandem brummt der Schädel'],jemandem brummt der Schädel,jemand hat heftige Kopfschmerzen,['Nach durchfeierter Nacht brummt ihm der Schädel.']
"['einen dicken Schädel haben', 'einen harten Schädel haben']",einen dicken/harten Schädel haben,"eigensinnig, stur sein",['Die Parteivorsitzende hat einen verdammt dicken Schädel – Kompromissbereitschaft ist ein Fremdwort für sie.']
['einen hohlen Schädel haben'],einen hohlen Schädel haben,dumm sein,"['Was hast du von ihm erwartet? Er hat einen hohlen Schädel, da kommt nichts anderes raus als Unsinn.']"
['den Schädel fluten'],den Schädel fluten,viel Alkohol trinken; sich betrinken,['Mit dir kann man sich so richtig den Schädel fluten. Um diese Zeit schon wieder den Schädel geflutet?']
['sich den Schädel einrennen'],sich den Schädel einrennen,mit seinem Eigensinn keinen Erfolg haben,"['Wenn du dich als einfacher Sachbearbeiter mit der gesamten Firmenleitung anlegst, dann wirst du dir den Schädel einrennen, das kannst du mir glauben!']"
['Schaden nehmen'],Schaden nehmen,"beeinträchtigt, geschädigt werden","['in jener Gasse hätten im achtzehnten Jahrhundert die Sänften gestanden, mit denen man, ohne Schaden an kostbaren Gewändern zu nehmen, durch Kot und Pestilenz getragen werden konnte.']"
['Schaden leiden'],Schaden leiden,"beeinträchtigt, geschädigt werden","['Die Ehrerbietung, die ich für ihn empfand, litt nicht den geringsten Schaden durch die Wahrnehmung']"
"['wer den Schaden hat, braucht für den Spott nicht zu sorgen']","wer den Schaden hat, braucht für den Spott nicht zu sorgen","man wird meist noch verspottet, wenn einem ein Unglück widerfährt.",x
"['wer den Schaden hat, spottet jeder Beschreibung']","wer den Schaden hat, spottet jeder Beschreibung",scherzhafte Abwandlung des voranstehenden Sprichwortes,"['Wer den Schaden hat, spottet jeder Beschreibung, also bedankten sich die italienischen Medien artig bei Tim Wiese, dem Goalie von Bremen', 'Wer den Schaden hat, spottet jeder Beschreibung. Schlimmer als die kabarettistische Häme, die sich hin und wieder über sie ergießt, dürfte für die Sozialdemokraten Hohn aus den eigenen Reihen sein']"
"['wer den Schaden hat, braucht für den Schrott nicht zu sorgen']","wer den Schaden hat, braucht für den Schrott nicht zu sorgen","scherzhafte Abwandlung des Sprichwortes wer den Schaden hat, braucht für den Spott nicht zu sorgen, oft auf einen Autounfall bezogen.",x
"['durch Schaden wird man klug', 'aus Schaden wird man klug']",durch/aus Schaden wird man klug,aus negativen Erfahrungen lernt man für künftiges Verhalten,"['Dabei wäre es nicht nur human, sondern auch klug von dem Öl-Multi, die schwarzen Bewohner seiner Förderstätten nicht schlechter zu behandeln als die weißen Käufer seines Benzins. Doch nicht immer wird man aus Schaden klug – manchmal auch nur gerissen.']"
"['ab mit Schaden!', 'weg mit Schaden!', 'fort mit Schaden!']",ab/weg/fort mit Schaden!,"Schluss damit, sei es, wie es wolle!","['Vergessen die Angst, vergessen Tegel und die rote Mauer und das Stöhnen und was sonst – weg mit Schaden, ein neues Leben fangen wir an.']"
['zu Schaden kommen'],zu Schaden kommen,"geschädigt, benachteiligt werden","['Durch den Betrüger sind vor allem alleinstehende Frauen zu Schaden gekommen.', 'Man darf wohl sagen, dass bisher bei allen Umwälzungen auf der Erde immer der geistige Mensch zu Schaden gekommen ist.']"
['Schadenfreude ist die reinste Freude'],Schadenfreude ist die reinste Freude,der Schaden anderer erweckt oft besondere Freude,"['Er ist fast erstickt vor Lachen, als ich mich auf die Torte gesetzt hatte – Schadenfreude ist eben die reinste Freude.']"
['sich an jemandem schadlos halten'],sich an jemandem schadlos halten,sich auf jemandes Kosten entschädigen,['Die Gläubiger werden sich an seiner Frau schadlos halten. Für die ausgefallenen Einnahmen wird sich der Veranstalter an der Konzertagentur schadlos halten.']
['sich an etwas schadlos halten'],sich an etwas schadlos halten,etwas nach Kräften konsumieren,"['Für das verregnete Sommerfest hielten wir uns am Fassbier schadlos. so verließ ich behutsam mein Bett, öffnete geräuschlos den Deckel meines kleinen Schreibpultes und hielt mich schadlos an der Schokolade.']"
