Variants,Redewendung,Bedeutung,Beispiele
"['du wirst dich, er wird sich umgucken!', 'du wirst dich, er wird sich umsehen!']","du wirst dich, er wird sich umgucken/umsehen!","du wirst, er wird sehen, dass das alles nicht so einfach, so positiv ist","['Du meinst, dass du das Studium so nebenbei erledigen kannst? Du wirst dich umgucken! Sie hält ihren neuen Freund doch tatsächlich für einen Märchenprinzen – sie wird sich noch umsehen!']"
"['etwas in Umlauf bringen', 'etwas in Umlauf setzen']",etwas in Umlauf bringen/setzen,"dafür sorgen, dass etwas weitergetragen wird","['Wer auch immer dieses Gerücht in Umlauf gesetzt hat, der wusste genau, was er damit bezweckte!', 'Täglich werden neue Forschungsergebnisse in Umlauf gebracht, die unter Umständen unseren Alltag massiv beeinflussen können.']"
"['etwas in Umlauf bringen', 'etwas in Umlauf setzen']",etwas in Umlauf bringen/setzen,als Zahlungsmittel verwenden,"['Wer Falschgeld in Umlauf bringt oder es auch nur versucht, macht sich strafbar.']"
"['in Umlauf sein', 'im Umlauf sein']",in/im Umlauf sein,"kursieren, weitergetragen werden","['Es sind Gerüchte im Umlauf, dass die gesamte Regierung demnächst umgebildet werden soll.', 'Die Bundesagentur für Arbeit warnt vor betrügerischen E-Mails, die derzeit im Umlauf sind.']"
"['in Umlauf sein', 'im Umlauf sein']",in/im Umlauf sein,als Zahlungsmittel verwendet werden,"['Es seien einige Münztypen dabei, die noch im 1Jahrhundert im Umlauf waren.']"
"['in anderen Umständen sein', 'in gesegneten Umständen sein']",in anderen/gesegneten Umständen sein,schwanger sein,"['Er schwebt wie auf Wolken, seit seine Frau in gesegneten Umständen ist. ich habs ihr noch nicht gesagt, ich kanns ihr nicht sagen Sie ist in andern Umständen.']"
"['und so weiter', 'und so fort']",und so weiter/fort,und Ähnliches,"['Nach dem Willen des Bürgermeisters sollen alle Junkies, Fixer, Dealer und so weiter aus der Innenstadt vertrieben werden. Führerschein, Wagenpapiere und so fort gehören nicht ins Handschuhfach.']"
"['und so weiter', 'und so fort']",und so weiter/fort,"und weiter wie üblich, wie gewohnt, wie erwartet","['Dann kommt die übliche Verfolgungsjagd und so weiter, und so weiter, und am Schluss siegt wie immer die Gerechtigkeit.']"
"['seit undenklichen Zeiten', 'vor undenklichen Zeiten']",seit/vor undenklichen Zeiten,seit/vor sehr langer Zeit,"['Das Dorf ist schon vor undenklichen Zeiten von seinen Bewohnern verlassen worden. Dies war der Augenblick, da Quangel lachte, zum ersten Mal seit seiner Verhaftung, nein, seit undenklichen Zeiten.']"
"['ungeschoren bleiben', 'ungeschoren davonkommen', 'ungerupft bleiben', 'ungerupft davonkommen']",ungeschoren/ungerupft bleiben/davonkommen,"keinen Nachteil, Schaden erleiden","['Cuxhavener Verwandte der Toten strengten zwar mehrere Prozesse an, doch Helmcke blieb auch diesmal ungeschoren', 'Spitzenreiter Stadtbergen wird es in Jettingen sicher nicht ganz leicht haben, ungeschoren davonzukommen', 'man muss sich über seine Verbitterung nicht wundern, wenn er sehen müsste, dass die Urheber der Krise wieder ungerupft davonkommen']"
"['jemanden ungeschoren lassen', 'jemanden ungerupft lassen']",jemanden ungeschoren/ungerupft lassen,jemanden nicht behelligen,"['Man wollte Sie verhaften, aber ich konnte den Herren beweisen, dass es vorteilhafter ist, Sie ungeschoren zu lassen.']"
"['dich hau ich ungespitzt in den Boden!', 'den hau ich ungespitzt in den Boden!']",dich/den hau ich ungespitzt in den Boden!,Drohrede,"['Der soll nur kommen, der Angeber, den hau ich ungespitzt in den Boden.']"
"['in sein Unglück rennen', 'in sein Verderben rennen']",in sein Unglück/Verderben rennen,"etwas tun, was schlimme Folgen für einen selbst haben wird","['Das kann man doch nicht mit ansehen, wie die beiden in ihr Verderben rennen!', 'Ich halte es also durchaus für möglich, dass jemand wissentlich in sein Unglück rennt.']"
"['jemanden ins Unglück bringen', 'jemanden ins Unglück stürzen']",jemanden ins Unglück bringen/stürzen,"jemanden in eine katastrophale Lage bringen, ihm großen Schaden zufügen","['Durch seine Lüge hat er sich gerettet, aber viele andere ins Unglück gebracht', 'eine echte Alternative zum fanatischen Nationalismus, der die Region ins Unglück gestürzt hat']"
"['Unkraut vergeht nicht', 'Unkraut verdirbt nicht']",Unkraut vergeht/verdirbt nicht,einem Menschen wie mir/ihm/ihr passiert nichts,"['Dass er diesen schweren Unfall ohne bleibende Schäden überstanden hat, ist ein wahres Wunder. – Tja, Unkraut vergeht nicht. Sie sollte sich um ihn keine Sorgen machen – Unkraut verdirbt nicht!']"
"['an den Unrechten kommen', 'an den Unrechten geraten', 'an die Unrechte kommen', 'an die Unrechte geraten']",an den Unrechten/die Unrechte kommen/geraten,mit etwas nicht durchkommen,['Mit ihrer nassforschen Art war sie beim Chef an den Unrechten geraten.']
"['unschuldig wie ein Lamm', 'unschuldig wie ein Kind']",unschuldig wie ein Lamm/Kind,völlig unschuldig,"['Er erklärte dem Kommissar, er sei unschuldig wie ein Lamm. Diese Frau, meine Damen und Herren, ist unschuldig wie ein neugeborenes Kind.']"
"['etwas im Urin haben', 'etwas im Urin spüren']",etwas im Urin haben/spüren,"etwas intuitiv wissen, erkennen","['Er spürt es im Urin, wenn irgendwo eine Radarfalle eingerichtet ist.', 'Eine gewisse Logik der Entwicklung sei es, dass es uns auch einmal wieder besser gehen müsse, sagte mein Bruder. Er habe das so im Urin.']"
"['jemanden zu den Urnen rufen', 'jemanden an die Urnen rufen']",jemanden zu den/an die Urnen rufen,jemanden zur Wahl auffordern,"['Vernünftig geregelte Plebiszite müssten übrigens keineswegs dazu führen, dass das Volk ständig an die Urnen gerufen wird', 'Die Wahlberechtigten der Landeshauptstadt Salzburg werden voraussichtlich noch dieses Frühjahr zu den Urnen gerufen']"
"['zu seinen Vätern heimgehen', 'zu seinen Vätern versammelt werden', 'sich zu den Vätern versammeln']",zu seinen Vätern heimgehen/versammelt werden; sich zu den Vätern versammeln,sterben,"['Sie gedachten der Helden, die in blutiger Schlacht zu ihren Vätern versammelt worden waren. Viele der besten Söhne der Stadt waren bereits heimgegangen zu ihren Vätern, da die Pest im zwölften Jahr im Lande wütete.']"
"['an jemandem Vaterstelle vertreten', 'bei jemandem Vaterstelle vertreten']",an/bei jemandem Vaterstelle vertreten,für jemanden wie ein Vater sorgen,['In all den Jahren hatte er bei seinen jüngeren Geschwistern Vaterstelle vertreten müssen. Du sollst Vaterstelle an dem Kind vertreten.']
"['jemandem kann man das Vaterunser durch die Backen blasen', 'jemandem kann man das Vaterunser durch die Backen lesen']",jemandem kann man das Vaterunser durch die Backen blasen/lesen,jemand ist sehr mager und hat stark eingefallene Wangen,"['Der Kopf war noch ungefähr so groß wie bei der Überfahrt, aber man konnte ihm das Vaterunser durch die Backen lesen.']"
"['verarschen kann ich mich alleine', 'verscheißern kann ich mich alleine']",verarschen/verscheißern kann ich mich alleine,"Ausdruck der Verärgerung darüber, dass man sich nicht ernst genommen fühlt","['Mac Morley brabbelte etwas, das wie Verarschen kann ich mich alleine klang und schwieg für den Rest der Fahrt verbissen', 'Wie sagte doch Sabrina zu Jürgen nach einem seiner ständigen Streiche Ey, Alter, verscheißern kann ich mich alleine']"
"['es nicht besser verdienen', 'es nicht anders verdienen']",es nicht besser/anders verdienen,"zu Recht Nachteile haben, ein Missgeschick erleiden","['Wer so leichtfertig mit seinem Geld umgeht, hat es nicht besser verdient.', 'Geh mit mir um wie mit der letzten Dirne! Ich verdiene es nicht anders. 1 Brötchen, Kuppelpelz, Mark, Nase, Sporen.']"
"['in Verdrückung geraten', 'in Verdrückung kommen']",in Verdrückung geraten/kommen,in Bedrängnis kommen,"['Ulrika ließ es sich nicht nehmen, mit den Jury-Sprechern zu flirten, was sie aber offensichtlich ab und zu in zeitliche Verdrückung geraten ließ.']"
"['sein Amt zur Verfügung stellen', 'seinen Posten zur Verfügung stellen']",sein Amt/seinen Posten zur Verfügung stellen,von seinem Amt/seinem Posten zurücktreten,"['Wegen anhaltender wirtschaftlicher Misserfolge hat der Vorstandsvorsitzende seinen Posten zur Verfügung gestellt.', 'Aus ethischen und verfassungsmäßigen Gründen müsse der Regierungschef sein Amt zur Verfügung stellen.']"
"['jemandem etwas nicht vergessen', 'jemandem etwas nie vergessen']",jemandem etwas nicht/nie vergessen,jemandem für etwas immer dankbar sein,"['Wir werden euch nie vergessen, dass ihr in dieser Zeit zu uns gestanden habt.']"
"['jemandem etwas nicht vergessen', 'jemandem etwas nie vergessen']",jemandem etwas nicht/nie vergessen,jemandem etwas nicht verzeihen,"['Diese Gemeinheit würde er dem Schurken nie vergessen. Sie hat es ihm nie vergessen, dass er sie nicht geheiratet hat.']"
"['mit wem habe ich das Vergnügen?', 'mit wem haben wir das Vergnügen?']",mit wem habe ich/haben wir das Vergnügen?,"wer sind Sie, wie heißen Sie?","['Ich bin Dr. Jekyll – mit wem habe ich das Vergnügen? Mein Name ist Holmes, und das ist Dr. Watson – mit wem haben wir das Vergnügen? Arbeit, rin.']"
"['es ist wie verhext', 'es ist wie verrückt']",es ist wie verhext/verrückt,"alles geht schief, nichts verläuft wunschgemäß","['Jetzt habe ich auch noch meine Schlüssel verlegt – heute ist es einfach wie verhext! Sie hatte alles so sorgfältig geplant, aber es war wie verrückt Das ganze Fest war eine einzige Katastrophe! sie sahen es und glaubten es trotzdem nicht. Es war wie verhext.']"
"['ein verhinderter sein', 'eine verhinderte sein']",ein verhinderter/eine verhinderte sein,"Neigung und Talent für einen Beruf, eine Karriere erkennen lassen, es aber nicht dahin gebracht haben","['dessen Frau, eine verhinderte Bäckerin, deren große Leidenschaft es ist, Kekse zu backen', 'Böse Zungen behaupten seit Anbeginn aller Kritik, dass der gemeine Kritiker ein verhinderter Schriftsteller ist']"
"['an den Verkehrten kommen', 'an den Verkehrten geraten', 'an die Verkehrte kommen', 'an die Verkehrte geraten']",an den Verkehrten/die Verkehrte kommen/geraten,scharf abgewiesen werden,"['Der Erpresser war bei ihm an den Verkehrten gekommen. Sie wollten die Hausbesitzerin mit ein paar Euro abfinden, aber da waren sie an die Verkehrte geraten. Adresse, Ende.']"
"['und da verließen sie ihn', 'und dann verließen sie ihn', 'und damit verließen sie ihn']",und da/dann/damit verließen sie ihn,mehr Trümpfe/Karten zum Anlegen/Karten von dieser Farbe habe ich nicht,"['Drei Asse, drei Neuner, vier Buben, und damit verließen sie ihn – du bist dran. Und jetzt die Herzdame, und damit verließen sie ihn, wie wärs denn jetzt mal mit Pik?']"
"['und da verließen sie ihn', 'und dann verließen sie ihn', 'und damit verließen sie ihn']",und da/dann/damit verließen sie ihn,und nicht mehr,"['Wir kennen den Tatort, haben die Tatwaffe, und damit verließen sie ihn. Eins zehn, eins zwanzig, eins fünfundzwanzig, und damit verließen sie ihn – das reicht nicht mal für ein Bier!']"
"['einen guten Verlauf nehmen', 'einen schlechten Verlauf nehmen']",einen guten/schlechten Verlauf nehmen,gut/schlecht verlaufen,"['Wir wollen hoffen, dass dieses Abenteuer einen guten Verlauf nehmen wird. Der Abend hatte einen äußerst überraschenden Verlauf genommen.', 'Warum nimmt das Ganze einen so katastrophalen Verlauf?, dachte Jeanne.']"
"['um etwas nicht verlegen sein', 'um etwas nie verlegen sein']",um etwas nicht/nie verlegen sein,etwas stets parat haben,"['Die Ministerin war um eine schlagfertige Antwort nie verlegen.', 'Ich habe meinen Mann zur Rede gestellt. Er war um Ausreden nicht verlegen.']"
"['den Verleider bekommen', 'den Verleider kriegen']",den Verleider bekommen/kriegen,einer Sache überdrüssig werden,"['Ob wohl all die angemeldeten Schülerinnen und Schüler die drei Stunden bei einem einzigen Buch aushalten würden, ohne den Verleider zu bekommen?']"
"['jemandem den Verleider anhängen', 'jemandem den Verleider machen', 'jemandem den Verleider bringen']",jemandem den Verleider anhängen/machen/bringen,"jemandem etwas verleiden, jemandem Überdruss bereiten","['Vor allem die beiden ersten – landschaftlich wunderschönen – Etappen könnten Ungeübten gleich zu Beginn den Verleider anhängen', 'während eine kleine Gruppe beim Ausgang diskutierte, ob das alles nur Taktik sei, um ihnen den Verleider zu machen']"
"['zum Verlieben sein', 'zum Verlieben aussehen']",zum Verlieben sein/aussehen,"reizend, überaus anziehend sein, aussehen","['Die Jungs sahen nicht nur zum Verlieben aus, sie konnten auch ausgezeichnet singen.', 'Bamberg ist zum Verlieben und hat dies schriftlich Die Auszeichnung als UNESCO-Weltkulturerbe schmückt unsere Stadt.']"
"['an jemandem verloren sein', 'bei jemandem verloren sein']",an/bei jemandem verloren sein,"als Aufwendung, Mühewaltung für jemanden umsonst, vergeblich sein",['Alle Argumente waren bei diesem Rechthaber verloren.']
"['auf die Verliererstraße geraten', 'auf die Verliererstraße kommen']",auf die Verliererstraße geraten/kommen,"in eine Situation kommen, die zur Niederlage führt oder zu führen droht",['Zweifelhafte Schiedsrichterentscheidungen und Abschluss-Schwächen ließen den TVW jedoch auf die Verliererstraße geraten.']
"['auf die Verliererstraße geraten', 'auf die Verliererstraße kommen']",auf die Verliererstraße geraten/kommen,"in eine Situation kommen, die zu Nachteilen, zum Scheitern führt oder zu führen droht","['Damit Beschäftigte mit Behinderungen nicht auf die Verliererstraße kommen, können sie oder ihr Arbeitgeber Geldund Beratungsleistungen erhalten.']"
"['einen verlöten', 'ein paar verlöten']",einen/ein paar verlöten,Alkohol trinken,"['Jetzt wollten sie erst einmal ein paar verlöten, über das Geschäftliche würde man später reden. Die anderen kommen auch bald, wir können ja inzwischen schon mal einen verlöten.']"
"['sich vermehren wie die Karnickel', 'sich vermehren wie die Kaninchen']",sich vermehren wie die Karnickel/Kaninchen,"sich schnell vermehren, sehr viel Nachwuchs bekommen",['Inzwischen sind aus dem einen Mitarbeiter viele geworden. Auch die Hotline-Nummern im Stadtamt vermehren sich wie Karnickel.']
"['eine verpasst kriegen', 'ein paar verpasst kriegen', 'eins verpasst kriegen']",eine/ein paar/eins verpasst kriegen,geschlagen werden,"['Sie hatte eine verpasst gekriegt, weil sie erst morgens gekommen war. Wer nicht spurt, kriegt eins verpasst, ist das klar?']"
"['jemandem eine verpassen', 'jemandem ein paar verpassen', 'jemandem eins verpassen']",jemandem eine/ein paar/eins verpassen,jemanden schlagen,"['Seine Alte hat ihm ein paar mit dem Kochlöffel verpasst. Na, und was hat der Held nun geantwortet? Hat er dir eine verpasst?']"
"['jemandem eins verplätten', 'jemandem eine verplätten']",jemandem eins/eine verplätten,jemandem einen Schlag versetzen,"['Sie hat ihm dermaßen eine verplättet, dass er vom Barhocker gefallen ist.']"
"['jemandem eins verplätten', 'jemandem eine verplätten']",jemandem eins/eine verplätten,jemanden mit einem Schuss treffen,"['Ich hätte dem Mistkerl gern eins verplättet, aber er war schon außer Schussweite.']"
"['auf etwas verrückt sein', 'nach etwas verrückt sein']",auf/nach etwas verrückt sein,sehr begierig auf etwas sein,"['Sie ist ganz verrückt nach Zitroneneis. Die Jungs waren schon als kleine Kinder verrückt auf schnelle Autos. Unsere Enkeltochter ist ganz verrückt nach den Tieren und hätte am liebsten ein eigenes Lama, berichten sie.']"
"['auf jemanden verrückt sein', 'nach jemandem verrückt sein']",auf jemanden/nach jemandem verrückt sein,in jemanden sehr verliebt sein,"['Alle Mädchen in der Klasse waren verrückt auf den neuen Biologielehrer. Merkst du denn nicht, dass der arme Junge ganz verrückt nach dir ist? Ich bin verrückt nach der Frau. Und sie kann mich nicht ausstehen. Hund, verhext.']"
"['es ist zum Verrücktwerden', 'es ist zum Wahnsinnigwerden']",es ist zum Verrücktwerden/Wahnsinnigwerden,es ist ausgesprochen ärgerlich,"['Jetzt hat der Kleine schon wieder Kakao auf das frische Hemd gekleckert – es ist aber auch zum Verrücktwerden mit ihm! Es ist einfach zum Wahnsinnigwerden Das ganze Wochenende Regen, und kaum sitzt man montags wieder im Büro, scheint die Sonne!']"
"['in Verruf kommen', 'in Verruf geraten']",in Verruf kommen/geraten,einen schlechten Ruf bekommen,"['Das Verhalten eines einzigen Mitarbeiters kann der Grund dafür sein, dass eine ganze Abteilung in Verruf kommt.', 'Um Gottes willen, es wird doch keine Brandstiftung gewesen sein. Unser ganzer Stadtteil käme in Verruf', 'Wer die deutsch-französische Freundschaftspolitik kommentieren musste und dies mit kritischem Sinn tat, der geriet leicht in Verruf']"
"['sich einen Vers auf etwas machen können', 'sich keinen Vers auf etwas machen können']",sich einen/keinen Vers auf etwas machen können,sich etwas erklären/nicht erklären können,"['Der Meister bleibt nachdenklich vor ihm stehen und betrachtet ihn immer weiter. Schließlich glaubt er sich einen Vers auf die Sache machen zu können und sagt', 'und wären nicht einige andere Unebenheiten zu bemerken gewesen, Dinge, auf die sich keiner einen Vers machen konnte']"
"['Verse schmieden', 'Reime schmieden']",Verse/Reime schmieden,dichten,"['Er beherrschte die Kunst, aus dem Stegreif zu jeder Gelegenheit lustige Reime zu schmieden. Ich habe dir ein Reimlexikon gekauft, weil du so gerne Verse schmiedest. Tobias.']"
"['in Verschiss geraten', 'in Verschiss kommen']",in Verschiss geraten/kommen,"in Ungnade fallen, sein Ansehen verlieren","['dass man nämlich nie etwas hätte verraten dürfen, sonst wäre man in Verschiss gekommen.']"
"['jemandem bleibt der Verstand stehen', 'jemandem steht der Verstand still']",jemandem bleibt der Verstand stehen/steht der Verstand still,es ist für jemanden unbegreiflich,"['Es bleibt einem einfach der Verstand stehen, wenn man versucht, sich die ungeheuren Ausmaße des Universums vorzustellen. Im ersten Moment stand ihm der Verstand still, als er die Briefe ihres Liebhabers in der Nachttischschublade fand.']"
"['etwas mit Verstand essen', 'etwas mit Verstand trinken', 'etwas mit Verstand rauchen']",etwas mit Verstand essen/trinken/rauchen,etwas seiner Qualität entsprechend genießen,"['Raucht diese Zigarren mit Verstand, Freunde, das sind echte Havannas. Diesen Burgunder muss man mit Verstand trinken.', 'Das Brot war dreckig und musste gesäubert werden. Es wurde in heißem Wasser geschrubbt, am Ofen getrocknet und mit Verstand gegessen.']"
"['sich vor jemandem verstecken müssen', 'sich vor jemandem verstecken können', 'sich neben jemandem verstecken müssen', 'sich neben jemandem verstecken können']",sich vor/neben jemandem verstecken müssen/können,jemandem weit unterlegen sein,"['Er ist in diesem Geschäft bloß ein blutiger Anfänger, vor den alteingesessenen Firmen kann er sich doch nur verstecken. Neben solch einem Ausnahmeathleten müssen sich sämtliche Konkurrenten verstecken.']"
"['sich vor jemandem nicht zu verstecken brauchen', 'sich neben jemandem nicht zu verstecken brauchen']",sich vor/neben jemandem nicht zu verstecken brauchen,jemandem ebenbürtig sein,['Mit über 8200 Punkten braucht sich unser Zehnkampfmeister auch vor der amerikanischen Konkurrenz nicht zu verstecken. Laternenpfahl.']
"['von etwas so viel verstehen wie der Hahn vom Eierlegen', 'von etwas so viel verstehen wie die Kuh vom Radfahren', 'von etwas so viel verstehen wie die Kuh vom Sonntag', 'von etwas so viel verstehen wie die Kuh vom Schachspielen']",von etwas so viel verstehen wie der Hahn vom Eierlegen/wie die Kuh vom Radfahren/wie die Kuh vom Sonntag/wie die Kuh vom Schachspielen,gar nichts von etwas verstehen,['Der neue Einkaufsleiter versteht von den Zollbestimmungen so viel wie der Hahn vom Eierlegen. Du bist Schiedsrichter beim DFB? Du verstehst doch vom Fußball so viel wie die Kuh vom Radfahren!']
"['versucht sein, etwas zu tun', 'sich versucht fühlen, etwas zu tun']","versucht sein/sich versucht fühlen, etwas zu tun","die Neigung verspüren, etwas zu tun","['Einen Augenblick lang fühlte sie sich versucht, dem schreienden Kind einen kräftigen Klaps hintendrauf zu geben. so könnte man wohl versucht sein, meine damalige Existenz mit einem anstößigen Namen zu belegen.']"
"['in Verzug geraten', 'in Verzug kommen']",in Verzug geraten/kommen,nicht termingemäß fertig werden,"['Die Baufirma wird in Verzug kommen, wenn das schlechte Wetter anhält. Er ist mit der Aufarbeitung dieser Akten zwei Tage in Verzug geraten.']"
"['auf vielfachen Wunsch einer einzelnen Dame', 'auf vielfachen Wunsch eines einzelnen Herrn']",auf vielfachen Wunsch einer einzelnen Dame/eines einzelnen Herrn,auf Wunsch einer Dame/eines Herrn,['Auf vielfachen Wunsch einer einzelnen Dame spielen wir jetzt noch einmal den schönen Titel Strangers in the Night.']
"['viereckige Augen haben', 'viereckige Augen bekommen', 'viereckige Augen kriegen']",viereckige Augen haben/bekommen/kriegen,"zu viel vor dem Monitor sitzen, zu viel fernsehen ","['Damit Kinder vor dem Bildschirm nicht tatsächlich viereckige Augen bekommen, sollten Spielkonsolen und Monitore möglichst ergonomisch sein', 'Wer sich davor fürchtet, dass der Nachwuchs viereckige Augen bekommt und nicht mehr vor die Tür geht, kann das Surfen auf 10, 20 oder 30 Stunden beschränken', 'Hamburger Nächte sind kurz, sagt er und dass er nach vielen Stunden der Videoanalyse schon fast viereckige Augen habe']"
"['das Visier herunterlassen', 'das Visier herunterklappen']",das Visier herunterlassen/herunterklappen,"eine abweisende, verschlossene, aggressive Haltung einnehmen",['Beim Thema Subventionsabbau klappen die Interessenverbände das Visier herunter.']
"['jemanden, etwas ins Visier nehmen', 'jemanden, etwas ins Visier fassen']","jemanden, etwas ins Visier nehmen/fassen","sein Augenmerk auf jemanden, etwas richten","['In aller Ruhe kann ich die Gesichter mustern, das jeweilige Gegenüber merkt es wahrscheinlich nicht, ich könnte ja ein anderes Gesicht ins Visier fassen', 'Sie haben die langfristige Lösung ins Visier genommen, was zweifellos überfällig war']"
"['jemanden, etwas ins Visier nehmen', 'jemanden, etwas ins Visier fassen']","jemanden, etwas ins Visier nehmen/fassen","jemanden, etwas kritisieren",['Schon vor Jahren hatte der Landesrechnungshof das grassierende Beraterwesen ins Visier genommen.']
"['jemanden, etwas ins Visier nehmen', 'jemanden, etwas ins Visier fassen']","jemanden, etwas ins Visier nehmen/fassen","auf jemanden, etwas zielen","['Der türkische Generalstab sprach von 60 Zielen, die bei den Luftangriffen ins Visier genommen worden seien.']"
"['der frühe Vogel fängt den Wurm', 'der frühe Vogel frisst den Wurm']",der frühe Vogel fängt/frisst den Wurm,"je früher man sich um etwas bemüht, desto größer ist die Wahrscheinlichkeit des Gelingens","['Der Anspruch auf einen ständigen, durch ein Namensschild ausgewiesenen Platz hat sich auf dem Land da und dort erhalten, doch ansonsten gilt auch hier, dass die Letzten unter Umständen die Ersten sind und dass der frühe Vogel den Wurm fängt. Bekannt ist der Satz Der frühe Vogel frisst den Wurm, wonach das Leben für den Frühaufsteher die besten Happen parat hält.']"
"['jemandem den Vogel zeigen', 'jemandem einen Vogel zeigen']",jemandem den/einen Vogel zeigen,"sich mit dem Finger an die Stirn tippen, um jemandem zu zeigen, dass er nicht recht bei Verstand sei","['Auch wenn die Dame ihm die Vorfahrt genommen hat, brauchte er ihr nicht gleich den Vogel zu zeigen.', 'Streckten die Zunge heraus! Zeigten einem den Vogel', 'Softi ruft, dass er mir einen ausgeben will. Ich zeige ihm einen Vogel']"
"['volle Granate', 'volle Kanne', 'volle Kante', 'volle Lotte', 'volle Pulle', 'voll Rohr', 'voll Stoff', 'volle Wäsche']",volle Granate/volle Kanne/volle Kante/volle Lotte/volle Pulle/voll Rohr/voll Stoff/volle Wäsche,"ohne Einschränkung, mit voller Kraft, Geschwindigkeit, Leistung ","['Keiner hält sich an die Geschwindigkeitsbegrenzungen, erzählt er, vor allem nachts lassen es alle laufen – volle Granate', 'Da dulde ich kein Jammern mehr von wegen Doppelbelastung in der Liga und im Europacup. Da sollen sie mal nach England schauen, wo volle Kanne durchgespielt wird', 'Diese verdammte Feuchtigkeit kriecht einem unter die Röcke wie Totenfinger, Ma nannte so was immer Waschküchenwetter, hat sie ja noch volle Kante miterlebt, diese berühmten Zeiten im Krieg und danach, als es nichts gab, nichts zu heizen, nichts zu beißen', 'wird man den Rest der Fahrt mit Werbung und widerlichster, volle Lotte aufgedrehter Schlagermusik aus einem regionalen Dudelsender traktiert', 'Wir sind auf der letzten Etappe volle Pulle gefahren', 'Es wird Prof. Theweleit schmerzen, dass ausgerechnet Springer-Redakteure seine Faschismusanalyse voll Rohr richtig begriffen haben', 'volles Rohr in die Post investieren. Das wäre immerhin ein Risiko', 'Und so kennt das Maschinchen im Prinzip fast nur zwei Stellungen Leerlauf und voll Stoff', 'Weil zuerst ist der rote Alfa volle Wäsche in den Quattro hinein']"
"['voll wie tausend Mann', 'voll wie ein Sack', 'voll wie eine Haubitze']",voll wie tausend Mann/wie ein Sack/wie eine haubitze,völlig betrunken,"['Freitags, wenn Vater voll wie tausend Mann nach Hause kam, war der Ehekrach unvermeidlich.', 'Dabei deutete er auf den schnarchenden Christian Rötzel. Der ist voll wie eine Strandhaubitze.']"
"['so voll sein, dass kein Apfel zu Boden fallen kann', 'so voll sein, dass kein Apfel zur Erde fallen kann', 'so voll sein, dass keine Nadel zu Boden fallen kann', 'so voll sein, dass keine Nadel zur Erde fallen kann']","so voll sein, dass kein Apfel/keine nadel zu Boden/zur Erde fallen kann","sehr voll, überfüllt sein","['In der Straßenbahn ist es um diese Zeit immer so voll, dass keine Stecknadel zu Boden fallen kann. Der Raum war schlecht belüftet und so voll, dass kein Apfel zur Erde fallen konnte.']"
"['brechend voll sein', 'zum Brechen voll sein']",brechend/zum Brechen voll sein,"sehr voll, überfüllt sein",['Die Kaufhäuser sind in der Vorweihnachtszeit immer zum Brechen voll. In diesen brechend vollen Schwimmbädern kann das Baden doch keinen Spaß mehr machen.']
"['geknüppelt voll sein', 'gerammelt voll sein', 'gerappelt voll sein']",geknüppelt/gerammelt/gerappelt voll sein,"sehr voll, überfüllt sein","['Das Stadion war schon Stunden vor Spielbeginn geknüppelt voll. Bleiben wir lieber draußen, drinnen ist es gerammelt voll.', 'Das Abteil war gerappelt voll.']"
"['aus dem Vollen leben', 'aus dem Vollen wirtschaften']",aus dem Vollen leben/wirtschaften,ohne sich einzuschränken leben/wirtschaften,"['Es gab aber doch immer Leute unter uns, die nicht solchen Hunger litten, ja, die in gewissen Grenzen aus dem Vollen lebten', 'Wenn man das Jahr über gespart hat, kann man jetzt aus dem Vollen wirtschaften']"
"['jemanden nicht für voll nehmen', 'jemanden nicht für voll ansehen']",jemanden nicht für voll nehmen/ansehen,"jemanden nicht ernst nehmen, nicht als vollwertig ansehen","['Ich weiß, dass sie mich nicht für voll nehmen, weil ich ein chronisches Magenleiden habe', 'dass er trotz seiner Geistesgaben von den Seeleuten nicht für voll genommen wurde']"
"['sich den Bauch vollschlagen', 'sich den Magen vollschlagen', 'sich den Ranzen vollschlagen', 'sich den Wanst vollschlagen']",sich den Bauch/Magen/Ranzen/Wanst vollschlagen,"sich satt essen, viel essen","['Schlagt euch den Bauch voll, noch ist genug Proviant da! Er hat sich zum Essen einladen lassen und sich kräftig den Wanst vollgeschlagen.', 'Wir hocken uns mit unsern Messern im Kreis und schlagen uns den Magen voll.']"
"['im Voraus', 'zum Voraus']",im/zum Voraus,schon vorher,"['Die Hotelrechnung wurde im Voraus bezahlt. Im Voraus vielen Dank für Ihre Bemühungen.', 'Ein erfahrener Bergsteiger kennt schon im Voraus die Schwierigkeiten, mit denen sein Nachfolgender zu tun haben wird.']"
"['in vorauseilendem Gehorsam', 'im vorauseilenden Gehorsam']",in vorauseilendem/im vorauseilenden Gehorsam,ein erwünschtes Verhalten freiwillig vorwegnehmend,"['Um den lästigen, teils fanatischen Kritikern aus dem Weg zu gehen und Kosten zu sparen, etwa für Bücher, die dann abgelehnt werden, greifen die Schulbuchverlage in vorauseilendem Gehorsam zur Selbstzensur', 'Es sei ein Riesenfehler, dass der Gesundheitsminister sich im vorauseilenden Gehorsam für nicht zuständig erklärt']"
