Redewendung,Bedeutung,Beispiel
auf leisen Sohlen,"leise, unbemerkt","['Auf leisen Sohlen hatte sie sich davonge- macht und die Stadt verlassen.', 'Er lief, den Zylinder in der Hand, auf leisen Soh- len die Haupttreppe hinunter (Th. Mann, Buddenbrooks 471).']"
es brennt jmdm. unter den Sohlen,jmd. hat es mit etw. sehr eilig,"['Jetzt, wo er die Stelle in Aussicht hat, brennt es ihm natürlich unter den Sohlen, sein Examen abzuschließen. Scheitel, Schuh.']"
in jmds. Sold,in jmds. Dienst,"['Dreiundzwanzig Dienstjahre im Solde Ih- rer Majestät (Prodöhl, Tod 250).']"
in jmds. Sold stehen,für jmdn. ar- beiten und dafür bezahlt werden,"['Um sich einen \x05berblick zu verschaffen, ermitteln sie jetzt erst mal, wie viele Soldaten über- haupt bei der Armee im Sold stehen (Spiegel 19. 11. 2015, 102–108).']"
der wird Soldat; der geht unter die/kommt zu den Soldaten,"Kom- mentar, wenn man eine Karte verdeckt ab- legt.",nan
es hat nicht sollen sein,"das Schick- sal hat einen Wunsch nicht erfüllt, einen Plan zunichtegemacht","['Großvater wollte noch einmal in seinem Leben nach Paris fahren, aber es hat nicht sollen sein.']"
was solls,es ist gleichgültig,"['Dann gehe ich eben alleine ins Kino, was solls (Grossmann, Beziehungsweise 167). Arsch, Baum, Ding, Essen, Gott, Kreuz, liegen, Ochse, recht, Rei- sende, schmecken, Schulgeld, sehen, Tag, Teufel, warm, Witz, Wurzel, zappeln.']"
jmdm. keinen Sommer und kei- nen Winter machen,"jmdm. ei- nerlei sein, jmdn. nicht interessieren","['Dann fahren wir eben nicht nach Mün- chen, das macht mir keinen Sommer und keinen Winter. Wer die Meisterschaft ge- winnt, macht ihnen keinen Sommer und keinen Winter. Schwalbe.']"
ein Sonderzüglein fahren,"einen eigenen Weg gehen, sich von den anderen absetzen","[' wenn ein- zelne Regierungsmitglieder der Versu- chung erliegen, Kollegen Seitenhiebe zu erteilen oder publizitätsträchtige Sonder- züglein zu fahren (NZZ 15. 1. 2004, 13).']"
es gibt sone und solche,die Menschen sind unterschiedlich,"['Es gibt immer sone und solche, und man sollte sie nicht alle in einen Mülleimer werfen (BM 31. 12. 1975, 3).']"
die Sonne zieht Wasser,"die Sonne scheint durch einen Dunstschleier, was auf bevorstehenden Regen hindeu- tet.",nan
die Sonne bringt es an den Tag,ein Un- recht bleibt auf die Dauer nicht verborgen.,nan
"sich etwas dahin stecken können/sollen, wo die Sonne nicht scheint","Aus- druck scharfer Zurückweisung, Ableh- nung","['Diese Unterstellung kannst du dir mit besten Grüßen dorthin stecken, wo die Sonne nicht scheint! (www.forum- 3dcenter.org, 11. 3. 2011).']"
keine Sonne sehen,keine Aussicht auf Erfolg haben,"['Wenn unser FC gut auf- gelegt ist, sieht die Gastmannschaft keine Sonne! dahinschmelzen, Platz, spinnen.']"
frag nicht nach Sonnen- schein,das möchte ich jetzt gar nicht beschreiben,"['Der Stich der halbtoten Wespe hat immer noch höllisch wehge- tan, frag nicht nach Sonnenschein! Und tanzen kann der, frag nicht nach Sonnenschein (taz 28. 9. 2019, 52).']"
einen Sonnenstich haben,nicht ganz bei Verstand sein,"['Du hast wohl einen Sonnenstich, dem armen Mann einfach die Tür vor der Nase zuzu- schlagen!']"
Kupferner Sonntag,drittletzter Sonntag vor Weihnachten,['Am Kupfernen Sonntag fahren wir in die Stadt und kaufen für die Kinder Ge- schenke.']
Silberner Sonntag,vorletzter Sonntag vor Weihnachten,['Das Kaufhaus sucht noch Aushilfskräfte für den Silber- nen Sonntag. Vgl. die vorangehende Fügung.']
Goldener Sonntag,letzter Sonn- tag vor Weihnachten,['Der Goldene Sonn- tag brachte dem Einzelhandel Rekordum- sätze. Vgl. die Fügung Kupferner Sonntag.']
es ist nicht alle Tage Sonntag,man kann nicht immer nur Angenehmes erwarten,"['Heute gibt es nur Pellkartoffeln und Quark zum Mittagessen; es ist nun ein- mal nicht alle Tage Sonntag. verstehen, weiß.']"
sonst noch was!,das fehlte ge- rade noch!,"['Meine Eltern könnten doch jetzt zu uns ziehen, oder? – Sonst noch was! Dann ziehe ich aber aus! gut, wehtun.']"
"kleine Kinder, kleine Sorgen, große Kinder, große Sorgen","je älter die Kinder werden, desto größere Probleme bereiten sie .",nan
für etw. Sorge tragen,sich um etw. kümmern,"['Tragen Sie dafür Sorge, dass wir pünktlich um acht Uhr abreisen kön- nen!', 'Er werde für die Verpflegung und die Heimkehr der Gefangenen zu ihren Familien Sorge tragen (Niekisch, Leben 372).']"
das lass nur meine Sorge sein!,"darum werde ich mich schon kümmern, das erle- dige ich schon","['Kommt kein Arzt für den Mann hier? Lassen Sie das meine Sorge sein (Remarque, Obelisk 108). Und wie werden Sie das machen mit einem Bein? Das lassen Sie meine Sorge sein, sagte Frau Holle (Hilsenrath, Nazi 114).']"
deine Sorgen möchte ich haben!,deine Probleme sind doch völlig unbedeu- tend,['Ob du dir lieber einen Cadillac oder einen Rolls-Royce kaufen sollst? Deine Sorgen möchte ich haben!']
"wer Sorgen hat, hat auch Likör","frei nach dem Motto Alkohol hilft, wenn man Sorgen hat","['Wer Sorgen hat, hat auch Likör – dieses alte Sprich- wort spielt auf die zwei Seiten des Alko- hols an. Es ist Genussmittel und Hilfs- stoff in Arzneimitteln (www.zv.uni- leipzig.de). Denn wer Sorgen hat, hat auch Likör. Likör ist ein bewährter Sor- genbrecher. Er bricht die großen Sorgen- stücke in lauter kleine. Zerkleinert liegen sie dann weniger schwer im Magen (SZ 23. 10. 1999, ROM8).']"
leben Sie sowohl als auch,Abschiedsgruß.,nan
mit gespaltener Zunge reden,"lü- gen, zweideutig reden","['Meine roten Brü- der mögen sich vorsehen, der weiße Mann redet mit gespaltener Zunge.']"
", dass die Späne fliegen","sehr eifrig, tüchtig, mit großem Einsatz","['Die ganze Gruppe arbeitete, dass die Späne flogen.']"
Späne machen,"sich widersetzen, Schwierigkeiten machen","['Der Bulle, ein feister, breitschultriger Mann, sieht ihn von oben an, wie kuckt der Kerl in die Welt, der will Späne machen (Döblin, Berlin 448).']"
mit jmdm. einen Span haben,mit jmdm. Streit haben,['Sie haben mit den Nachbarn wegen des Verlaufs des Garten- zauns noch einen Span. Vgl. die vorangehende Wendung.']
zieh dir keinen Span ein!,"mach nicht so viel Aufhebens, stell dich nicht an!","['Zieh dir keinen Span ein, ich mach das Radio ja schon leiser! hobeln.']"
spanische Reiter,Absperrung mit Stacheldraht,"['Die Pioniere hatten den Auftrag, das Hindernis zuzuschütten und die spanischen Reiter zu sprengen (Spie- gel 9, 1977, 46).']"
spanische Wand,"Klappwand, Wand- schirm","['In der Ecke des Zimmers stand eine spanische Wand aus geflochtenem Rohr.', 'Die spanische Wand bewegte sich, wurde zur Seite geschoben, und It- zig kam in Hemdsärmeln aus der Küche heraus (Hilsenrath, Nacht 252).']"
spanisches Rohr,Rohrstock,['Da- mals hatten die Lehrer das spanische Rohr griffbereit auf dem Pult liegen und benutzten es auch.']
jmdm. spanisch vorkommen,"jmdm. verdächtig, seltsam erscheinen","['Am 1. Weihnachtsfeiertag kriegte ich Schar- lach. Die Gänsekeule hatte ich stehen ge- lassen, das war meiner Mutter spanisch vorgekommen (Kempowski, Tadellöser 109).']"
für jmdn. spanische Dörfer sein,jmdm. unverständlich sein,['Du kannst mir das lange erklären; diese juristischen Feinheiten sind für mich spanische Dör- fer.']
"spare in der Zeit, so hast du in der Not","wenn es einem wirtschaftlich gut geht, soll man sich etwas für schlechte Zei- ten zurücklegen.",['Wort.']
auf Sparflamme,auf ein Minimum,"['Manche Auslands- banken machen in Frankfurt bisher nur Geschäft auf Sparflamme und prüfen die neuen Systeme und Abläufe (Handels- blatt 9. 8. 2019, 24). Bekommt der Körper durch schnelles Abnehmen das Signal, dass er Energie verliert, schaltet er auf Sparflamme und verlangsamt den Stoff- wechsel (Spiegel 16. 11. 2019, 110–113).']"
einen Spargel quer essen können,einen sehr breiten Mund ha- ben,['Die neue Fernsehansagerin kann ei- nen Spargel quer essen.']
einen Sparren  haben,nicht recht bei Verstand sein,"['Denn gerade die, die sich für voll- kommen kopfgesund halten, haben oft ei- nen Sparren zu viel (Tagesspiegel 14. 9. 1997, 26). Man schilt ihn einen über- witzigen Halbgelehrten und prätentiösen Religionsverächter, der einen Sparren zu viel oder zu wenig im Obergehäuse habe (FR 2. 1. 1999, 233).']"
sein Sparschwein schlachten,auf die Ersparnisse zu- rückgreifen,['Für den Urlaub werden wir unser Sparschwein schlachten müssen.']
Spaß muss sein,ein kleiner Scherz schadet nicht,"['Sie nehmen mir meine Frotzeleien doch nicht übel? Spaß muss sein, nicht wahr?']"
ein teurer Spaß sein,ein kostspieli- ges Vergnügen,['Alte Autos zu sammeln ist ein teurer Spaß. Bei den vielen Extras wird so ein Urlaub ein ganz schön teurer Spaß.']
da hört  der Spaß auf,"das geht  zu weit, das kann man nicht mehr gutheißen","['Da hört für mich der Spaß auf, wenn jemand anderen Leu- ten die Luft aus allen Autoreifen lässt. Hier hört sich nu aber der Spaß auf, stöhnte Karl Böwe, wie soll ich ’n das meiner Alten erklären? (Kant, Impres- sum 272).']"
da hat der Spaß ein Loch,das ist nicht mehr lustig,"['Googelt man sich selbst, ist das witzig. Spielt der poten- zielle Chef Detektiv, hat der Spaß ein Loch (www.augsburger-allgemeine.de, 19. 6. 2012).']"
Spaß beiseite!,"jetzt aber im Ernst, ohne zu scherzen","['Spaß beiseite, was habt ihr mit dem Geld gemacht?']"
mach keine Späße!,"Ausruf der Ver- wunderung, der Besorgnis o. Ä.","['Du hast ein Auto gewonnen? Mach keine Späße! Mach keine Späße, das Geld muss doch in der Schublade liegen!']"
du machst/der macht mir  Spaß,Ausdruck des ärgerlichen Er- staunens über jmds. Verhalten o. Ä.,['Du machst mir Spaß – wo soll ich denn so schnell 5000 Euro hernehmen?']
"sich einen Spaß daraus machen, etw. zu tun",etw. mit einer gewissen Boshaftigkeit und mit schadenfrohem Vergnügen tun,"['Der Prüfer machte sich einen Spaß dar- aus, die Kandidaten zu verunsichern. und am deutlichsten hört er die grobe Stimme Lecointres, der sich einen Spaß daraus macht, pöbelhafte Worte zu ge- brauchen (Sieburg, Robespierre 225).']"
seinen Spaß/seine Späße mit jmdm. trei- ben,"jmdn. necken, verspotten","['Der Wirt trieb gerne seine Späße mit der Kund- schaft. Er wird leicht wütend, wenn je- mand seinen Spaß mit ihm treibt.']"
keinen Spaß verstehen,1. humorlos sein,"['Wer sagt denn, dass Finanzbeamte kei- nen Spaß verstehen?']"
keinen Spaß verstehen,2. etw. sehr ernst nehmen,"['Wenn es um Rauschgift geht, versteht die Polizei keinen Spaß.']"
aus Spaß an der Freude,nur zum Vergnügen,"['Amateure spielen Golf aus Spaß an der Freude. Profis spielen Golf, um ihren Lebensunterhalt zu be- streiten (FAZ 29. 8. 1998, 30).']"
aus  Spaß und Tollerei,nur so zum Spaß; aus lauter bermut,['Mut hatte ich auch schon immer – und so be- warb ich mich aus Spaß und Tollerei bei diesem Verlag – und wurde tatsächlich eingestellt (home.t-online.de). Mancher Unfall entsteht aus Spaß und Tollerei .']
mit etw. ist nicht zu spaßen/darf man nicht spaßen,etw. darf nicht unter- schätzt werden,"['Mit so einer Infektion ist nicht zu spaßen, Sie sollten lieber zum Arzt gehen! Mit einem Schlangenbiss darf man nicht spaßen.']"
mit jmdm. ist nicht zu spaßen; jmd. lässt nicht mit sich spaßen,jmd. ist gefährlich,"['Denn Wildschweine, die sich attackiert und bedroht fühlen, lassen nicht mit sich spaßen, insbesondere dann, wenn sie Frischlinge mit sich führen (MM 10. 3. 2014, 17). Herausgekommen ist ein span- nendes Biopic-Drama mit thrillerhaften Zügen. Denn mit vielen Protagonisten des Films ist nicht zu spaßen (Freie Presse 9. 10. 2020, 2).']"
besser/lieber spät als gar nicht/nie,"Kommentar, wenn etw. sehr spät ge- schieht.",nan
"je später der Abend, desto schöner die Gäste","scherzhafter Kommentar, wenn Be- such sehr spät kommt.",nan
das pfeifen die Spatzen von den Dä- chern,"das weiß mittlerweile jeder, das ist kein Geheimnis mehr","['Dabei pfei- fen es die Spatzen von den Dächern, dass heute viele Spitzenleistungen ohne Do- ping kaum möglich sind (FAZ 15. 12. 1997, 37).']"
besser ein Spatz in der Hand als eine Taube auf dem Dach,"es ist besser, sich mit dem zu begnügen, was einem sicher ist, als etw. Unsicheres anzustreben.",nan
Spatzen unter dem Hut haben,"den Hut beim Grüßen, in einer Wohnung o. Ä. nicht abnehmen","['Dieser Flegel hat wohl Spatzen unter dem Hut – wir sind hier schließlich in einer Kirche! essen, Kanone.']"
den Speck riechen,"ah- nen, merken, was an Unangenehmem auf einen zukommt oder wo sich eine vorteil- hafte Möglichkeit bietet",['Die Bande hatte den Speck gerochen und war in dieser Nacht zu Hause geblieben.']
ran an den Speck!,"los, anfangen!","['Hier ist die Axt, da drüben liegt das Holz, also Ran an den Speck! Ran an den Speck, Kinder, lasst den Braten nicht kalt werden.']"
mit Speck fängt man Mäuse,mit dem richtigen Lockmittel kann man bei ande- ren einiges erreichen,"['Rechtzeitig vor den Wahlen hat die Regierung Steuersenkun- gen angekündigt – mit Speck fängt man Mäuse. Dreck, fühlen, leben.']"
Speis und Trank,Essen und Getränke,['Fürsorglich betreut von unse- ren großzügigen Gastgebern labten wir uns bei Speis und Trank.']
die Speisekarte rauf und run- ter essen,"alles essen, was auf der Speisekarte angeboten wird; in einem Res- taurant ausgiebig speisen","['Am liebsten hätte sie die Speisekarte rauf und runter gegessen, so hungrig war sie. In diesem Lokal wird so gut gekocht, dass man in Versuchung kommen könnte, die Speise- karte rauf und runter zu essen.']"
die Spendierhosen anzie- hen/anhaben,sich spen- dabel zeigen,"['Zweimal Wiener mit Salat und zwei freundliche Helle, bestellte der Taxifahrer. Hast wohl heute die Spendierhosen an? (Borell, Verdammt 290). Wolfgang Feiersinger zog die Spendierhosen an und bat die Kolle- gen zum italienischen Buffet (FAZ 2. 2. 1998, 26).']"
die Spendierhosen ausziehen,"den Entschluss fassen, nicht länger so spendabel zu sein wie bisher","['Wenn in fast allen nationalen Haushalten der Rotstift regiert, muss man auch in Brüssel die Spendierhosen ausziehen (FAZ 25. 7. 1997, 13).']"
in Spendierhosen,als spendabler Mensch,"[' im Oktober sind Kommunalwahlen, da wollen sie nicht nackt, sondern in Spendierhosen vor die Wähler treten (Zeit 21. 6. 1996, 27).']"
außer Spesen nichts gewesen,"der ganze Aufwand hat sich nicht gelohnt, das gewünschte Ergebnis wurde nicht erreicht","['Die Strategiekommission schaffte es innerhalb von drei Jahren auch nicht, eine vernünftige Strategie zu erar- beiten. Das Ergebnis außer Spesen nichts gewesen (Freie Presse 14. 11. 2018, 1).']"
auf dein/Ihr Spezielles!,auf dein/Ihr Wohl!,"['Also dann, auf dein Spe- zielles!, sagte sie und stieß mit der Freundin an.']"
jmdm. den Spiegel vorhalten,jmdn. deutlich auf dessen Fehler hinwei- sen,"['Das ist ja auch der ursprüngliche Sinn des Karnevals, den Mächtigen res- pektlos gegenüberzutreten und ihnen den Spiegel vorzuhalten (Kölner Stadt- Anzeiger 15. 2. 2020, 33). Auch wenn es manchmal schmerzt, den Spiegel vorge- halten zu bekommen, ist es dennoch nö- tig und richtig (Berliner Zeitung 4. 1. 2020, 16).']"
sich etw. nicht hinter den Spiegel stecken,durch eine scharfe Kritik o. Ä. in schriftlicher Form beschämt wer- den,['Diesen Brief wird er sich nicht hinter den Spiegel stecken – ich musste meinem Ärger einfach Luft machen. Diese Rezen- sion wird sich der neue Regisseur gewiss nicht hinter den Spiegel stecken.']
sich etw. hinter den Spiegel ste- cken können,eine scharfe Kritik o. Ä. beherzigen müssen,"['ISS kann sich an- gesichts der schlechten finanziellen Lage der Universität den Evaluationsbericht hinter den Spiegel stecken – andere Insti- tute übrigens auch (www.uni-kiel.de). Diese Worte sollten sich jene hinter den Spiegel stecken, die sich immer wieder zum Richter aufblasen über die Genera- tion der Väter .']"
ein Spiel mit dem Feuer,"1. gewagtes, gefährliches Tun","['Aufruhr im Heiligen Land. Spiel mit dem Feuer. Ehud Barak schwingt die ganz große Keule – doch die droht ihn selbst zu treffen (www.taz.de, 9. 10. 2000).']"
ein Spiel mit dem Feuer,2. unverbindliches Flirten,['Halt dein Gefühl unter Kontrolle. Sie liebt das Spiel mit dem Feuer – und ihre Frei- heit!']
das Spiel ist aus,die Sache ist verloren,['Sie mussten die Koffer packen und schnell verschwinden – das Spiel war aus!']
das Spiel machen,1. setzen,"['Ich bitte, das Spiel zu machen!']"
das Spiel machen,2. spielbestimmend sein,"['Die deutsche Mannschaft müsste jetzt versuchen, aus der Deckung herauszukommen und selbst das Spiel zu machen.']"
gewonnenes Spiel haben,sein Ziel er- reicht haben oder es mühelos erreichen können,"['Durch die Stimmenthaltung der Liberalen hatten die Befürworter des Kernkraftwerks gewonnenes Spiel. Falls man den opponierenden Leonidas entthronen kann, hat man gewonnenes Spiel (Thieß, Reich 107).']"
leichtes Spiel ha- ben,"schnell, ohne Schwierigkeiten fertigwerden","['Der Zahn- arzt hat mir gekündigt Die haben mit unsereins ein leichtes Spiel (Fels, Sünden 94). Demagogen hatten leichtes Spiel bei Menschen, die wirtschaftlich in Not gera- ten waren (www.focus.de/magazin, 11/2006).']"
sein Spiel mit jmdm. treiben,"jmdn.  ohne sein Wissen lenken, ihn täuschen","['Die Diva trieb ihr Spiel mit dem verliebten Regisseur.', 'Er konnte nicht wissen, was Agathe bewog, ihr Spiel mit ihm zu trei- ben (Musil, Mann 1295).']"
das Spiel zu weit treiben,"in seinem Tun über das Angemessene, Zumutbare, Er- trägliche hinausgehen","['Das Spiel zu weit getrieben Bewährungsstrafe für Be- treiber eines illegalen Casinos (www. sueddeutsche.de). Diesmal hat der mäch- tige Geschäftsmann sein Spiel zu weit getrieben. Die Prostituierte, die er zu sich in die Suite eines Nobelhotels geholt hat, ist tot .']"
das Spiel verloren geben,eine Sache als aussichtslos aufgeben,"['Er war bekannt da- für, dass er niemals das Spiel verloren ge- ben würde. Die Konkurrenz hatte schließlich das Spiel verloren gegeben und war auf andere Märkte ausgewichen.']"
genug des grausamen Spiels!,hört auf/hören wir auf damit!,['Genug des grausamen Spiels – gebt eurer Tante ihre Brille zurück!']
etw. aufs Spiel setzen,"etw.  riskieren, einer Gefahr aussetzen","['Wie kann man so einfach seine ganze Existenz aufs Spiel setzen!', 'Er unter- strich, dass wir nicht daran dächten, bewährte Freundschaften aufs Spiel zu setzen (W. Brandt, Begegnungen 383). Ich setze auch mein Leben aufs Spiel, dachte der Pfarrer, wenn ich die Figur wegbringen lasse (Andersch, Sansibar 60).']"
auf dem Spiel stehen,in Gefahr sein,"['Of- fenbar stand für die Versuchspersonen gar nichts auf dem Spiele (Hofstätter, Gruppendynamik 55). Die Zukunft der Firma steht auf dem Spiel (Remarque, Obelisk 44).']"
"jmdn., etw. aus dem Spiel lassen","jmdn., etw. nicht in eine Angelegenheit o. Ä. hi- neinziehen","['Der Staatsanwalt hat zugesi- chert, die Familie des Angeklagten aus dem Spiel zu lassen.', 'Mich kannst du aus dem Spiel lassen, sagte Gregor zu Knudsen. Wenn ich wegkommen will, komme ich weg (Andersch, Sansibar 62).']"
aus dem Spiel bleiben,nicht einbezogen werden,"['Die Kinder müssen bei dem gan- zen Gerangel unbedingt aus dem Spiel bleiben!', 'Ich wählte aus Laune den Na- men, den ich auch der Wirtin des Toten angegeben hatte. Mein eigener Name blieb aus dem Spiel (Seghers, Transit 33).']"
"jmdn., etw. ins Spiel bringen","jmdn., etw. in etw. mit einbeziehen","['Und bei der CDU kennt man zwar längst den Kandidaten, will den aber nicht vorzeitig ins Spiel bringen (NNN 2. 1. 2020, 11). Auch Öko- nomen hatten aufgrund der sich ab- schwächenden Konjunktur zuletzt neue Schulden ins Spiel gebracht (Handelsblatt 8. 8. 2019, 1).']"
im Spiel sein,"mitwirken; eine ge- wisse Bedeutung, Funktion haben","['Beim schwersten U-Bahn-Unglück in London war Alkohol im Spiel (MM 17. 4. 1975, 31).']"
mit klingendem Spiel,mit Marschmusik,"['Die Trachtengruppe mar- schierte mit klingendem Spiel durch das Städtchen. Finger, Hand, Kopf, Miene, Teufel, Tor, Trumpf.']"
der will nur spielen,man braucht vor jmdm. keine Angst zu ha- ben,"['Doch Alfons mit dem französischen Akzent ist eine Kunstfigur, die vor allem ein Lächeln schmückt. Der tut keinem was, der will nur spielen So kennen ihn seine Fans im TV und von der Bühne (Thüringische Landeszeitung 11. 5. 2016, 10).']"
", was  gespielt wird","..., was  vorgeht, welche Absichten verfolgt werden","['Meist kommt die Frau durch ganz zufällige Entdeckungen der Untreue auf die Spur. Eines Tages also erfährt die Frau, was gespielt wird (Hörzu 3, 1974, 72).']"
was wird hier gespielt?,"was geht hier vor, welche Absichten werden ver- folgt?","['Die hohe energetische Spannung dieses Textes macht den Leser schwin- deln. Sie ist anziehend und wirkt zugleich desorientierend. Wo sind wir? Was wird hier gespielt? (SZ 5. 11. 2002, 14). Bärenführer, Bäumchen, Feuer, Ga- lerie, Gedanke, Geige, Hand, Hasard, Heinrich, Karte, Katze, Knüppelaus- demsack, Komödie, Leben, Leber- wurst, Mann, Mäuschen, Muskel, Onkel, Platte, Register, Rolle, Sau, Schicksal, stramm, Streich, Theater, Tor, Unschuld, va banque, Versteck, Vordergrund, Walze, Wand, Wil- helm, Zeit.']"
den Spieß umdrehen/umkehren,"mit der gleichen Methode, mit der man angegriffen wird, seinerseits angrei- fen; die Verhältnisse umkehren","['Jetzt wer- den wir den Spieß umdrehen und selbst Anzeige erstatten!', 'Was sagte man zu einer Frau, die zur Abwechslung mal den Spieß umgedreht und sich selbst auf Weltreise begeben hatte, während du den heimischen Herd wärmtest? (Ruark [\x05bers.], Honigsauger 352).']"
den Spieß gegen jmdn. kehren,jmdn. angreifen,"['In seiner Pole- mik hat er den Spieß auch gegen jene ge- kehrt, die ihn immer unterstützt haben. brüllen, schreien.']"
Spießruten laufen,von einer größeren Anzahl Neugieriger oder scha- denfroher Spötter o. Ä. mit Blicken oder Bemerkungen verfolgt werden,"['Als Streik- brecherin musste sie jeden Morgen vorm Eingang des Bürogebäudes bei ihren Kol- legen Spießruten laufen.', 'Jetzt muss auch Johannsen bei 96 Spießruten laufen. In Hannover leben alle Fußballtrainer ge- fährlich (MM 21. 9. 1971, 15).']"
pfui Spinne!,Ausruf des Abscheus,"['Pfui Spinne, da hatte einer hineingeschissen (Kempowski, Tadel- löser 77).']"
Spinne am Morgen bringt Kummer und Sorgen,"wenn man am Morgen eine Spinne sieht, bringt das Unglück.",nan
"jmdm. spinnefeind sein, wer- den","mit jmdm. sehr verfeindet sein, sich mit jmdm. sehr verfeinden","['Irak und Saudi-Arabien, einst einander spinne- feind, schlossen ein Zweckbündnis (Spie- gel 43, 1979, 185). Die beiden Freunde waren sich über Nacht spinnefeind ge- worden (Szene 8, 1983, 19).']"
"es ist nichts so fein gesponnen, es kommt doch ans Licht der Sonnen","kein Verbrechen, keine Intrige bleibt dau- erhaft unentdeckt.","['Faden, Garn.']"
im gleichen/selben Spital krank sein,"denselben Fehler, Mangel aufweisen","['Sie haben sich mal darüber be- klagt, dass viele Designer in die unsin- nigsten Richtungen diversifizieren, und jetzt sind sie offenbar im gleichen Spital krank (www.sonntagszeitung.ch, 23. 11. 1997).']"
"spitz auf jmdn., etw. sein","jmdn., etw. sehr begehren","['Die ist spitz auf dich, das sieht doch ein Blinder mit ’nem Krückstock. Liebe? Dass ich nicht lache, spitz auf meine Piepen ist er! Bleistift, Finger, Ohr, scharf, Zunge.']"
mein lieber Spitz!,"Äuße- rung der berraschung, der Verärgerung","['Mein lieber Spitz, hat der ein Tempo drauf! Und zweitens?, fragte Herge- sell Zweitens, mein lieber Spitz, soll- test du wissen, dass es gar nicht darauf ankommt (Fallada, Jeder 226).']"
auf Spitz und Knopf/Spitz auf Knopf stehen,auf Messers Schneide stehen,"['Es stand auf Spitz und Knopf Würden die Server dem Ansturm der Nutzer standhalten? Oder würde das hoffnungsvolle Start-up unter dem gro- ßen Andrang kollabieren? (SZ 20. 11. 2019, 26).']"
die Spitze des Eisbergs,"der offen liegende, kleinere Teil einer misslichen, üblen Sache, die in Wirklichkeit weit grö- ßere Ausmaße hat","['Die Spitze des Eis- bergs Die Stiftung Warentest findet Gen- soja und Genmais in vielen Lebensmit- teln (www.transgen.de). Die Massaker der vergangenen Tage sind nur die Spitze des Eisbergs. Jeden Tag sterben in den USA rund 100 Menschen durch Schusswaffen (NZZ 6. 8. 2019, 5).']"
einer Sache die Spitze/ den Stachel abbrechen/nehmen,"einer Sache die Schärfe, die Gefährlichkeit nehmen","[' die Auffassung , mit dem Verzicht auf Kühltürme könne man der Opposition die Spitze brechen (Basellandschaftliche Zeitung 21. 3. 1985, 1).']"
"jmdm., einer Sache die Spitze bieten","jmdm., einer Sache mutig ent- gegentreten","['Es fand sich niemand, der den Praktiken der Grundstücksspekulan- ten die Spitze geboten hätte.']"
etw. auf die Spitze treiben,etw. zum Äu- ßersten treiben,"['Mit seinen letzten Äuße- rungen hat er seine Unverschämtheit auf die Spitze getrieben. wir wollen doch die Sache nicht auf die Spitze trei- ben, wir sind an keiner strafrechtlichen Verfolgung dieser Sache interessiert, wir wollen uns gütlich verständigen (v. d. Grün, Glatteis 120).']"
"den Splitter im fremden Auge, aber den Balken im eigenen nicht sehen","kleine Fehler anderer scharf kritisieren, aber die eigenen großen Fehler nicht wahrhaben wollen.",nan
sich die  Sporen verdienen; die/seine Sporen abverdienen,"die ersten, eine Laufbahn eröffnenden Erfolge für sich verbuchen können","[' die dann freilich gereifte und kluge Persönlichkeiten in die Gerichts- säle schicken sollte und nicht junge Adepten, die sich dort die ersten Sporen und zehn Pfennig je Zeile verdienen sol- len (Mostar, Unschuldig 15).']"
"sich einen Sport daraus ma- chen, etw. zu tun",etw. mit einer ge- wissen boshaften Freude  tun,"['Er ist überzeugt, dass viele Häuslebauer von der Vertragsgestal- tung schlicht überfordert sind Manche Unternehmer machen sich einen Sport daraus, Bauherren, die wenig Ahnung ha- ben, übers Ohr zu hauen (SZ 24. 10. 2014, 26). Manche machten sich einen Sport daraus, die Beamten zu überlisten (Kölner Stadt-Anzeiger 17. 4. 2018, 32).']"
jmdm. bleibt die Sprache weg/ jmdm. verschlägt es die Sprache,"jmd. ist, jmd. findet vor berraschung, Staunen keine Worte","['Bei so viel Dummheit bleibt einem doch glatt die Sprache weg!', 'Mir verschlug es die Sprache. Vor wenigen Ta- gen hatte er mich angebrüllt, ausgewie- sen, und nun erkundigte er sich nach meinem Wohlbefinden! (Leonhard, Revo- lution 133).']"
"die einzige Sprache, die jmd. versteht","das einzige Mittel, mit dem jmd. zu etwas zu bewegen ist","['Die einzige Sprache, die Unternehmen verstehen, ist das Klingeln in der Kasse (Standard 29. 11. 2011, 7).']"
jmdm. die Sprache verschlagen/ rauben,"jmdn. so sehr überraschen, dass er keine Worte findet","[' das, was der Computer preisgegeben hat, hat mir die Sprache verschlagen Ich habe eine Schwester (Straessle, Herzradieschen 177).']"
die Sprache auf etw. bringen,"ein be- stimmtes Thema anschneiden, das Ge- spräch auf etw. lenken",['Wer hatte gestern eigentlich die Sprache auf das Thema Rentenversorgung gebracht?']
dieselbe/die gleiche Sprache sprechen,"die gleiche Einstellung, das gleiche Niveau haben und sich deshalb gut verstehen","['Mit seiner Chefin versteht er sich gut, sie sprechen beide die gleiche Sprache. Er spürte sofort, dass sie die gleiche Sprache sprachen.']"
