Redewendung,Bedeutung,Beispiel
in der Tat,tatsächlich,"In der Tat, Sie haben recht – hier riecht es irgendwie verbrannt! Fluch, Mann, Rat, Seite, Wille, Wort."
die nackten Tatsachen,1. reine Fakten ohne Beschönigung,"Es war nicht angenehm, so vor nackte Tatsachen gestellt zu werden. Es heißt, wir waren zu teuer und die Quote sei nicht mehr erwartungsgemäß."
die nackten Tatsachen,2. der nackte menschliche Körper,"Es gab mal eine Zeit, da brauchte es nur nackte Tatsachen auf den Grünflächen an der Isar, um die Biederbürger zu schocken."
vollendete Tatsachen schaffen,"Umstände herbeiführen, die ein anderer (den man dabei übergangen hat) nicht mehr rückgängig machen kann","Die Baufirma hatte geglaubt, durch den ungenehmigten Abbruch des Hauses vollendete Tatsachen schaffen zu können."
vor vollendeten Tatsachen stehen,"sich mit einem Sachverhalt konfrontiert sehen, den ein anderer eigenmächtig geschaffen hat","Der Baum war gefällt worden, die Besitzer standen vor vollendeten Tatsachen. Gesicht, Vorspiegelung."
keinen Tau von etwas haben,keine Ahnung von etwas haben,"Bald stellt sich heraus, dass es offensichtlich einige Seminarteilnehmer gibt, die vom Thema noch überhaupt keinen Tau haben. Wer von Gefühlskino keinen Tau hat, sollte sich lieber mit Kritiken zurückhalten."
taube Nuss,"dummer, langweiliger Mensch",Du bist mir vielleicht ’ne taube Nuss! Ohr.
die gebratenen Tauben fliegen nicht ins Maul,"man muss arbeiten, wenn man leben will","Der Lebensstandard hierzulande ist vergleichsweise hoch, aber auch bei uns fliegen einem die gebratenen Tauben nicht ins Maul."
auf Tauchstation gehen/sein/bleiben,1. sich verstecken/weiterhin versteckt halten,"Der exzentrische Schachweltmeister blieb mehrere Jahre auf Tauchstation, nachdem ihm sein Titel am grünen Tisch aberkannt worden war."
auf Tauchstation gehen/sein/bleiben,"2. sich zurückziehen, sich vor anderen verschließen","Aber wenn es privat wird, geht er auf Tauchstation, ist er in sich gekehrt, verschlossen. Wenn es kracht, fair bleiben. Nicht gleich beleidigt auf Tauchstation gehen, sondern sich durchbeißen."
jemanden über die Taufe halten/aus der Taufe heben,bei jemandes Taufe Pate sein,"Den kleinen Tobias habe ich vor fünf Jahren über die Taufe gehalten. Wir kennen den Bürgermeister sehr gut, er hat unseren Jüngsten aus der Taufe gehoben."
tausend Tode sterben,in großer Angst sein,"Seine Mutter ist tausend Tode gestorben, als sie ihn in der Felswand entdeckt hatte. Essen, Freund, voll, Zunge."
ei der Tausend!,Ausruf der Überraschung,"Ei der Tausend, wo kommt ihr denn plötzlich her?"
einen im Tee haben,betrunken sein,"Sie drängte zum Aufbruch, da ihr Ehemann inzwischen ganz schön einen im Tee hatte. abwarten."
ein gut Teil,ziemlich viel,"Es gehört schon ein gut Teil Kaltschnäuzigkeit dazu, seinem Chef so unverblümt die Meinung zu sagen. Bisher bin ich zu diesem Besuch noch nicht gekommen, weil ich ein gut Teil meiner Zeit dem Tennisspiel widme."
die edlen Teile,die männlichen Geschlechtsteile,Die Abwehrspieler in der Mauer hielten die Hand schützend vor ihre edlen Teile.
sein Teil zu tragen haben,kein leichtes Leben haben,"Hast du gewusst, dass die Frau des Blumenhändlers schon dreimal am Magen operiert worden ist? – Tja, wir haben eben alle unser Teil zu tragen."
sich sein Teil denken,sich seine eigenen Gedanken bei etwas machen,"Er hat doch glatt behauptet, die Kleine sei seine Cousine! Na, ich hab mir mein Teil gedacht und bin nach Hause gegangen."
das bessere/den besseren Teil gewählt haben,es besser haben,"Ach, Schwesterchen, du hast das bessere Teil gewählt! Heirate bloß nicht, sonst sitzt du nachher genauso wie ich mit vier Kindern da!"
sein Teil weghaben,1. einen schweren Schaden erlitten haben,"Mit vierzehn hat er zwei Tage unter den Trümmern eines eingestürzten Hauses gelegen, seitdem hat er sein Teil weg."
sein Teil weghaben,2. keine weiteren Ansprüche stellen dürfen,"Finger weg vom Kuchen! Du hast dein Teil schon weg, jetzt sind die anderen Kinder dran!"
jemandem sein Teil geben,jemanden tüchtig zurechtweisen,"Die Chefin hat dem Angeber sein Teil gegeben, der ist abgezogen wie ein begossener Pudel!"
"teils, teils",1. zum Teil,"Konntest du mit dem Material etwas anfangen? – Teils, teils. Das meiste war ganz brauchbar."
über den Tellerrand blicken/schauen,"über seinen eingeschränkten Gesichtskreis, die übliche Perspektive hinausblicken","Reisen bildet auch und lässt mich über den Tellerrand blicken. Die Unternehmerin will weiter über den Tellerrand hinausschauen, eigene Ideen kreieren und offen kommunizieren."
zum Tempel hinausfliegen,"hinausgeworfen, davongejagt werden","Wenn ich erfahren sollte, dass einer von unseren Leuten seine Finger in dieser schmutzigen Geschichte hat, dann fliegt er zum Tempel hinaus, das kann ich dir versichern!"
jemanden zum Tempel hinausjagen,"jemanden hinauswerfen, davonjagen","Als ihr Vater entdeckte, dass sie schwanger war, hat er sie zum Tempel hinausgejagt. Vgl. die vorangehende Wendung."
das Tempo machen,die Geschwindigkeit des Rennens bestimmen,"Die russische Läuferin machte von Anfang an das Tempo. Entscheidend für ihr schlechtes Abschneiden war, dass die deutschen Fahrer nicht in der Lage waren, das Tempo zu machen."
großes Tennis,"etwas ganz Besonderes, eine tolle Leistung","Unser Sommerurlaub dieses Jahr war ganz großes Tennis. Diese Grundidee ist ein Ass, der Film aber nicht durchgehend großes Tennis."
jemandem/für jemanden den roten Teppich ausrollen/auslegen,jemanden hofieren,"Sie haben für den Star den roten Teppich ausgelegt. Dass wir den Investoren in Bayern den roten Teppich ausrollen, ist richtig."
das Terrain sondieren,"die Gegebenheiten erkunden, vorfühlen","Sie hatte schon einmal das Terrain sondiert, die Eltern schienen ihrem Plan, in den USA zu studieren, nicht abgeneigt zu sein."
sein Testament machen können,"(oft in Drohreden) sich auf Übles, Schlimmes gefasst machen können","Huber selbst musste am Telefon hören, seine Frau könne ihr Testament machen, sie werde den Abend nicht überleben."
Teufel auch!,Ausruf des Erstaunens,"Teufel auch, das Mädchen hat Courage! Teufel auch, hast du mir einen Schrecken eingejagt!"
Teufel noch mal!,Ausruf des Ärgers,"Kann mir denn keiner mal genau zuhören, wenn ich etwas erkläre, Teufel noch mal!"
ein Teufel/Satan in Menschengestalt,"ein gemeiner, niederträchtiger Mensch","Dieser General war ein Teufel in Menschengestalt, den selbst seine Freunde fürchteten. Die Boulevardpresse hatte den mutmaßlichen Frauenmörder schon vor Prozessbeginn für einen Satan in Menschengestalt erklärt."
ei der Teufel!,Ausruf der Überraschung,"Ei der Teufel, da sind ja noch mehr als fünfzig Franken in meinem Portefeuille!"
der Teufel ist ein Eichhörnchen,man ist vor unangenehmen Überraschungen nie sicher,"Normalerweise wird bei einer gut geführten Bergwanderung nicht viel passieren, aber der Teufel ist ein Eichhörnchen – wenn das Wetter plötzlich um schlägt, kann es heikel werden. Aber man muss immer bedenken, das typische Profil gibt es nicht Auch eine Oma kann bei einer Verkehrskontrolle eine Waffe aus dem Handschuhfach ziehen. Der Teufel ist ein Eichhörnchen."
der Teufel ist los,es gibt/herrscht große Aufregung,"Ich kann keinerlei Komplikationen bei dieser heiklen Mission brauchen. Wenn irgendetwas dabei schiefgeht, ist der Teufel los."
der Teufel hats gesehen!,"Kommentar, wenn etwas misslingt, schiefgeht",Jetzt habe ich die Schlüssel vergessen und die Tür zugeschlagen! Der Teufel hats gesehen!
der Teufel scheißt immer auf den großen Haufen,"wer schon viel hat, bekommt immer noch mehr dazu.",
der Teufel/Kuckuck soll jemanden/etwas holen!,Ausdruck der Verwünschung,"Jetzt weiß ich, dass der Mistkerl mich betrogen hat – der Teufel soll ihn holen! Mein Gott, ist mir schlecht; der Teufel soll das Zeug holen, das die mir gestern als Sekt verkauft haben!"
hol mich der Teufel!; der Teufel soll mich holen!,Ausdruck der Bekräftigung,"Hol mich der Teufel, das Aas hat mich drangekriegt! Der Teufel soll mich holen, wenn das nicht der alte Charly aus der Kakadubar ist!"
hols der Teufel!,"Ausdruck der Verwunderung, Verärgerung","Hols der Teufel, hat der Kleine einen Zug am Leibe! Hols der Teufel, die Tonne muss doch eine Bezeichnung haben."
jemanden reitet der Teufel,"jemand folgt einer schlechten Eingebung, handelt unüberlegt, leichtsinnig, gefährlich","Doch statt Sie einfach sterben zu lassen, muss mich der Teufel reiten, und ich kämpfe um Ihr Leben. Ich bin nie handgreiflich geworden. Ich bin ja auch nie zuvor und nie mehr danach vom Platz geflogen. Aber an jenem Sonnabend muss mich wohl der Teufel geritten haben."
bei etwas hat der Teufel die/seine Hand im Spiel,"etwas wird dauernd durch Schwierigkeiten gehemmt, bei etwas geht ständig alles schief","Bei diesem Projekt hatte von Anfang an der Teufel seine Hand im Spiel; was wir auch unternahmen, wir hatten keinen Erfolg."
in jemanden ist wohl der Teufel gefahren,"jemand ist nicht bei Verstand, jemand handelt wie ein Wahnsinniger",In den Kerl ist wohl der Teufel gefahren – der rast doch glatt mit 80 Sachen über den Bürgersteig!
auf etwas erpicht sein wie der Teufel auf die arme Seele; hinter etwas her sein wie der Teufel hinter der armen Seele,auf etwas versessen sein,Er war zeit seines Lebens hinter dem Geld her wie der Teufel hinter der armen Seele.
wie der Teufel,"sehr schnell, mit großer Anstrengung","Als ich sie das letzte Mal sah, ist sie gerade wie der Teu fel vom Werksgelände gefahren. Zu allem geht er auch noch in die Schule, lernt wie der Teufel und ist Agnes, Birgitt, Charli und Dagmar ein rechter Dorn im Auge."
den Teufel nach etwas fragen,etwas für gleichgültig erachten,"Sie haben doch damals den Teufel danach gefragt, ob es ihrem Vater gut oder schlecht geht, und jetzt soll er ihnen aus der Patsche helfen!"
den Teufel mit /durch Beelzebub austreiben,ein Übel durch ein ebenso schlimmes oder noch schlimmeres beseitigen,"Nachrüstung ist der Versuch, den Teufel mit Beelzebub auszutreiben."
den Teufel im Leib haben,"unbeherrscht, wild, temperamentvoll sein","Der Gaul hat noch jeden Reiter abgeworfen, das Biest hat den Teufel im Leib!"
sich den Teufel auf den Hals laden,sich große Unannehmlichkeiten zuziehen,"Er ahnte nicht, dass er sich den Teufel auf den Hals lädt, wenn er sich in dieser Stadt öffentlich für die Rechte der Sinti und Roma engagiert."
es hat den Teufel mit etwas,bei etwas gibt es Schwierigkeiten,"Mit diesem Staubsauger hat es den Teufel – mal verstopft die Düse, mal platzt der Staubsack, und jetzt hat er auch noch einen Wackelkontakt."
dem Teufel ein Ohr abschwätzen,ganz besonders beredt und geschwätzig sein,"Dieser Mensch schwätzt dem Teufel ein Ohr ab, er wäre ein idealer Gebrauchtwagenverkäufer!"
des Teufels sein,nicht bei Verstand sein,Bist du des Teufels? Leg sofort das Messer weg!
in Teufels Küche kommen,große Unannehmlichkeiten bekommen,"Auch ein angesehener Wissenschaftler kann in Teufels Küche kommen, wenn er seine Aufenthaltsgenehmigung nicht ord nungsgemäß verlängern lässt. Sie wären ja in Teufels Küche gekommen, wenn Sie Informationen zurückgehalten hätten in einem solchen Fall."
jemanden in Teufels Küche bringen,jemanden in eine höchst unangenehme Lage bringen,"Deine Unbeherrschtheit kann dich leicht in Teufels Küche bringen. Sie bringen uns in Teufels Küche, wenn Sie diese Informationen nicht für sich behalten. Vgl. die vorangehende Wendung."
in drei/in des Teufels Namen,Ausdruck der Verärgerung,"Dann soll sie eben in drei Teufels Namen mein Auto nehmen, ich habe ja eine Kaskoversicherung. Wer in des Teufels Namen hat sich denn diesen blöden Scherz ausgedacht?"
"wenn man vom Teufel spricht, kommt er","scherzhafter Kommentar, wenn jemand erscheint, von dem man gerade gesprochen hat","Findest du nicht auch, dass der neue Mathelehrer ein ziemliches Ekel ist? – Guck mal, da drüben! Wenn man vom Teufel spricht, kommt er!"
zum Teufel sein/gehen,2. verloren sein/verloren gehen,"Sicher, früher hatten wir einige ganz wertvolle Möbel, aber durch den Krieg und die Flucht nach dem Wes ten ist das alles zum Teufel. Wenn bei uns die Ideen populär werden, dann bleibt die Popularität, die Idee geht gewöhnlich zum Teufel."
jemanden zum Teufel/zu allen Teufeln wünschen,jemanden ganz und gar nicht leiden können und ihn weit fort wünschen,"Früher hat sie ihn wohl einmal sehr geliebt, aber jetzt wünscht sie ihn längst zu allen Teufeln. Die Höflichkeiten der Mutter täuschten sie nicht darüber hinweg, dass Tatjana sie zum Teufel wünschte."
jemanden zum Teufel jagen/schicken,jemanden davonjagen,"Schicken Sie die Reporter zum Teufel, ich will jetzt nieman den sehen! Ich werde Sie, Schlegelberger, und die gesamte Justiz zum Teufel jagen, wenn dies Urteil nicht umgehend revidiert wird!. fürchten, Not, Sieb, Tod."
aus dem Text kommen,"vom Thema abkommen, den gedanklichen Zusammenhang verlieren","Natürlich ist das auch ein wichtiger Gesichtspunkt, aber bevor wir endgültig aus dem Text kommen, möchte ich jetzt lieber zu unserer Ausgangsfrage zurückkehren."
jemanden aus dem Text bringen,"jemanden vom Thema abbringen, jemanden den gedanklichen Zusammenhang verlieren lassen",Durch dauernde Zwischenfragen haben die Schüler ihren Lehrer ganz aus dem Text gebracht.
weiter im Text!,fahren wir/fahre fort!,"Name, Wohnort und Geburtsdatum hätten wir; also weiter im Text – welchen Beruf haben Sie?"
bis zum Tezett,"bis ins kleinste Detail, ganz genau",Er kennt die Geschäftsordnung bis zum Tezett.
Theater spielen,etwas vortäuschen,"Jeder wusste, dass er Theater spielte, er konnte sich gar nicht verletzt haben. Kein Mensch merkt, dass der Mann Theater spielt, er selbst auch nicht."
jemandem Theater vormachen,jemanden täuschen,"Großvater wusste, dass er schwer krank war, aber er hat uns die ganze Zeit Theater vorgemacht. demnächst. Zahlreiche Redewendungen haben ihren Ursprung in den"
"Brettern, Rolle Rolle Rolle Rolle Rolle Bühne Bühne Bühne Bühne Bühne Rampenlicht Deus ex Machina. Versenkung Versenkung Mitte, Theater Kulissen Kulissen kundiger Thebaner","Eingeweihter; jemand, der besondere Kenntnisse über etwas hat","Jeder kundige Thebaner weiß, was wir mit den Unions-Parteien und den Einzelhandelsverbänden für Eiertänze vollführen mussten, um das Rabattgesetz im Kern abzuschaffen."
Thema eins,"1. wichtigstes, am meisten erörtertes Thema",Gesundheit ist gerade Thema Nummer eins.
kein Thema sein,"1. nicht zur Diskussion stehen, nicht in Betracht kommen",Allerdings sind Zukäufe in den USA für den Baukonzern aktuell kein Thema mehr. Ansonsten hält Lamprecht die wirtschaftliche Situation der Stadt für zufriedenstellend. Eine Veränderung der Gewerbesteuer ist für ihn deshalb kein Thema.
ein ungläubiger Thomas,"jemand, der sehr schwer zu überzeugen ist","Dieser ungläubige Thomas rief natürlich erst noch die Zeitansage an, obwohl sie ihm ganz genau die Uhrzeit angegeben hatte!"
jemandes Thron wackelt,jemandes Position ist gefährdet,"Der Thron des Weltmeisters wackelte, aber mit Geschick und Routine hielt er den Gegner auf Distanz."
"jemanden, etwas auf den Thron heben","jemandem, einer Sache die führende Rolle auf einem Gebiet zusprechen, eine erstrangige Bedeutung zusprechen","Die gesamte Sportpresse hatte ihn schon vor Jahren auf den Thron gehoben, und er galt noch immer als der beste professionelle Tennisspieler der Welt."
von seinem Thron herabsteigen,"seine Überheblichkeit, seinen Dünkel aufgeben","Du kannst ruhig von deinem Thron herabsteigen, ganz unschuldig an dem ganzen Debakel bist du schließlich auch nicht!"
"jemanden, etwas vom Thron stoßen","jemandem, einer Sache die bisherige Vorrangstellung nehmen","Sein Höhenflug bekam einen empfindlichen Dämpfer, als ihn Mitte der Sechziger die Beatles und Stones vom Thron stießen. Der Paternosteraufzug im Turm hat 26 Kabinen und wurde erst 1965 durch den Paternoster im Berliner Springer-Hochhaus mit 36 Kabinen vom Thron gestoßen."
nicht richtig ticken,nicht ganz normal sein,"Der Typ tickt wohl nicht richtig, er kann seinen Lieferwagen doch nicht mitten auf der Straße parken!"
jemanden zum Ticken bringen,"jemanden motivieren, jemandes Verhalten begründen","Ich hasse Personenkult. Dieses Psychologisieren, wer ich bin und was mich zum Ticken bringt."
etwas zum Ticken bringen,etwas gut funktionieren lassen,Intensive Proben und gute Vorbereitung bringen eine Vorstellung zum Ticken. Uhr.
jedem Tierchen sein Pläsierchen,jedem sein Vergnügen,"Ich hätte nie gedacht, dass unser Direktor in seiner Freizeit nichts als Comics liest – na ja, jedem Tierchen sein Pläsierchen!"
ich werd zum Tier!,ich werde sehr böse!,"Ich werd zum Tier, wenn es jetzt nicht bald was zu essen gibt! Das Tierreich ist eine unerschöpfliche Quelle für eine Vielzahl von Redewendungen. Diese dienen häufig dazu, Menschen bestimmte Eigenschaften zuzuschreiben So sollte man sich vor"
"falschen Hunden Wölfen Floh Vogel Mäuse Tieren Fischen gebrüllt, schräger Pferd Sau Wurm schimpft Kuckuck brat Affe! Schwein Schweinehund, Wollmilchsau Phönix Tierchen Tierreich ich bin ja Tierfreund","ich verzichte darauf, dich zu verprügeln, obwohl ich es könnte","Ich habe genau gehört, was du eben über mich gesagt hast, aber ich bin ja Tierfreund!"
etwas tierisch ernst nehmen,einer Sache unangemessen ernsthaft begegnen,Sara nahm alles tierisch ernst und war fantasielos.
"sieh da, sieh da, Timotheus!",schau an!,"Sieh da, sieh da, Timotheus! Da haben wir ja den kleinen Ausreißer wieder gefunden!"
über etwas ist viel Tinte verspritzt worden,über etwas ist sehr viel geschrieben worden,Über das Thema Erziehung ist schon viel Tinte verspritzt worden.
jemanden in die Tinte reiten,jemanden in eine missliche Lage bringen,Mit seinen sogenannten guten Ratschlägen hat er uns schon mehrmals in die Tinte geritten.
in die Tinte geraten,in eine missliche Lage geraten,"Der Verein war finanziell ganz schön in die Tinte geraten, erst ein großzügiger Mäzen hat ihm wieder auf die Beine geholfen."
an etwas nicht tippen können,an etwas qualitativ nicht heranreichen,Mach dir nichts vor; an die Leistungen solcher Spitzensportler kann unsereins nicht tippen.
an etwas ist nicht zu tippen,1. etwas ist unanfechtbar,"An ihr Alibi ist nicht zu tippen, das steht fest."
an etwas ist nicht zu tippen,2. etwas ist ganz sicher,"2 mal 2 ist 4, da ist nicht dran zu tippen."
reinen Tisch machen,"eine Angelegenheit bereinigen, alles in Ordnung bringen","Dieser ständige Kleinkrieg hat doch wirklich keinen Sinn, wir sollten uns lieber in Ruhe zusammensetzen und ein für alle Mal reinen Tisch machen. Positiv rechnete der Richter dem Angeklagten an, zum Prozessauftakt reinen Tisch gemacht und alles gestanden zu haben."
am grünen Tisch/vom grünen Tisch aus,"1. lediglich von der Planung ausgehend, ohne Kenntnis der Praxis","Natürlich wurde wieder einmal alles vom grünen Tisch aus entschieden, und dann wundert man sich, wenn die Betroffenen verärgert sind. So eine Entscheidung darf unter gar keinen Umständen am grünen Tisch gefällt werden."
am grünen Tisch/vom grünen Tisch aus,"2. auf Funktionärsebene, auf übergeordneter Ebene",Das Spiel wurde am grünen Tisch mit 2 0 für Ansbach gewertet.
jemanden an einen Tisch bringen,jemanden zu Verhandlungen zusammenführen,"Wer hätte gedacht, dass es jemals gelingen würde, die verfeindeten Brüder an einen Tisch zu bringen? Wenn Sie Ihren Vater mit einem unserer Rechtsanwälte an einen Tisch bringen könnten, wäre vielleicht doch noch eine Einigung möglich."
auf dem Tisch bleiben,2. bei einer Operation sterben,"Glücklicherweise ist alles gut gegangen, die Patientin ist nicht auf dem Tisch geblieben. In der Uniklinik Lüttich hatten die Ärzte Angst, ich würde auf dem Tisch bleiben."
etwas auf den Tisch bringen/legen,2. einen Geldbetrag bezahlen,Der Analyse zufolge müssen beim Kauf in der Region 1104 Euro je Quadratmeter auf den Tisch gelegt werden.
auf den Tisch kommen,2. als Speise serviert werden,Tütensuppen und ähnliche Fertigprodukte kommen bei uns nicht auf den Tisch.
bar auf den Tisch des Hauses,in bar,"Ihr Scheckbuch können Sie vergessen, ich brauche das Geld bar auf den Tisch des Hauses!"
auf den Tisch hauen/schlagen,"sich gegenüber anderen sehr energisch einsetzen, durchsetzen","Du musst einfach mal auf den Tisch schlagen, du kannst dir doch nicht alles gefallen lassen! Hier kann man nicht mehr taktieren, hier muss man auf den Tisch hauen."
jemanden über den Tisch ziehen,jemanden übervorteilen,"Trotz der Eile, mit der verhandelt wurde, hätte der Anwalt sich nicht dermaßen über den Tisch ziehen lassen dürfen. Wie blutige Anfänger hätten sich die Standesführer von Gesundheitspolitikern und Krankenkassen über den Tisch ziehen lassen."
unter den Tisch fallen,nicht berücksichtigt werden,Die Interessen der kleineren Staaten sind bei dem internationalen Abkommen wieder einmal unter den Tisch gefallen.
vom Tisch sein/kommen/müssen,erledigt sein/werden/werden müssen,Diese unangenehme Sache muss so schnell wie möglich vom Tisch. Damit ist das Thema allerdings nicht vom Tisch.
etwas vom Tisch bringen,etwas erledigen,"Sie hatte erst zwei der fünf Prüfungsfra gen vom Tisch gebracht. Wir blieben dabei, dieses Reizthema vom Tisch zu bringen."
vor Tische las man’s anders,"vor einem bestimmten Ereignis wurde eine ganz andere Meinung vertreten, eine andere Aussage gemacht","Er hat also schon immer gewusst, dass wir die Absatzkrise überwinden würden? Na, vor Tische las man’s anders! Nun gilt der Euro als Zaubermittel, das die politische Union überhaupt erst schaffen soll. Möge sich die Hoffnung erfüllen. Doch vor Tische las man’s anders."
zum Tisch des Herrn gehen,"am Abendmahl teilnehmen, kommunizieren","Bevor ihr zum Tisch des Herrn geht, prüft eure Herzen, ob ihr nicht im Stande der Sünde seid. Bein, Faust, Fuß, Karte, Narrenhand, rund."
an der Tischkante,"ad hoc, so nebenbei","Die Ministerin will diese Frage nicht an der Tischkante entscheiden, dazu ist die Sache zu wichtig."
das Tischtuch zwischen sich und jemandem zerschneiden,jede Verbindung mit jemandem abbrechen,Sie hatte längst das Tischtuch zwischen sich und ihrem Elternhaus zerschnitten und war Mitglied einer fernöstlichen Sekte geworden. Das Tischtuch zwischen den Spitzen der Wirtschaft und den Gewerkschaftern scheint zerschnitten.
"Tobias sechs, Vers drei","Kommentar, wenn jemand mit weit geöffnetem Mund gähnt, ohne die Hand vorzuhalten.",
eine Tochter Evas,1. ein Mädchen,"Die kleine Susi ist eine richtige Tochter Evas; schau nur, wie sie sich vor dem Spiegel produziert!"
eine Tochter Evas,2. eine Frau,Das ist doch wieder einmal typisch für euch Töchter Evas – ihr urteilt nur nach dem Gefühl!
der Tod einer Sache sein,"etwas vernichten, zugrunde richten",Die großen Supermärkte schienen der Tod des Tante-Emma-Ladens zu sein. Denunziantentum und Gesinnungsschnüffelei sind der Tod der freien Meinungsäußerung.
ein nasser Tod,Tod durch Ertrinken,Schon mancher unvorsichtige Schwimmer hat an dieser Küste einen nassen Tod gefunden. Das Meer bietet mehr Gefahren als nur einen nassen Tod.
Tod und Teufel!,Fluch,Tod und Teufel! Ich will was zu essen haben!
weder Tod noch Teufel fürchten,"niemanden, nichts fürchten","Sie waren beide rechte Draufgänger, die weder Tod noch Teufel fürchteten."
einen Tod müssen wir/muss man sterben,für eine von zwei (oder mehreren) unangenehmen Alternativen müssen wir uns entscheiden,"Und damit haben gerade die Grünen, deren Anliegen der Tierschutz seit je war, mit ihrem Erfolg zugleich die Einschränkung von Minderheitenrechten betrieben – für die sie sich ehedem ebenfalls starkmachten. Einen Tod muss offensichtlich jeder sterben."
jemandem den Tod an den Hals wünschen,jemandem alles Schlechte wünschen,Aber schon wenige Tage später haben sie sich enttäuscht von ihm abgewandt und ihm lautstark und zornig den Tod an den Hals gewünscht.
den Tod finden,umkommen,"Zahllose Forscher und Abenteurer hatten in dieser Dschungelhölle bereits den Tod ge funden. Das amerikanische Verteidigungsministerium hatte Blanche Guinn davon benachrichtigt, dass ihr Sohn am 9. November bei Kampfhandlungen in Vietnam den Tod gefunden habe."
dem Tod ins Auge schauen/sehen,in Todesgefahr schweben,In zahlreichen Schlachten hatte der alte Korporal dem Tod ins Auge geschaut. Ich habe dem Tod ins Auge gesehen und das hat mein Leben sehr verändert.
auf den Tod krank,sterbenskrank,"Da kannte Remann den jungen Mann, R. I. P., der auf den Tod krank sich in seines besten Freundes Frau verliebt."
gegen den Tod ist kein Kraut gewachsen,vor dem Tod gibt es keine Rettung,"Auch die Reichen müssen sterben, gegen den Tod ist eben kein Kraut gewachsen."
in den Tod gehen,bereit sein zu sterben; sein Leben opfern,"Alle waren sie bereit, für das Vaterland in den Tod zu gehen. Er ist für seine Überzeugung in den Tod gegangen."
jemandem in den Tod zuwider sein,jemandem äußerst zuwider sein,"Es gab einige Schulfächer, die mir in den Tod zuwider waren."
mit dem Tode ringen,"lebensgefährlich krank oder verletzt sein, im Sterben liegen",Seit ihrem Unfall liegt sie im Sauerstoffzelt; schon drei Tage ringt sie mit dem Tode.
vom Tode gezeichnet sein,"durch sein Äußeres erkennen lassen, dass man bald sterben wird",Die meisten der alten Männer im Lager waren bereits vom Tode gezeichnet.
zu Tode,im äußersten Maße,"Ich würde mich an deiner Stelle zu Tode schämen! Die Kinder haben sich zu Tode gefürchtet, als plötzlich im ganzen Haus das Licht ausging. Der Mutter habe ich nichts von allem geschrieben. Sie wäre zu Tode erschrocken."
zu Tode kommen,tödlich verunglücken,Beide Brüder waren beim Autorennen zu Tode gekommen.
"jemandem, einer Sache den Todesstoß versetzen","jemanden, etwas zum Scheitern bringen",Ein neuer Skandal würde ihrer Karriere den Todesstoß versetzen.
mit Todesverachtung,sich tapfer überwindend,Mit Todesverachtung sprangen die Kinder in das kalte Wasser. Mit Todesverachtung kippte er den Cognac hinunter.
"toi, toi, toi!",Formel zur Abwehr von Unglück,"Die ganze Familie hat seit einer Woche die Grippe, aber mich hat es bis jetzt noch nicht erwischt – unberufen, toi, toi, toi!"
tolle Wurst,"Kommentar, mit dem jemand zum Ausdruck bringt, dass er etwas schlecht findet","Jetzt bekommen wir wohl mächtig Ärger – tolle Wurst! Tolle Wurst, wenn man den eigenen Fahrplan nicht mehr kennt. Hecht, Stück, Tag."
ein Stück aus dem Tollhaus,"ein groteskes, wahnwitziges Vorkommnis","Was da bei der Abschlussprüfung geschah, war ein Stück aus dem Tollhaus – nicht eine Zensur ist rechtmäßig zustande gekommen. Ein Stück aus dem Tollhaus. Die konnten ja überhaupt nicht zielen, das Gewehr ja gar nicht halten."
treulose Tomate,"jemand, der sich nicht so verhält, wie man es erwartet","Du treulose Tomate hast natürlich wieder keine einzige Karte aus dem Urlaub geschrieben! Die treulose Tomate hat den schönen Schirmständer, den ich ihr gebastelt habe, doch glatt in den Müllcontainer geworfen!"
Ton in Ton,nur in Nuancen voneinander abweichend und harmonisch aufeinander abgestimmt,Die ganze Inneneinrichtung ist sehr vornehm Ton in Ton gehalten.
der gute/feine Ton,das gute Benehmen,Lautes Aufstoßen gilt nach wie vor als eindeutiger Verstoß gegen den guten Ton.
der Ton macht die Musik,"es kommt immer darauf an, wie man etwas sagt","Das hätten Sie mir auch etwas freundlicher mitteilen können; der Ton macht die Musik, mein Lieber! Der Ton macht die Musik, das gilt auch beim Feilschen. Wer schnell laut wird oder aggressiv verhandelt, kann nicht auf Gegenliebe hoffen."
haste/hast du Töne?,Ausdruck des Erstaunens,"Hast du Töne – das Kind kann ja schon laufen und sprechen! Donnerwetter. Son Junge ist das, haste Töne."
einen anderen Ton anschlagen,strenger werden,"Bisher habe ich viel Geduld mit euch gehabt, aber wenn ihr euch jetzt nicht zusammennehmt, kann ich auch einen anderen Ton anschlagen!"
"von jemandem, etwas in den höchsten Tönen reden/sprechen; jemanden, etwas in den höchsten Tönen loben","jemanden, etwas sehr loben",Die gesamte Presse hatte das junge Fußballtalent nach seinem Länderspieldebüt in den höchsten Tönen ge lobt. Aber Frau Gleitze rede auch in den höchsten Tönen von dem Ludwig und von Neuschwanstein.
zum guten Ton gehören,als selbstverständlich angesehen werden,"Es gehört ja wohl heute zum guten Ton, dass man die Eltern für alle Schwierigkeiten ihrer Kin der verantwortlich macht. Natürlich wird es Wutschreie geben, aber das gehört zum guten Ton und braucht nicht ernst genommen zu werden."
