Idiom,Meaning,Meaning_translated_KR
sick and tired of something,to be extremely annoyed or frustrated with something and wanting it to stop,무언가에 극도로 짜증나거나 불만족스럽고 그것이 멈추기를 바라는 상태
sick as a dog,to be very sick or ill,매우 병이 나다
sick as a parrot,extremely disappointed or unhappy,매우 실망하거나 불행한
sick to death,extremely bored or annoyed,극도로 지루하거나 짜증나는
side boob,"refers to the side area of a woman's breast that is partially exposed, often unintentionally, by the cut or design of her clothing",여성의 의상 디자인이나 컷에 의해 의도치 않게 부분적으로 노출되는 가슴의 옆 부분을 가리킵니다.
sign of the times,"an indication or reflection of a particular period or era, typically showing current trends, attitudes, or events","특정 시대나 시대의 지표 또는 반영으로, 일반적으로 현재의 경향, 태도 또는 사건을 보여주는 것"
sign on the dotted line,"to formally agree or commit to something, especially by signing a contract or agreement","정식으로 동의하거나 약속하다, 특히 계약서나 합의서에 서명함으로써"
"signed, sealed and delivered","It is completed, final, and official; it is certain and cannot be changed or undone.","완료되었고, 최종적이며, 공식적이다; 확실하며 변경되거나 취소될 수 없다."
silence is golden,Keeping quiet or not speaking can be valuable or beneficial in certain situations.,조용히 있거나 말을 하지 않는 것이 특정 상황에서 가치 있거나 유익할 수 있다.
silent as the grave,completely silent; not making a sound,완전히 조용한; 소음을 내지 않는
silver Lining,a hopeful or positive aspect in a negative or difficult situation,부정적이거나 어려운 상황에서의 희망적이거나 긍정적인 측면
silver bullet,a simple and effective solution to a complex problem,복잡한 문제에 대한 간단하고 효과적인 해결책
silver fox,"an older man who is attractive and charming, typically with gray or silver hair","매력적이고 매혹적인 노인, 일반적으로 회색 또는 은발을 가진 남자"
silver lining,an unexpected positive aspect or outcome within a negative or difficult situation,어렵거나 부정적인 상황에서 예상치 못한 긍정적인 측면이나 결과
silver surfer,"an older person who uses the internet, especially a person who is skilled or knowledgeable in using technology","인터넷을 사용하는 노인, 특히 기술을 잘 다루거나 지식이 있는 사람"
silver threads amongst the gold,the presence of gray or white hair as a sign of aging or wisdom,노화나 지혜의 상징으로서의 회색 또는 백발의 존재
silver tongued,having the ability to speak in a persuasive and eloquent manner,설득력 있고 유창하게 말할 수 있는 능력
sing the praises of,to speak highly or enthusiastically about someone or something,누군가 또는 무언가에 대해 높이 평가하거나 열정적으로 이야기하다
sing the same tune,to have the same opinion or viewpoint as someone else; to agree or be consistent in one's beliefs or statements,다른 사람과 같은 의견이나 관점을 가지다; 자신의 신념이나 주장에 동의하거나 일치하다
sink or swim,"to either succeed or fail completely, without any assistance or support","완전한 성공 또는 완전한 실패를 하다, 도움이나 지원 없이"
siren song,"an appeal or temptation that is difficult to resist, despite being dangerous or harmful",위험하거나 해롭지만 저항하기 어려운 유혹이나 매력
sit on the fence,to remain neutral or undecided in a dispute or conflict,분쟁이나 갈등에서 중립적이거나 결정을 내리지 않다
sit tight,"to stay in one place or remain calm and patient, especially in a difficult or uncertain situation",어려운 상황이나 불확실한 상황에서 한 자리에 머물거나 침착하고 인내심을 가지다
sitting duck,an easy target or a vulnerable person or thing,쉬운 표적 또는 취약한 사람이나 사물
sitting pretty,to be in a very fortunate or advantageous position; to be in a comfortable or secure situation,아주 유리한 위치에 있다; 편안하거나 안전한 상황에 있다
six feet under,to be dead or buried,죽거나 묻히다
"six of one, half a dozen of the other",two options that are essentially the same; no real difference between two choices,본질적으로 같은 두 가지 옵션; 두 선택 사이에 실질적인 차이가 없는 경우
six of the best,"to receive a punishment, typically a physical one, usually involving six strikes or blows",보통 여섯 대의 타격을 포함하는 신체적 처벌을 받다
sixth sense,a special ability to sense or perceive something that is not immediately apparent or obvious,즉시 드러나지 않거나 명백하지 않은 것을 감지하거나 인식하는 특별한 능력
skating on thin ice,taking a risky or dangerous course of action; pushing the limits or boundaries,위험하거나 위험한 행동을 취하다; 한계를 넘어서다
skid row,"an impoverished and dilapidated area, typically associated with homelessness and social problems","빈곤하고 황폐한 지역, 일반적으로 노숙자와 사회적 문제와 관련된 지역"
skin _ alive,to reprimand or criticize someone severely,누군가를 엄하게 질책하거나 비난하다
skin and bones,extremely thin or emaciated,극도로 야위거나 쇠약한
skin someone alive,to severely criticize or punish someone,누군가를 엄격하게 비판하거나 처벌하다
slap and tickle,"rough or boisterous play or physical interaction, often flirtatious or sexual in nature","거칠거나 떠들썩한 놀이 또는 신체적 상호작용, 종종 flirtatious하거나 성적 성격을 띤"
slap on the wrist,to receive a very light or lenient punishment,매우 가벼운 처벌을 받다
sleep like a log,to sleep deeply and soundly,깊고 편안하게 잠을 자다
sleep on it,to take time to think and consider something before making a decision or forming an opinion,결정을 내리거나 의견을 형성하기 전에 시간을 가지고 생각하고 고려하다.
sleep rough,"to sleep outside, often in uncomfortable or temporary conditions, typically due to a lack of permanent housing or accommodation","야외에서 자다, 종종 불편하거나 임시적인 조건에서, 일반적으로 영구적인 주거나 숙소의 부족으로 인해"
sleep tight,to sleep well or soundly,잘 자다 또는 푹 자다
sleight of hand,"deceptive or skillful maneuvering, usually involving quick and clever hand movements","속임수 또는 능숙한 조작, 보통 빠르고 똑똑한 손동작을 포함함"
slice of life,"a realistic portrayal of everyday life, often in literature or art","일상생활을 현실적으로 묘사함, 종종 문학이나 예술에서"
sling your hook,to leave; to go away,떠나다; 가다
slip of the pen,an unintentional mistake or error made while writing,작성 중에 발생한 의도치 않은 실수 또는 오류
slip of the tongue,"an unintentional error in speaking, typically revealing something that was meant to be concealed","무의식적인 말실수로, 일반적으로 숨기고 싶었던 것을 드러내는 경우"
slip through the net,to escape or go unnoticed; to be missed or omitted,도망치다 또는 무시되다; 놓치다 또는 생략되다
slippery slope,a situation or course of action that is likely to lead to trouble or disaster,문제나 재난으로 이어질 가능성이 있는 상황이나 행동 과정
slow and steady wins the race,Consistent and persistent effort leads to success over time,지속적이고 끈질긴 노력이 시간이 지나면서 성공으로 이어진다.
slow burn,a slow building up of anger or resentment over time,시간이 지남에 따라 서서히 쌓이는 분노나 원한
slow but sure,"making progress steadily and surely, even if it is slow",천천히지만 꾸준하고 확실하게 진전을 이루는 것
smack dab,directly or precisely in the middle or center of something,무언가의 정중앙에 또는 정확히 중앙에
small beer,something that is considered trivial or unimportant,사소하거나 중요하지 않다고 여겨지는 것
small potatoes,something insignificant or unimportant,하찮거나 중요하지 않은 것
small print,"the less noticeable or hidden details, conditions, or terms, especially in a contract or agreement","특히 계약이나 합의에서 덜 눈에 띄거나 숨겨진 세부 사항, 조건 또는 조항"
smart alec,"someone who is excessively clever or confident, often in a sarcastic or irritating way","지나치게 똑똑하거나 자신감 있는 사람, 종종 비꼬거나 짜증 나는 방식으로."
smell a rat,to suspect that something is wrong or suspicious,어딘가 잘못되었거나 의심스러운 점이 있다고 의심하다
smell blood,"to sense weakness, vulnerability, or an opportunity to achieve victory or success","약점, 취약성, 또는 승리나 성공을 이룰 기회를 감지하다"
smell of the lamp,to show signs of great effort or laboriousness in work,일에서 많은 노력이나 힘든 과정을 보여주다
smell something fishy,to suspect that something is not right or seems suspicious,무언가가 올바르지 않거나 수상해 보인다고 의심하다
smitten with,to be strongly attracted to or infatuated with someone or something,누군가 또는 무언가에 강하게 끌리거나 열중하다
smoke and mirrors,deceptive or misleading tactics or methods used to obscure or distract from the truth or actual situation,진실이나 실제 상황을 숨기거나 주의를 분산시키기 위해 사용되는 기만적이거나 오해를 일으키는 전술이나 방법
smoke like a chimney,to smoke heavily or excessively,과도하게 흡연하다
snake in _ grass,someone who appears harmless or friendly but is actually deceitful or treacherous,무해하거나 친근하게 보이지만 실제로는 기만적이거나 배신하는 사람
snake in one's bosom,someone who pretends to be supportive or friendly but is actually deceitful or treacherous,겉으로는 지지하거나 친근한 척하지만 실제로는 deceitful하거나 배신적인 사람
snake in the grass,someone who appears friendly or harmless but is actually treacherous or deceitful,겉으로는 친근하거나 무해해 보이지만 실제로는 배반하거나 피할 수 없는 사람
snake oil salesman,"someone who sells fake or fraudulent products or schemes, often making false claims about their effectiveness or benefits","가짜 또는 사기성 제품이나 계획을 판매하는 사람, 종종 그 효과나 이점에 대해 허위 주장을 하는 사람"
snap someone's head off,to respond to someone angrily or sharply,누구에게 화나게 또는 신랄하게 응답하다
sniff test,"An informal test or evaluation to determine if something is valid, credible, or acceptable","비공식적인 테스트 또는 평가로, 어떤 것이 유효한지, 신뢰할 수 있는지, 또는 수용 가능한지를 판단하는 것"
snow job,deceptive or misleading talk or actions,기만적이거나 오해를 불러일으키는 말이나 행동
snow under,to overwhelm or bog down with too much work or information,너무 많은 일이나 정보로 압도하거나 부담을 주다
snowed under,overwhelmed or burdened with an excessive amount of work or tasks,과도한 업무나 과제에 압도되거나 부담을 느끼는 것
snug as a bug in a rug,very comfortable and cozy,매우 편안하고 아늑한
so be it,"accepting or agreeing to something without objection, even if one may not fully like or agree with it",완전히 마음에 들지 않거나 동의하지 않더라도 이의 없이 수용하거나 동의하는 것
so far so good,until now everything has been going well; the situation is satisfactory thus far,지금까지 모든 것이 잘 진행되고 있다; 상황은 지금까지 만족스럽다.
so to speak,a way of saying something without stating it directly; used to indicate that a statement is not to be taken literally,간접적으로 말하는 방법; 진술이 문자 그대로 받아들여져서는 안 된다는 것을 나타내는 데 사용됨
so-so,average or mediocre; neither good nor bad,평균적이거나 보통의; 좋지도 나쁘지도 않은
soaked to the bone,completely wet,완전히 젖은
something nasty in the woodshed,a dark or scandalous secret,어둡거나 스캔달적인 비밀
son of a gun,"An affectionate or humorous term used to refer to someone, often a man or boy","애정 어린 또는 유머러스한 표현으로 누군가를 지칭하는 용어, 종종 남자나 소년에게 사용됨"
song and dance,"An elaborate or exaggerated story, explanation, or series of excuses","복잡하거나 과장된 이야기, 설명 또는 일련의 변명"
sooner or later,eventually; at some point in the future; inevitably,결국; 미래의 어느 시점에; 불가피하게
sort of,"""kind of"" or ""to some extent""","""어떤 정도로"" 또는 ""약간"""
sounds like a broken record,repeating the same thing over and over again,같은 말을 반복하는 것
sour as vinegar,to be extremely unpleasant or unpleasantly negative,매우 불쾌하거나 불쾌하게 부정적이다
sour grapes,"to disparage or belittle something that one desires but cannot have, or is no longer desirable",원하지만 가질 수 없거나 더 이상 바람직하지 않은 것을 경시하거나 깎아내리다.
southpaw,someone who is left-handed,왼손잡이 사람
spanner in the works,an unexpected or disruptive obstacle or problem,예상치 못한 또는 방해가 되는 장애물이나 문제
spare someone's blushes,to prevent someone from feeling embarrassed or ashamed,누군가가 창피하거나 부끄럽게 느끼지 않도록 막다
spare the rod and spoil the child,to discipline a child is necessary in order to prevent them from becoming spoiled or undisciplined,아이를 훈육하는 것은 그들이 버릇없거나 규율이 없게 되는 것을 막기 위해 필요하다.
sparrow fart,very early in the morning; at dawn,아주 이른 아침; 새벽에
speak _ same language,to have a similar understanding or perspective,비슷한 이해나 관점을 가지다
speak of the devil,to mention someone who then appears unexpectedly,누군가를 언급하면 그 사람이 예상치 않게 나타나다
speak soon,to talk to or see someone again in the near future,가까운 미래에 다시 누군가와 이야기하거나 만나다
speak the same language,to have a mutual understanding or agreement; to communicate effectively with someone,상호 이해나 합의를 가지다; 누군가와 효과적으로 소통하다
speak too soon,to make a premature statement or prediction that turns out to be incorrect or premature,조급한 발언이나 예측을 하여 결과적으로 틀리거나 시기상조인 경우
speak up,"to voice one's thoughts, opinions, or concerns openly and assertively","자신의 생각, 의견 또는 우려를 공개적으로 그리고 단호하게 표현하다"
speak volumes,to convey a lot of information or express a strong message without using words,말을 사용하지 않고 많은 정보를 전달하거나 강한 메시지를 전달하다
speak your mind,to express one's thoughts or opinions openly and honestly,자신의 생각이나 의견을 솔직하게 표현하다
speaking of which,referring to the topic just mentioned; mentioning something related to the current subject,방금 언급한 주제를 언급하며; 현재 주제와 관련된 것을 언급하며
spend a penny,to use the restroom or go to the bathroom,화장실을 사용하다 또는 화장실에 가다
spill _ beans,to reveal a secret or confidential information,비밀이나 기밀 정보를 드러내다
spill the beans,to reveal or disclose secret or confidential information,비밀이나 기밀 정보를 드러내거나 폭로하다
spin a yarn,to tell a long and exaggerated story,길고 과장된 이야기를 하다
spine-tingling,"causing a shiver of excitement or fear, often with a feeling of anticipation or tension","흥분이나 두려움을 불러일으키며, 종종 기대감이나 긴장감을 동반하는"
spit blood,to be extremely angry or furious,극도로 화가 나다; 미친 듯이 화가 나다
spit feathers,extremely angry or agitated,매우 화가 나거나 동요한
spit it out,To express or reveal something quickly or without hesitation; to say what you want or need to say without delay.,신속하게 혹은 주저 없이 무엇인가를 표현하거나 드러내다; 말하고 싶거나 필요로 하는 것을 지체 없이 말하다.
spit the dummy,to have a sudden outburst of anger or frustration; to become extremely upset or agitated,갑작스러운 분노나 좌절감을 터뜨리다; 매우 화가 나거나 동요하다
spitting image,to strongly resemble or look almost identical to someone else,다른 사람과 매우 닮다; 거의 동일하게 보이다
split hairs,to argue or worry about very small or unimportant details,사소하거나 중요하지 않은 세부 사항에 대해 따지거나 걱정하다
split the difference,to reach an agreement or compromise by each side giving up something; to find a middle ground,각 측이 어느 정도 양보하여 합의나 타협에 도달하다; 중간 입장을 찾다
spoiler alert,"a warning given before revealing significant plot details or outcomes of a book, movie, or television show","책, 영화 또는 TV 쇼의 중요한 줄거리 세부 사항이나 결과를 공개하기 전에 주어지는 경고"
spot on,completely accurate or correct,완전히 정확한 또는 올바른
spread yourself too thin,"to take on too many tasks or responsibilities, resulting in being unable to effectively perform any of them",너무 많은 작업이나 책임을 맡아 효과적으로 수행할 수 없는 상태가 되다.
spring chicken,someone who is young or inexperienced,젊거나 경험이 부족한 사람
spring to mind,to come to mind quickly or immediately,즉시 떠오르다
square peg in a round hole,someone who doesn't fit in a particular situation or environment,특정한 상황이나 환경에 적합하지 않은 사람
square the circle,to try to solve an impossible problem or attempt to reconcile two conflicting ideas or situations,불가능한 문제를 해결하려고 하거나 상충하는 두 가지 아이디어나 상황을 조화시키려고 하다
squeaky clean,very clean or pure; without any flaws or imperfections,매우 깨끗하거나 순수한; 결함이나 결점이 없는
stab in the back,"to betray or deceive someone, especially in a sneaky or underhanded way",특히 교활하거나 은밀한 방식으로 누군가를 배신하거나 속이다
stack the deck,to arrange or manipulate something in a way that gives an unfair advantage or ensures a particular outcome; to set up a situation for personal gain or advantage,부당한 이점을 주거나 특정한 결과를 보장하기 위해 무언가를安排하거나 조작하다; 개인적인 이익이나 이점을 위해 상황을 설정하다
stage whisper,"a loud whisper intended to be overheard by others, especially when delivering an aside or sarcastic comment","다른 사람들이 들을 수 있도록 의도된 큰 속삭임, 특히 곁말이나 빈정거리는 말을 전달할 때 사용되는."
stake a claim,To assert one's right or ownership over something,무언가에 대한 권리나 소유권을 주장하다
stakes are high,there is a lot at risk or at stake,많은 위험이나 이해관계가 있다
stand _ test of time,"to remain relevant, successful, or effective over a long period of time","오랜 기간 동안 관련성을 유지하고, 성공적이며, 효과적이다."
stand in a good stead,to be of great benefit or advantage to someone in the future,미래에 누군가에게 큰 혜택이나 이점이 되다
stand on ceremony,"to adhere strictly to social customs or etiquette, often unnecessarily or formally","사회 관습이나 예절에 엄격하게 따르다, 종종 불필요하게나 형식적으로"
stand out,"to be noticeable, exceptional, or distinct from others","눈에 띄다, 뛰어나거나 다른 것들과 구별되다"
stand someone in good stead,to be of great benefit or advantage to someone in the future,앞으로 누군가에게 큰 혜택이나 이익이 되다
stand the test of time,"to remain unchallenged, successful, or influential over a long period of time","오랜 기간 동안 도전받지 않고, 성공하거나 영향력을 유지하다"
stand up and be counted,"to publicly express one's opinion or beliefs, especially in a situation where it is important or necessary to do so",특히 중요하거나 필요할 때 자신의 의견이나 신념을 공개적으로 표현하다
stands to reason,to be logical or reasonable; to be expected or obvious,합리적이거나 이치에 맞다; 예상되거나 명백하다
start from scratch,to begin from the beginning; to start over completely; to build something from the ground up,처음부터 시작하다; 완전히 새롭게 시작하다; 무엇인가를 기초부터 쌓다
start off on the right foot,to begin a task or relationship in a positive or successful way,업무나 관계를 긍정적이거나 성공적인 방식으로 시작하다
start off on the wrong foot,to begin a situation or relationship in a way that is problematic or unfavorable,문제가 있거나 불리한 방식으로 상황이나 관계를 시작하다
state of the art,the most advanced or current version of something,무엇인가의 가장 진보하거나 최신 버전
status quo,"the existing state or condition, especially in social or political aspects, that is generally accepted or maintained","기존 상태 또는 조건, 특히 사회적 또는 정치적 측면에서 일반적으로 받아들여지거나 유지되는 것"
stay the course,"to persevere or continue with a particular plan or action, despite challenges, setbacks, or opposition","어려움, 좌절 또는 반대에도 불구하고 특정 계획이나 행동을 고수하거나 계속하다"
stay the distance,"to persevere, endure, or last until the end; to remain committed or steadfast throughout a challenging or long-lasting situation","끝까지 견디다, 인내하다; 힘든 상황이나 오랜 상황에서 헌신하거나 변함없이 남다"
stay up,to remain awake or not go to bed at the usual time,일어나다 보거나 평소 시간에 자지 않다.
steal _ thunder,"to take attention or credit away from someone, often by doing or saying something that is more impressive or attention-grabbing than what they have done or said","누군가의 주목이나 공로를 빼앗다, 종종 그들이 한 것보다 더 인상적이거나 주목을 받는 행동이나 말을 함으로써"
steal someone's thunder,"to take the attention or credit away from someone, especially by doing or saying something that is more impressive or important","누군가의 관심이나 공을 빼앗다, 특히 더 인상적이거나 중요한 것을 말하거나 행동함으로써."
steal someones thunder,to take credit for someone else's achievements or ideas; to diminish or overshadow someone else's accomplishments,다른 사람의 성취나 아이디어를 가로채다; 다른 사람의 업적을 축소하거나 가리다
steal the show,to attract the most attention or admiration in a performance or event,공연이나 이벤트에서 가장 많은 주목이나 찬사를 받다
steal thunder,"to take attention or praise away from someone, typically by outshining or overshadowing them","누군가의 주목이나 칭찬을 빼앗다, 보통 그들을 능가하거나 가리면서"
steer clear of,To avoid or stay away from someone or something,누군가나 무언가를 피하거나 멀리하다
step into somebody's shoes,"To take over someone's role or responsibilities, usually when they have left or are unable to do so","누군가의 역할이나 책임을 맡다, 일반적으로 그들이 떠나거나 할 수 없을 때"
step on it,to go faster; hurry up,더 빨리 가다; 서두르다
step on someone's toes,to offend or upset someone by intruding on their territory or by interfering with their plans or actions,누군가의 영역에 침범하거나 그들의 계획이나 행동에 간섭하여 불쾌감을 주거나 기분을 상하게 하다.
step up the plate,to take on a challenge or responsibility,도전이나 책임을 맡다
step up to the mark,to rise to the challenge or meet the expected standard,도전에 응전하다 또는 기대되는 기준에 부응하다
stick in your craw,to greatly irritate or be a source of ongoing annoyance,매우 짜증나게 하거나 지속적인 골칫거리가 되다
stick out like a sore thumb,to be very noticeable or different from the surrounding people or things,주변 사람이나 사물과 매우 눈에 띄거나 다르다
stick to _ guns,"to firmly hold onto one's opinion, position, or decision despite opposition or challenges","반대나 도전에도 불구하고 자신의 의견, 입장 또는 결정을 확고하게 고수하다"
stick to one's guns,"to remain firm or steadfast in one's beliefs, decisions, or actions, despite opposition or criticism","반대나 비판에도 불구하고 자신의 신념, 결정 또는 행동을 고수하다."
stick to your guns,"to maintain one's position or opinion firmly, especially in the face of opposition or criticism",특히 반대나 비판에 직면했을 때 자신의 입장이나 의견을 확고히 유지하다
stick your neck out,to take a risk or put oneself in a vulnerable position,위험을 감수하다 또는 자신을 취약한 위치에 놓다
sticky fingers,used to describe someone who has a tendency to steal or take things without permission,남의 것을 훔치거나 허락 없이 가지는 경향이 있는 사람을 묘사할 때 사용되는 표현
stiff upper lip,to remain calm and composed in difficult or challenging situations,어려운 상황에서도 차분함을 유지하다
still waters run deep,someone who may seem quiet or reserved actually has a strong or complex personality or deep thoughts/feelings.,"조용하거나 내성적으로 보이는 누군가는 사실 강한 성격이나 복잡한 성격, 깊은 생각이나 감정을 가지고 있을 수 있다."
stir up a hornet's nest,to cause a lot of trouble or controversy,많은 문제나 논란을 일으키다
stir up a hornets' nest,to cause a lot of trouble or controversy by doing or saying something that upsets people,사람들을 불쾌하게 하여 많은 문제나 논란을 일으키는 말이나 행동을 하다
stitch up,"to deceive or manipulate someone, often resulting in their disadvantage","누군가를 속이거나 조종하다, 종종 그로 인해 불리한 결과를 초래하는 경우"
stone's throw,a very short distance; a close proximity,아주 짧은 거리; 가까운 근접성
stool pigeon,"a person who provides information or acts as an informant, often for the police",정보를 제공하거나 경찰을 위해 밀고자 역할을 하는 사람
stop at nothing,"to be willing to do anything, regardless of the consequences, in order to achieve a goal",목표를 달성하기 위해 결과와 관계없이 무엇이든 할 용의가 있다.
stop by,to visit briefly or make a quick stop at a place,잠깐 방문하다 또는 빠르게 들르다
stop the music,to cease or put an end to something; to halt or interrupt an activity or situation,무언가를 중단하거나 끝내다; 활동이나 상황을 멈추거나 interrupt하다
storm is brewing,there is trouble or conflict that is about to happen,어떤 문제나 갈등이 발생하려고 하고 있다.
straight from the horse's mouth,information received directly from the original or authoritative source,원본 또는 권위 있는 출처에서 직접 받은 정보
straight from the horses mouth,information that comes directly from a reliable source,신뢰할 수 있는 출처에서 직접 나오는 정보
straight from the shoulder,honest and direct; speaking openly and frankly,정직하고 직설적인; 솔직하고 뚜렷하게 말하는
strain at the leash,to eagerly or impatiently desire to do something or be free to do something,열망하거나 조급하게 어떤 것을 하거나 자유롭게 하고 싶어하다
strain every nerve,to exert maximum effort; to work as hard as possible,최고의 노력을 기울이다; 가능한 한 열심히 일하다
stranger things have happened,"used to express that although something may seem strange or unlikely, it is still possible because stranger and more unlikely things have happened before","이상이거나 가능성이 낮아 보일지라도, 이전에 더 이상하고 가능성이 낮은 일이 일어난 적이 있기 때문에 여전히 가능하다는 것을 표현할 때 사용된다."
strapped for cash,having a shortage of money; in a financially tight or difficult situation,돈이 부족하다; 재정적으로 어려운 상황에 있다
streets ahead,"much more advanced or ahead in progress, skill, or expertise","훨씬 더 발전된 또는 진전, 기술, 전문성에서 앞선"
strike a balance,to find a compromise or reach a middle ground,타협점을 찾다 또는 중간 입장을 이끌어내다
strike a chord,evoke a strong emotional response; resonate with someone,강한 감정적 반응을 이끌어내다; 누군가와 공명하다
strike it rich,"to suddenly become very rich or successful, often through unexpected good luck","갑자기 매우 부유하거나 성공하게 되다, 종종 예상치 못한 행운을 통해"
strike the chord,"to resonate or make an impact, typically in an emotional or relatable way",공명하다 또는 감정적으로나 공감할 수 있는 방식으로 영향을 미치다
strike while the iron is hot,to take advantage of an opportunity at the right moment,적절한 순간에 기회를 포착하다
stroke of luck,unexpected good fortune or luck,예상치 못한 좋은 운이나 행운
stubborn as a mule,extremely stubborn or obstinate,극도로 고집 센 또는 완고한
suck it up,to endure or tolerate a difficult or unpleasant situation without complaining or showing weakness,힘들거나 불쾌한 상황을 불평하지 않고 약점을 드러내지 않으며 견디거나 참다
suited and booted,to be dressed in formal or smart attire,정장이나 세련된 복장을 하다
sure as eggs is eggs,"absolutely certain or true, without a doubt","절대 확실한, 의심의 여지 없이"
surgical strike,"an attack or action that is precise, targeted, and intended to achieve a specific goal or outcome, often with a minimal amount of collateral damage","정확하고 목표가 뚜렷하며 특정한 목표나 결과를 달성하기 위한 공격 또는 행동, 종종 최소한의 부수적 피해로 이루어지는 경우"
swear like a trooper,to use profane or vulgar language excessively,비속어나 저속한 언어를 과도하게 사용하다
sweat blood,to put in a lot of effort or work extremely hard to accomplish something,많은 노력을 기울이거나 매우 열심히 일해 무언가를 이루다
sweat like a pig,to perspire heavily,심하게 땀을 흘리다
sweep someone off their feet,to completely captivate or overwhelm someone with charm or romance,매력이나 로맨스로 누군가를 완전히 사로잡거나 압도하다
sweep something under the carpet,"to hide or ignore a problem or issue, usually in order to avoid dealing with it","문제나 이슈를 숨기거나 무시하다, 보통 그것을 다루는 것을 피하기 위해서"
sweep something under the rug,"to ignore or conceal a problem or issue, typically in order to avoid dealing with it or to maintain a positive image","문제나 이슈를 무시하거나 은폐하다, 일반적으로 그것을 처리하는 것을 피하거나 긍정적인 이미지를 유지하기 위해서."
sweep the board,to win or take all of the available prizes or rewards,모든 상이나 보상을 차지하다
sweet nothings,flattering or romantic words or expressions of affection that may not carry much substance or sincerity,겉치레에 불과하거나 진정성이 없는 아첨이나 로맨틱한 표현들
sweetness and light,pleasant or agreeable behavior or attitudes,쾌활하거나 유쾌한 행동이나 태도
swim against _ tide,to go against popular opinion or prevailing trends,대중의 의견이나 유행에 반하다
swim against the tide,to go against popular opinion or prevailing trends,대중의 의견이나 유행에 반하다
swim with the tide,to go along with the majority opinion or prevailing trends; to conform,대세에 따르다; 순응하다
swing by,to visit briefly or make a quick stop,잠깐 방문하다 또는 빠르게 들르다
swing the lead,to pretend to be ill or lazy in order to avoid work,일을 피하기 위해 아프거나 게으른 척하다
swings and roundabouts,an outcome where the advantages and disadvantages are equal or balanced; a situation where there are equal gains and losses,장점과 단점이 동등하거나 균형을 이루는 결과; 이득과 손실이 동일한 상황
swipe right,"to express interest or approval in someone or something, particularly in the context of online dating",특히 온라인 데이팅의 맥락에서 누군가 또는 무언가에 대한 관심이나 승인을 표현하다
syrup of figs,"a gentle or soothing action or remedy, often used to refer to a kind gesture or kind words to resolve or ease a difficult situation","어려운 상황을 해결하거나 완화하기 위해 자주 사용되는 부드럽거나 진정시키는 행동이나 치료법, 일반적으로 친절한 제스처나 친절한 말을 가리킵니다."
take _ bull by _ horns,to confront a difficult or challenging situation head-on,어려운 상황에 정면으로 맞서다
take a back seat,to assume a secondary or subordinate role; to allow someone else to take control or have prominence,부차적이거나 하위 역할을 맡다; 다른 사람이 통제하거나 두드러지게 하도록 허용하다
take a bath,to suffer a financial loss or failure,재정적 손실이나 실패를 겪다
take a beating,to suffer a significant loss or defeat; to endure a harsh criticism or punishment,심각한 손실이나 패배를 겪다; 가혹한 비판이나 처벌을 견디다
take a bow,to take credit or receive recognition for a job well done,잘한 일을 인정받거나 공을 인정받다
take a butchers,to have a look or examine something,무언가를 살펴보거나 검사하다
take a deep breath,"to calm down or relax, especially in a stressful or difficult situation",긴장하거나 힘든 상황에서 마음을 진정시키다 또는 편안하게 하다
take a dim view of,To have a negative or unfavorable opinion of something or someone,무언가 또는 누군가에 대해 부정적이거나 좋지 않은 의견을 가지다
take a dive,"to intentionally fall or feign injury, typically in a sporting event, in order to deceive or manipulate the outcome",일반적으로 스포츠 경기에서 결과를 속이거나 조작하기 위해 의도적으로 넘어지거나 부상을 가장하다.
take a flyer,to take a risk or gamble without being fully informed or prepared,무엇에 대해 충분히 알지 못하거나 준비되지 않은 채로 위험을 감수하거나 도박하다
take a hike,to go away; leave; get lost,떠나다; 나가다; 잃어버리다
take a leaf out of someone's book,to learn from someone's actions or behavior; to imitate someone in order to achieve similar results,누군가의 행동이나 행위에서 배우다; 유사한 결과를 얻기 위해 누군가를 모방하다
take a leak,to urinate,소변을 보다
take a powder,to leave quickly; to disappear,빠져나가다; 사라지다
take a rain check,"to decline an invitation or offer, but with the intention of accepting or participating at a later time","초대나 제안을 거절하되, 나중에 수락하거나 참여할 의도로 거절하다"
take a raincheck,"To decline an invitation or offer politely, with the intention of accepting or rescheduling it at a later time.","초대나 제안을 정중하게 거절하되, 나중에 수락하거나 일정을 조정할 의도가 있는 경우."
take a shine to,to become attracted to or develop a liking for someone or something,누군가 또는 무언가에 매력을 느끼거나 좋아하게 되다
take a stab at,"to attempt or try something, often without much certainty or preparation","무엇인가를 시도하거나 해보려고 하다, 종종 확실성이나 준비 없이"
take aback,To surprise or shock someone,누군가를 놀라게 하다 또는 충격을 주다.
take breath away,to be amazed or in awe of something,무언가에 감탄하거나 경탄하다
take care,to be cautious or careful; to look after or protect someone or something,조심하다; 누군가 또는 무엇인가를 돌보거나 보호하다
take for a ride,"deceive or trick someone, often for personal gain","누군가를 속이거나 속임수로 이용하다, 종종 개인적인 이익을 위해"
take for granted,to not appreciate or value something or someone because it is always available or present,항상 이용 가능하거나 존재하기 때문에 무언가 또는 누군가를 소중히 여기지 않거나 가치를 평가하지 않다.
take forty winks,"to take a short nap or rest, usually during the day",주로 낮에 짧게 낮잠을 자거나 쉬다
take heart,to be encouraged or reassured,격려받다 또는 안심하다
