Idiom,Meaning,Meaning_ar
كان وراءه,"To be favourably disposed to someone, stand behind someone, support, back someone",أن تكون مُتَحَيِّزًا لشخص ما، تقف بجانب شخص ما، تدعم، تُسانِد شخصًا ما
كان وقفا ً على,To be entirely dependent on,أن يَكون مُعتَمِداً بالكامِل على
ًكانت الحرب بينهم سجاال,"Their battle had its ups and downs, they fought with each other with alternate success",كانت معركتهم مليئة بالتقلبات، حيث قاتلوا بعضهم البعض بنجاح متبادل.
كانت له الصفقة الخاسرة,He had a losing deal,كان لديه صفقة خاسرة
كانت من البراءة بحيث ال ترى,She was so naïve that she couldn’t see,كانت ساذجة لدرجة أنها لم تستطع أن ترى
كانوا على طرفي نقيض,"They were at variance, they carried a feud",كانوا في خلاف، وكان بينهم عداوة
(كأني بها )تفعل,"I am under the impression that she, it looks to me as if she...",لدي انطباع بأنها، يبدو لي أنها...
الكائن المطلق,"The Absolute Being, God",الكائن المطلق، الله
كائنا ً ما كان,"Whatever it may be, be what it may",أياً كان ما يكون، فليكن ما يكون
كائنا ً من كان,Whoever it may be,أياً كان
الكائنات,"The created beings, the universe, the world",المخلوقات، الكون، العالم
(كبّ لوجهه )على وجهه,To prostrate,يَسجُد
كبار الضباط,Senior officers,الضباط الكبار
كبار الموظفين,Senior officials,كِبار المسؤولين
كبت أنفاسَه,To get someone out of breath,لجعل شخص يلهث
كَبَتَ غيظ َ ه في جوفه,To suppress one’s anger,كَبت الغَضَب
كَبَحَ جماحَه,"To curb someone’s defiance, repress someone or something",لكبح تحدي شخص ما، قمع شخص أو شيء ما
كبريات,Greater,أكبر
ٍ كَب َ س َ السنةَ بيوم,To intercalate (a day in a leap year),إدراج (يوم في سنة كبيسة)
كبير األساقفة,Archbishop,رئيس الأساقفة
كبير السن,Old,قديم
كبير القضاة,Chief justice,رئيس القضاة
كبير النفس,Proud,فَخور
الكتاب,"The Quran, the Bible",القرآن، الإنجيل
كتاب االعتماد,Credentials (diplomatic),الأوراق الاعتمادية (الدبلوماسية)
كتاب الزواج,Marriage contract,عقد الزواج
كتاب الطالق,Bill of divorce,صَك الطلاق
كتاب تعليمي,Textbook,كِتاب دِراسي
كتاب خانة,"Bookstore, library",مَكتَبة (لبيع الكتب)، مَكتَبة (للقراءة)
كتابات,"Essays, writings",مقالات، كتابات
ًكتابة,In writing,كتابةً
كتابة التاريخ,Historical writing,الكتابة التاريخية
. . . كتب على نفسه أن,To be firmly resolved to...,أن يكون عازمًا بحزم على...
كتب عنه,To write from someone’s dictation,الكِتابة عن إملاء شَخص ما
كتب كتابَه,To draw up the marriage contract for someone,لِكتابة عَقد الزَواج لشخص ما
(كتبه هللا على )لِـ,"To foreordain, destine (of God)",يُقَدِّر
ك ُ تَل بشرية,"Crowds, throngs, masses",حشود، جموع، جماهير
ك ُ تلة الجسد,"Bulk of the body, frame",جِسم الجسم، الهَيكل
كتلة من األعصاب,"A fearless, husky fellow",رَجُل شُجاع وقَوي البُنية
كتم أنفاسَه,"To take someone’s breath away, drive someone out of his senses",يَسْلُب الألباب، يُذهِل شخصًا
كَث َ افة السكان,Density of population,الكَثافة السُكّانية
كثافة الصوت,"Sonority, sound intensity",الصوتية، شدة الصوت
كش ّ ر عن أنيابه,"To bare one’s teeth, gnash one’s teeth",يَكشِّر عن أنيابه، يَصرّ على أسنانه
كثرة من,"Majority, major portion of",الغالبية، الجزء الأكبر من
الكثير,The most part,معظم الجزء
كثير السكان,Populous,مُكتَظ بالسُكّان
كثير الكالم,"Talkative, loquacious, garrulous",ثَرثار
كثير على,Too much for,أكثر من اللازم بالنسبة لـ
الكثير من,Most (of),معظم
(الكثير من )الكثيرون من,"The majority of, most of, plenty of, a great many, a lot of",غالبية، معظم، الكثير من، عدد كبير من، الكثير من
كثيرا ً ما,"Very, much, to a large extent, often, frequently",جِدًّا، كَثيرًا، إلى حَدٍّ كَبير، غالِبًا، تَكرارًا
كحاطب ليل,He doesn’t know what he is doing,هو لا يَعرِف ماذا يَفعَل
ك ُ داسة,"Heap, pile, stack",كومة، رُكام، مَكدَّس
كِدت ُ أذهب,I almost went,كِدتُ أذهب
كدح في,"To toil, labour, slave (in or with something)",يَكدَح، يَعمَل بِجِد، يَكدَح في شيء
كَدِرَ على,To be angry,أن تَغضَب
(ُكَدَرَ )الماء,"To be turbid, muddy, roiled (liquid)",أن يكون عَكِرًا أو مُوحِلًا أو مُضطَرِبًا (سائل)
كدّره على,"To trouble, spoil something for someone",لإزعاج أو إفساد شيء لشخص ما
كذا وكذا,"So and so, such and such, so-and-so much, so-and-so many",كذا وكذا، كذا وكذا، كذا وكذا كثير، كذا وكذا كثيرون
كذب في كذب,"Lie after lie, lies upon lies",كذبة بعد كذبة، أكاذيب فوق أكاذيب
كِذبَة إبريل,April fool’s joke,كِذبة أبريل
كذلك الحال في,"The same goes for, it is also the same with",الأمر نفسه ينطبق على، هو أيضًا نفس الشيء مع
ّالكَرّ والفَر,Attack and retreat (in battle),الهجوم والتراجع (في المعركة)
ك ُ رات لحم,Meatballs,كُرات اللحم
(كرائم المال )األموال,The most prized possession(s),الأمْتِعة الأثْمَن
كرَّةً أخرى,"A second time, once more",مرة ثانية، مرة أخرى
(ك ُ رة األرض )ك ُ رة أرضية,"Terrestrial globe, globe",الكرة الأرضية
ك ُ رة الثلج,Snowball,كرة الثلج
ك ُ رة السَّل ّ ة,Basketball,كرة السلة
ك ُ رة الطاولة,Table tennis,تنس الطاولة
ك ُ رة القدم,Football,كرة القدم
ك ُ رة الكواكب,Celestial sphere (astrology),الكرة السماوية (علم التنجيم)
ك ُ رة الماء,Water polo,كرة الماء
ك ُ رة اليد,Handball,كرة اليد
كرّة بعد كرّة,"Repeatedly, time and again",مَرارًا وتَكرارًا
كرخانة,"Workshop, factory",وَرشة، مَصنَع
كرّره (السؤال) على,To pose over and over again (a question),لِطَرح (سؤال) مَرارًا وتَكرارًا
إلى- َكَرَز,To hide or seek refuge with,يَختَبِئ أو يَلجَأ إلى
كرز باإلنجيل,"To preach, spread the Gospel",لِيَعِظ، يَنشُر الإنجيل
كرّس,"To consecrate, open ceremonially (Christian)",تَدشين
كرّس في,"To devote, dedicate",يُكَرِّس
كرسي المَلِك,Royal chair,كرسي ملكي
كرسي المملكة,"Capital, metropolis",عاصمة، مدينة كبرى
كرسي دائر,"Swivelling chair, revolving stool",كرسي دوار، مقعد دوار
كرسي هز ّ از,Rocking chair,كرسي هزاز
كركر في الضحك,"To burst out into laughter, roar with laughter",يَنفَجِر ضاحكًا، يَقهَقِه ضاحكًا
كرم األخالق,Noble character,شَخصِيَّة نَبِيلَة
كرّم هللا وجهه,May God honour him!,شَرَّفَهُ الله!
كرم المَحتِد,Noble descent,نَسَب نَبيل
ًكَرَما,"Most kindly, obligingly, out of kindness",بكل لطف، بكرم، بدافع اللطف
ك ُ رمَانا ً لك,"For your sake, as a favour to you, in your honour",من أجلك، كمعروف لك، تكريمًا لك
َك ُ رمَة ً ل َ ك,"For your sake, as a favour to you, in your honour",من أجلك، كمعروف لك، تكريمًا لك
كرّمه على,To exalt someone above another,لِتَفضيل شَخص على آخَر
ًكَرها,"Unwillingly, reluctantly, under compulsion, under duress",بِغَير إرادة، على مَضَض، تحت الإكراه، تحت الضَغط
كروية األرض,The sphericity of the earth,كُروية الأرض
كريم األخالق,"Noble-minded, noble",نَبيل
كريم األصل,"Noble descent, highbred",نَسَب نَبيل، أصيل
كريم النحيزة,"Noble-minded, of generous disposition",نَبيلُ الخُلُق، كَريمُ الطَّبع
الكريمان,"The two noble things, Hajj and Jihad",الأمران النبيلان، الحج والجهاد
الكريمتان,The two eyes,العَينان
كَز ُّ اليدين,"Closefisted, miserly, niggardly",بَخيل
كسابق العادة,"As was formerly customary, as was usual",كما كان معتادًا في السابق، كما كان شائعًا
كساه بِـ,"To encase something in, to cover something with something",لِتَغليف شيءٍ ما، لِتَغطية شيءٍ بشيءٍ آخر
كساه صيغة ً كذا,"To give something the appearance of, make something look like",لإعطاء شيء مظهرًا، لجعل شيء يبدو كـ
كسب هُتافا ً لِـ,"Win acclaim for, be applauded for",يَحظى بالإشادة لِـ، يُصفَّق له لِـ
كسر البيت,Nook of the house,ركن من أركان المنزل
َكسر الصمت,To break the silence,لِكَسر الصَمت
َكسر العطش,To quench the thirst,لإرواء العطش
كسر أنفَه,To humiliate someone,إذلال شخص ما
كَسَرَ خَاطِرَه,"To disappoint, offend, affront someone",لِيُخَيِّب أمل شخص، أو يُهين، أو يُسيء إلى شخص
كسر عشري,Decimal fractions,الكسور العشرية
كَسَرَ عُودَه,"To break someone’s power of resistance, crush someone’s spirit",لِكَسر قُدرة شَخص على المُقاوَمة، وسَحق رُوحه
كسر قلبَه,"To break someone’s heart, to discourage someone",أن يُحَطِّم قَلبَ شَخص، أن يُثَبِّط هِمَّة شَخص
كسر من حدته,"To blunt the edge of something, tone down something, temper s.th or someone",لتَخفيف حِدّة شيء، أو تلطيف شيء، أو ترويض شيء أو شخص
ك ُ سِرت الريح,The wind has calmed down,هدأت الرياح
كسره عن مراده,To dissuade or hinder someone from carrying out his intention,لِثَني أو إعاقَة شَخص عن تَنفيذ نِيَّته
ك ُ سُورات,Fractions,الكسور
كشاف كهربائي,Searchlight,كشّاف ضوئي
كَشَحَ – له بالعداوة,"To harbour enmity towards someone, hate someone",أن يُكِنّ العَداء لشخص، يَكرَه شخصًا
كَشَحَهُم,"To disperse, scatter, break up (a crowd)",لتفريق، تشتيت، فض (الجمهور)
كش ّ ر عن أسنانه,To bare or show one’s teeth,يُكشِّر عن أنيابه
( كش ّ ر عن نابه )أنيابه,To bare or show one’s teeth,يُكشِّر عن أنيابه
كشف القناعَ عن,"To unveil, unmask someone or something",لكَشف أو فَضح شَخص أو شَيء
كشف النقابَ عن,"To uncover, reveal, disclose something",لكَشف شيء أو إفشائه أو الإفصاح عنه
كشف طبي,Medical examination,فَحص طِبّي
ًكشف عليه طبيا,To examine someone medically,لفحص شخص طبيًا
كَشَفَ عن,"To unveil, reveal, disclose, expose, investigate, examine something",لكشف، إفشاء، إفصاح، فضح، تحقيق، فحص شيء ما
كشفت الحرب عن (على) ساقها,"War flared up, fierce fighting broke out",اندلعت الحرب، واندلع قتال شرس
كشوف,Discoveries,اكتشافات
كعب الكتاب,Spine of a book,عَمود الكِتاب
الكعبة,"The Kaaba (in Mecca) Shrine, object of veneration, focus of interest (fig.)",الكعبة (في مكة) مزار، موضوع تبجيل، محور اهتمام (مجازاً)
(كعبة )ـات,"Cube(s), cubic structure(s)",مُكَعَّب / مُكَعَّبات، هيكل مُكَعَّبِي / هياكل مُكَعَّبِيَّة
كعهدهم به,Such as they used to know him,كما كانوا يعرفونه
كفّ بصرُه عن,To become blind,أن يُصبِح أعمى
كف جبّارة,A strong slap in the face,صفعة قوية على الوجه
ك ُ فء لِـ,"Adequate, appropriate, fit (for), equal to someone, a match for, qualified, competent",مُلائم، مُناسب، مُؤهَّل، كُفء، مُكافئ لشخص، نِدّ لشخص، مُؤهَّل، كُفء
كفاءات,"Qualifications, abilities, capabilities",المؤهلات، القدرات، الإمكانيات
كفارة عن,"Penance, atonement (for a sin)",كَفّارة
كفالة بالنفس,"Bail (especially for due appearance of a person in court, Islamic Law)",كَفالة
كفالة مالية,"Security, bail",الأمن، الكفالة
كفاه مُؤنَة ً كذا,To save someone the trouble of,لِتَجَنُّب إزعاج شَخص ما بـ
كفاية القتال,Fighting power,قوة قتالية
كَفَرَ باهلل,"To be an infidel, not believe in God, to blaspheme God",أن يكون كافراً، لا يؤمن بالله، أن يجدف على الله
ك ُ فر باهلل,"Godlessness, atheism",الإلحاد
كفر ما بعده كفر,An unequalled blasphemy,تَجديف لا يُضاهى
كفران بالنعمة,"Ingratitude, ungratefulness",نُكران الجَميل
كفى هللا عنك,"May God give satisfaction in your stead, or may God make up for your shortcoming (said to someone making a mistake)",عَسَى الله أن يُعوِّض عليك، أو عَسَى الله أن يُكفِّر عن خطأك
ًكفى باهلل وكيال,God is the best protector,الله خير الحافظين
كفيف البصر,Blind,أعمى
كفيل بالنفس,Bailsman,كَفيل
الكل,"The whole, all, everything",الكل، جميع، كل شيء
كل أحد,"Every (single) one, each one",كُلّ واحِد
ًالكل إال قليال,"Almost everything, nearly all",تَقريبًا كُل شيء، تَقريبًا الكُل
كل اآلمال معقودة ٌ بناصيته,All hopes are pinned on him,تُعَلَّق عليه جميع الآمال
كل البيت,The whole house,المنزل بأكمله
كل الصيد في جوف الفَراء,There are all kinds of game in the belly of the wild ass (proverbially of someone or something that combines all good qualities and advantages and makes everything else dispensable),يوجد جميع أنواع الصيد في بطن الحمار الوحشي (يُقال مجازًا عن شخص أو شيء يجمع كل الصفات الجيدة والمزايا ويجعل كل شيء آخر غير ضروري)
كل أمرِه,Everything that concerns him,كل ما يخصه
كل ذلك,All that,كل ذلك
كل رجل,Every man,كل رجل
كل سبعة أيام,"In each seven days, every seven days",كل سبعة أيام
كل شيء,"Everything, all",كل شيء
كل صغيرة وكبيرة,Every single detail,كل تفصيلة
ٍكل على حدة,Everyone by himself,كل شخص بنفسه
الكل في الكل,"Everything, all embracing, all- comprehensive, all-powerful",كل شيء، شامل، كامل، كلي القدرة
كل ما,"All that, whatever, whatsoever",كل ذلك، مهما كان، أيًّا كان
. . . كل ما في األمر أن,"There is no more to it than, it’s nothing but...",لا يَزيد عن كونه...
ْكُل مَن,"Everyone who, whoever, whosoever",كل من
كل من فالن وفالن وفالن,A as well as B as well as C,أ وكذلك ب وكذلك ج
كل من هب ودب,"Every Tom, Dick and Harry",كل من هب ودب
كل ناعق وناعر,"Every Tom, Dick and Harry, all that is alive and astir, everybody and his brother",كل من هب ودب، كل ما هو حي ومتحرك، الجميع بلا استثناء
كل واحد,"Every (single) one, each one, everyone",كل واحد
كل وقت,"At any time, always",في أي وقت، دائماً
كل يبكي (يغني) على لياله,"Everyone sings his own tune, does as he pleases, follows his own fancy",كل شخص يغني على ليلاه، يفعل ما يشاء، ويتبع هواه.
كل يدعي وصال ً بلياله,"Everybody claims to be the chosen one, everyone brags in his own way",الجميع يدّعي أنه المختار، وكل شخص يتفاخر بطريقته الخاصة.
كَل,"Not at all, on the contrary, by no means! Certainly not! Never! No!",على الإطلاق، على العكس، بأي حال من الأحوال! بالتأكيد لا! أبداً! لا!
كَلا َّ ث ُ مَّ كَل,No and a hundred times no! Not at all!,لا ومائة مرة لا! على الإطلاق!
الكالم بين أيديكم,"You have the floor, you may speak",لديك الكلمة، يمكنك التحدث
كالم ذو وجهين,"Equivocal statement, ambiguous words",تصريح غامض، كلمات مبهمة
كالم فارغ,"Idle talk, prattle, poppycock, bosh, nonsense",حديث فارغ، ثرثرة، هراء، كلام فارغ، كلام تافه
كالم في كالم,"Just so many words, idle talk",كلام فارغ كثير
كلب البحر,Shark,قرش
كلب الماء,"Otter, beaver",قُندُس، قَضَّاعَة
كَل َ ب على,Greed (for),الجَشَع (لـ)
كَلِبَ على,To covet,يَطمَع في
كَلِفٌ بِـ,"Very fond of, very attached to, very much in love with",مُغرَم بِـ، مُتَعَلِّق جِدًّا بِـ، مُحِبّ جِدًّا لِـ
كل ّ ف خاطرَه,"To take the trouble, bother someone",يَتَكَبَّد العَناء، يُزعِج شَخصًا
(كل ّ ف نفسَه عَنَاء )مؤونة، مشقة,"To take the trouble to, go to the trouble of",يَتَكَبَّد عَناء
كل ّ فه بِـ,"To commission, charge, entrust someone with something",تَكليف شخص بشيء
ًكلّفه ثمناً باهظا,To cost someone dearly,يُكَلِّف شَخصًا غالِيًا
ًكلّفه شططا,"To overtask someone, expect or demand too much of someone",إرهاق شخص ما أو توقع أو مطالبة شخص ما بأكثر من طاقته
كل ّ فه,To cost someone a certain amount,أن يُكَلِّف شَخصًا مَبلغًا مُعَيَّنًا
كل ّ ل,To perform the marriage ceremony (Christian),إقامة مراسم الزواج (المسيحية)
ك ُ ل ِّ لَ بالنجاح,To be crowned by success,أن يُتوَّج بالنَّجاح
كل ّ له,"To crown (someone, also fig. something)",يُتوِّج (شخصًا، وأيضًا مجازًا شيئًا)
كلما,"Whenever, the more, in the same measure as",كُلَّما، كُلَّما زاد، بِنَفسِ القَدر الذي
كلما . . . كلما,The more... the more,كُلَّما... كُلَّما
الكلمات العشر,The Ten Commandments,الوصايا العشر
كلمات مترادفة,Synonymous words,كلمات مترادفة
كلمة السر,Password,كلمة المرور
الكلمة العليا,"Supremacy, hegemony",التفوق، الهيمنة
كلمة هللا,"The Word of God, the Holy Scriptures",كلمة الله، الكُتُب المُقَدَّسة
كلمة المرور,Password,كلمة المرور
كلمة ترحيبيّة,Welcoming speech,خطاب ترحيبي
كلمة تمهيدية,Preface,مُقَدِّمة
كلمة ً فكلمة,"Word for word, literally",صَبُور
كلمة مأثورة,Proverb,مَثَل شَعبي
كلمح البصر,"In the twinkling (blink) of an eye, in a moment, in a flash, instantly",في غَمضة عين، في لحظة، في لمح البصر، فورًا
ٌكل ُّ نا أمَل,We are all full of hope that,نحن جميعًا مفعمون بالأمل أن
كله,"He entirely, all of him, it entirely, all of it",هو بالكامل، كله، هي بالكامل، كلها
كَل ُ وء العين,"Sleepless, awake",مُسْتَيْقِظ، سَهِر
كليات,The complete works (of an author),الأعمال الكاملة (لمؤلف)
الكليات,The five logical predicates or general conceptions (philosophy),المحمولات المنطقية الخمسة أو التصورات العامة (الفلسفة)
ًكُلِّية,"Wholly, entirely, totally, absolutely",كُليًا، تمامًا، بشكل كامل، إطلاقًا
كلية حربية,Military academy,أكاديمية عسكرية
كم بالحَرِي,How much more...! How much rather...!,كم بالأحرى...! كم بالأولى...!
كَمَّ فمَه,To silence someone,إسكات شخص ما
كم مرةً؟,How many times? How often? How often!,كم مرة؟ كم تكراراً؟ كم تكراراً!
كم من مرةٍ؟,How many times? How often? How often!,كم مرة؟ كم تكراراً؟ كم تكراراً!
كم ولدا ً لك؟,How many sons do you have?,كم عدد أبنائك؟
كما اتفق,"As chance would have it, at random, haphazardly",كما شاءت الصدفة، بشكل عشوائي، دون تخطيط
كما أن,"As, just as, quite as, as also, as on the other hand (introducing a nominal clause)",كما
كما تقدم,As already mentioned,كما ذُكِرَ سابقًا
ًكما لو كان حاضرا,As if he were present,كما لو كان حاضراً
كما مر بنا,"As it has passed before us, as we have already mentioned",كما مرَّ علينا سابقًا، كما ذكرنا بالفعل
كما هو,"Such as it is, as things are, such being the matter",كما هو الحال، كما هي الأمور، بما أن الأمر كذلك
كما هو الحال في,As is the case with,كما هو الحال مع
كما هي الحالة في,As is the case with,كما هو الحال مع
كما يأتي,As follows,كما يلي
كما يجب,"As it should be, as it must be,",كما ينبغي أن يكون، كما يجب أن يكون،
كما يلي,"As follows, like this",كما يلي
كما يود,As he likes,كما يُحِبّ
الكمال الكتابي,Literary perfection,الكمال الأدبي
كماليات,Luxuries,كَمَالِيّات
كمثل,"Similar to, like, just as, the same as, much as",مِثل، كَما، تمامًا كَما، نَفس الشَيء كَما، بِنَفس القَدر كَما
كميش اإلزار,"Adroit, skilful, active, diligent, industrious",بارع، ماهر، نشيط، مجتهد، كادح
كنا بِـ عن,To allude with something to,لِيُلمِّح إلى شيء ما
كناية,"Metonymy, allusion, indirect declaration of (legal) intent (Islamic Law)",كِناية، تَلميح، إعلان غير مباشر للنّية (في القانون الإسلامي)
كناية عن,"Tantamount to, in lieu of, instead of",مُعادِل لِـ، بَدَلًا مِن، عِوَضًا عَن
كناية عن,"It is tantamount to, it means, it stands for, it consists in",يُعادل، يَعني، يُمثّل، يَتَكوّن من
كَنَزَ (ه) في األرض,To bury a treasure in the ground,دَفْن كَنْز في الأرض
كهذا,"Such, for example",مثلًا على سبيل المثال
كوّر العمامة,To wind the turban,لَفّ العِمامة
كوّر قبضته,To clench one’s fist,لِيَقبِض يَدَهُ في قُبضة
كومة الحطب,"Pyre, stake",محرقة، وتد
الكون,"The existent, reality, the world, the universe, the cosmos",الوجود، الواقع، العالم، الكون، الكوسموس
الكون األعلى,"The Supreme Being, God",الكائن الأسمى، الله
ٍ كونوا على يقين,You can be sure,يمكنك أن تكون متأكدًا
كي ال,"In order not to, lest",كي لا، خشية أن
كيس الوسادة,Pillowcase,غِطاء الوِسادة
كيف حالك؟,How are you?,كيف حالك؟
!. . . كيف ال و,Why shouldn’t it be so since...!,لماذا لا ينبغي أن يكون الأمر كذلك طالما...!
كيّف نفسه,"To conform, adjust, adapt (something oneself)",للتكيّف، التعديل، التكيّف (شيء أو النفس)
كيفما,"However, howsoever",ومع ذلك، بأي حال من الأحوال
كيفما اتفق,"However it may turn out, no matter how, in any case, at any rate",بغض النظر عن كيفية حدوثه، مهما كان، في جميع الأحوال، على أي حال
كيفما كان الحال,"Whatever the case may be, be that as it may, in any case, at any rate",مهما كان الحال، على أي حال، في جميع الأحوال، على أي حال
كيفية االستعمال,Directions for use,تَعليمات الاستِخدام
كيفية العمل,Operation,عملية
ل َ ـ إِنَّ – ل َ ـ,"Truly, verily, certainly (intensifying particle, frequently after",حقًا، حقًا، بالتأكيد (أداة توكيد، تُستخدم غالبًا بعد)
لِـ,"For, on behalf of, in favour of, to (of the dative), because of, due to",لِ، نيابةً عن، لصالح، إلى، بسبب، نتيجةً لـ
(ْلِـ )يفعل,"That, so that, in order that, in order to (conjunction with the subjunctive)",لكي
لا,"Not, no! (particle)",لَا
بالكلية- ال,"Not at all, absolutely not",على الإطلاق، بالتأكيد لا
من قريب أو بعيد- ال,"Not – in the least, not by a far cry",ليس على الإطلاق، ولا بأي حال من الأحوال
وال- ال,Neither – nor,لا هذا ولا ذاك
ال . . . غير الشيء اليسير,Only very little,قَليل جِدًا
ال . . . بتاتًا,"Absolutely not, by no means",بالطبع لا، بأي حال من الأحوال
ال أبالي,I don’t care! I don’t mind!,لا أُبالي! لا أمانع!
ال ابتاعُ منه وال أبيعُه,I don’t trust him,لا أَثِق به
ال أثر له,"Ineffective, ineffectual",غير فعّال، عديم الجدوى
ال أجد لي نَدحَة ً عن,I feel compelled to,أشعر بأنني مُلزَم بـ
ٍال أرى محال ً لعَجَب,"I don’t see any reason for amazement, there is nothing to be astonished about",لا أرى أي سبب للدهشة، لا يوجد شيء يدعو للاستغراب.
ال أساسَ له من الصحة,"Completely unfounded (news, rumour)",لا أساس له من الصحة (خبر، شائعة)
َال أصل له وال فصل,"Of lowly origin (person), without basis or foundation (speech)",من أصل وضيع (شخص)، بلا أساس أو سند (كلام)
ال أظن أحدا ً يُنكِر,I don’t think that anyone can deny,لا أعتقد أن أي شخص يمكنه أن ينكر
ال أظن إال أنه,I am quite sure that he...,أنا متأكد تمامًا أنه...
ال أظنك تخالفني,I don’t believe that you can contradict me,لا أعتقد أنك تستطيع أن تُناقِضني
ال أفعله يد الدهر,I shall never do it!,لن أفعله أبداً!
. . . ال أقل من أن,"The least one can do is to, I (you...) could at least...",أقل ما يمكن للمرء أن يفعله هو أن...، كان بإمكاني (يمكنك...) على الأقل...
ال إله إال هللا,"(with indefinite accusative, expressing a general negation) There is not, there is no",ليس هناكَ
ال بأس,Never mind! No problem!,لا بأس! لا مشكلة!
. . . ال بأس أن,It doesn’t matter that...,لا يَهُم أن...
ال بأس به,"There is no objection to it, not bad, considerable",لا مانع منه، ليس سيئًا، جدير بالاعتبار
ال بأس عليك,Don’t worry! It won’t do you any harm!,لا تقلق! لن يُلحق بك أي ضرر!
ال بد,"Definitely, without fail",بالتأكيد، دون فشل
ال بد له منه,"He simply must do it, he can’t get around without it",يجب عليه ببساطة أن يفعل ذلك، لا يمكنه الاستغناء عنه.
ال بد من,"It is necessary, inescapable, unavoidable",من الضروري، لا مفر منه، لا يمكن تجنبه
. . . ال بِدْعَ أن,No wonder that...,لا عَجَب أن...
ال به يُعمَلُ وال عليه يُعَوَّل,Null and void,لاغٍ وباطل
ال تَدمُرِي,"Nobody, not a living soul",لا أحد، ليس هناك روح حية
ال تدوم له حال,"No state is of any permanence with him, he is never the same for a very long time",لا حالة تدوم معه، فهو لا يبقى على حال واحدة لفترة طويلة جداً.
ال تشوبه شائبة,"Blameless, flawless, unblemished, immaculate",بريء، لا تشوبه شائبة، غير ملوث، نقي
ال تغيب عنه الشمس,It is not veiled in darkness,إنه ليس مغطى بالظلام
ال تفوته شاردة وال واردة,"Nothing escapes him, he doesn’t miss a thing",لا يَفوتُه شيء، لا يُفَوِّتُ أيّ شيء
ال تَق ُ ل,Don’t say! (expressing negative imperative),لا تَقُل!
ال تقوم لألعداء قائمة,"There is no resistance against the enemies, resistance against the enemy is futile.",لا يوجد مقاومة ضد الأعداء، المقاومة ضد العدو عديمة الجدوى.
ال تكاد ترى,"You will hardly ever see, you barely see, the moment you see",نادراً ما ترى، بالكاد ترى، في اللحظة التي ترى فيها
ًال تمأل الدنيا شؤما,Talk of the devil and he will appear!,اذكر الشيطان يظهر لك!
ال تؤاخذوني,Pardon me! Forgive me!,عذرًا! سامحني!
َال جدال,"Incontestably, indisputably",بِلا جَدَل، بِلا شَك
. . . ال جُنَاحَ عليه أن,"It won’t be held against him if he, it won’t do any harm if he...",لن يُؤخذ عليه إذا هو، لن يُسبب أي ضرر إذا هو...
(ِال حاجة إلى )لـ,"It is not necessary, there is no need of",ليس من الضروري، لا حاجة لـ
ال حاجة لي به,I don’t need it,لا أحتاجه
ال حدَّ له,"Boundless, infinite",بلا حدود، لا نهائي
ال حرج,There is no objection,لا مانع
ال حرج عليك,"Nothing stands in your way, you are at liberty",لا شيء يقف في طريقك، أنت في حريتك
ال حصر له,"Immeasurable, innumerable",لا يُقَدَّر، لا يُحصى
ال حظ له من علم,He has no knowledge,ليس لديه معرفة
ال حفلَ به,"Indifferent, of no consequence",غير مُبالٍ، بلا أهمية
ال حول له وال حيلة,"He is completely powerless, he can do nothing",إنه عاجز تمامًا، لا يستطيع فعل أي شيء.
ال حول وال قوة إال باهلل,There is no might or power but through God,لا حَوْلَ وَلا قُوَّةَ إِلَّا بِاللَّه
ال حيفَ به,"It is not out of place, it is quite appropriate",ليس في غير محله، بل هو مناسب تمامًا
ال حيلة لي في,"I have no possibility to, I am in no position to",ليس لدي إمكانية لـ، لست في وضع يسمح لي بـ
. . . ال خَفَاءَ في أن,"It is quite evident, it is quite obvious that...",من الواضح تمامًا أن...
ال خالقَ له,"Despicable, a worthless fellow",حقير، شخص عديم القيمة
ال خيرَ فيه,"There is no good in it, it’s no good",لا خير فيه، إنه غير مفيد
ال رجعة فيه,Irrevocable,لا يُمكن إلغاؤه
ال ساحل له,Shoreless,بلا شواطئ
ال سبيل إلى الشك فيه,"Doubtless, indubitable, beyond any doubt",بلا شك، لا شك فيه، فوق أي شك
ال سالح بين يديه,He is unarmed,هو غير مُسَلَّح
ال سِيَّمَا,"Especially, particularly",خاصةً
ال شأن له في ذلك,"He hasn’t anything to do with this, he has no part in this",ليس له أي علاقة بهذا، ليس له دور في هذا.
ال شأن لي به,"I haven’t anything to do with it, it’s none of my business",ليس لي أي علاقة بذلك، هذا ليس من شأني.
َّال شك,No doubt,لا شَكّ
ال شيء,"A nothing, nil, non-entity",لا شيء، صفر، كيان غير موجود
ال صبرَ لِي,I cannot bear it! This is unbearable!,لا أستطيع تحمله! هذا لا يُطاق!
(ال طائل تحته )فيه,"Of no avail, useless, futile",عديم الفائدة، غير مجدٍ، عبثي
ال عبرة به,"It deserves no attention, it is of no consequence",لا يستحق أي اهتمام، فهو بلا أهمية
. . . ال عبرة لمن,It is of no consequence if someone..,لا يهم إذا كان شخص ما..
َال عجب,No wonder!,لا عَجَب!
ال عداد له,"Innumerable, countless",لا يُحصى، لا يُعدّ
ال عليك,Don’t worry!,لا تَقلَق!
ال عليه,Never mind! It’s nothing! No harm done!,لا بأس! لا شيء! لم يحدث أي ضرر!
