Idiom,Meaning,Meaning_trans
َمأل العين,"To satisfy completely, please",للإرضاء التام، يرجى
مأل الفضاءَ بالشكوى,"To fill the air with complaints, voice loud laments",لملء الهواء بالشكوى، والصوت بالشكوى بصوت عالٍ
مأل شدقيه بالهواء,To puff one’s cheeks,لنفخ الخدود
مأل عينه,"To satisfy someone, to please someone",لإرضاء شخص ما، لإرضاء شخص ما
مالبس داخلية وخارجية,Underwear and outer clothes,الملابس الداخلية والملابس الخارجية
مالح وظالل,Lights and shades (in painting),الأضواء والظلال (في الرسم)
مالعب,"Matches, contests, events (in sports)",المباريات والمسابقات والأحداث (في الرياضة)
مالئم لِـ,"Adapted, suited, appropriate (to)",متكيف، مناسب، ملائم، مناسب (لـ)
مُل َ بّد بالغيوم,"Overcast, heavily clouded (sky)",السماء ملبدة بالغيوم والغيوم الكثيفة (السماء ملبدة بالغيوم)
مَلبس الوقاية,Protective clothes,ملابس واقية
مُلتَحٍ بلحية سوداء,A black-bearded man,رجل ذو لحية سوداء
ملجأ األطفال,"Day nursery, children’s home",حضانة نهارية ودار حضانة أطفال
( ملجأ األيتام )دار األيتام,Orphanage,دار الأيتام
ملجأ الشيوخ,Elderly home,دار المسنين
ملجأ العَجَزة,Infirmary,المستوصف
ملجأ العُميان,Institution for the blind,مؤسسة للمكفوفين
ملحوظ الجانب,"Noticeable, conspicuous",ملحوظة وواضحة
ملزوم باألداء,"Liable for taxes, taxable",مسؤول عن الضرائب، خاضع للضريبة
مِل َ ف الكتاب,Book cover,غلاف الكتاب
مُلفِت النظر,"Attracting attention, striking, conspicuous",جذب الانتباه، ملفت للانتباه، ملفت للانتباه، بارز
ملفوف على,"Twisted, wound",ملتوية ومجروحة
ملق ّ ب بِـ,"Nicknamed, surnamed, called",اللقب، اللقب، اللقب، المسمى
ملقيات االلغام البحرية,Mine layers,طبقات الألغام
ملك العينين من البكاء,To hold back the tears,لحبس الدموع
مِلك شائع,Joint property,الملكية المشتركة
ملك على نفسه أمرَها,To have oneself under control,أن يكون المرء تحت السيطرة
ملك عليه جميع مشاعره,To dominate someone’s every thought and deed,للسيطرة على كل أفكار وأفعال شخص ما
ملك عليه حسَّه,To take possession of someone’s feelings,الاستحواذ على مشاعر شخص ما
ملك عليه لبه,To preoccupy someone’s heart,أن تشغل قلب شخص ما
ملك عليه نفسَه,"To lay hold of someone’s soul, affect someone deeply",أن تستحوذ على روح شخص ما، وتؤثر على شخص ما بعمق
ملك مقيد,Constitutional monarchy,الملكية الدستورية
ملك ناصيتَه,"To be or become the master of something, have or get something under control",أن تكون أو تصبح سيدًا على شيء ما أو تتحكم في شيء ما أو تسيطر عليه
ملك نفسَه,"To control oneself, restrain oneself",السيطرة على النفس، كبح جماح النفس
ملكه الغيظ,"Anger overwhelmed him, got the better of him",طغى عليه الغضب، وتغلب عليه الغضب واستولى عليه
مُلِم بِـ,"Completely familiar, conversant with",على دراية تامة وإلمام بـ
ملم بالقراءة والكتابة,Literate,متعلم
ملموسات,Tangible things,الأشياء الملموسة
ملوك األرض عند هللا تراب,The kings of this world are mere dust in comparison with God,إن ملوك هذا العالم مجرد تراب بالمقارنة مع الله
مليّنات,Laxatives,الملينات
. . . مما يُالحَظ ُ أن,"It will be noticed that, obviously, evidently...",سيُلاحظ أنه، من الواضح، من الواضح، من الواضح...
ممتلئ الجسم,"Fat, stout, corpulent",سمين، شجاع، بدين، بدين
ممسوح من المعنى,"Senseless, meaningless, inane",لا معنى له، لا معنى له، تافه
ممكن المنال,Attainable,قابل للتحقيق
مملوء الوطاب بِـ,Amply provided with,مزودة بـ
ممنوع التدخين,No smoking,ممنوع التدخين
ممنوع الدخول,No entry! Keep out! Off limits!,ممنوع الدخول! ممنوع الدخول! ممنوع الدخول!
من – إلى,From – to,من - إلى
من (عن) كثب,"From nearby, at a short distance",من مكان قريب، على مسافة قصيرة
من أجل هذا,"For that reason, on this account",لهذا السبب، على هذا الحساب
من أحزابه,"He belongs to his clique, he is of the same breed",إنه ينتمي إلى زمرته، فهو من نفس السلالة
من آخره,"From behind, from the rear",من الخلف، من الخلف
من أدناه إلى أقصاه,"From one end to the other, throughout, everything without exception",من أوله إلى آخره، في كل مكان، كل شيء بدون استثناء
من أصحاب (ذوي) السوابق,Previously convicted,مدان سابقًا
من أعماق النفس,From the depth of his soul,من أعماق روحه
من أعماق قلبه,"From the bottom of his heart, from the depth of his soul",من أعماق قلبه، من أعماق روحه
. . . من االعتراف أن,"It must be admitted that, admittedly...",يجب الاعتراف بأنه، باعتراف الجميع...
ًمن اآلن فصاعدا,"From now on, henceforth",من الآن فصاعداً، من الآن فصاعداً
. . . من البديهي أن,"Obvious, it is immediately apparent, goes without saying that...",من الواضح، كما هو واضح، أنه من البديهي أن...
. . . من الخ ُ رْقِ في الرأي أن,It would be very unwise to...,لن يكون من الحكمة أن...
. . . من الخطأ أن,It is (would be) wrong to...,من (سيكون) من الخطأ...
من الخلف,From behind,من الخلف
من الرأس إلى أخمص القدم,From head to toe,من الرأس إلى أخمص القدمين
من الشجاعة بمكان,He is extremely brave,إنه شجاع للغاية
من الطراز األول,"First-class, first-rate",درجة أولى، من الدرجة الأولى
من الطراز القديم,"Old-fashioned, outmoded",قديمة الطراز، عفا عليها الزمن
من الظاهر,From outside,من الخارج
. . . من العبث أن,It is foolish and useless to...,من الحماقة وعدم الجدوى من...
من ألفه إلى يائه,"From beginning to end, from A to Z",من البداية إلى النهاية، من الألف إلى الياء
من الفور,Immediately,على الفور
ًمن القعر صاعدا,From the ground up,من الألف إلى الياء
من الليل,At night,في الليل
. . . من المحتمل أن,Probably...,على الأرجح...
. . . من المحق َّ ق أن,"It is certain that, it is a fact that...",من المؤكد أنه، من المؤكد أن...
. . . من الممكن أن,"Possibly, perhaps, maybe...",من المحتمل، ربما، ربما، ربما...
من المهد إلى اللحد,From cradle to grave,من المهد إلى اللحد
. . . من الواضح أن,It is obvious that...,من الواضح أن...
من آن إلى آخر,From time to time,من وقت لآخر
من أول أمره,"From the outset, right from the beginning",منذ البداية، ومنذ البداية
من أوله إلى آخره,"From beginning to end, from A to Z",من البداية إلى النهاية، من الألف إلى الياء
. . . من باب الضرورة أن,It is necessary that...,من الضروري أن...
من باب الفضل,As a favour,كمعروف
من باب أولى,"With all the more reason, the more so",مع كل ما هو أكثر من ذلك
من بعد,"From a distance, from afar",من بعيد، من بعيد
من بعض الوجوه,In some ways,في بعض النواحي
من بعض خدامه,To be one of his servants,أن تكون أحد خدمه
من بعيد,"From afar, from a distance",من بعيد، من مسافة بعيدة
من بين أظهرنا,"From our midst, from among us",من وسطنا، من بيننا
من تحت,"From under, beneath",من أسفل، تحت، تحت
من تحت الدلف لتحت المزراب,From one calamity to another,من مصيبة إلى أخرى
من تدخل فيما ال يعنيه سمع ما ال يرضيه,Keep your nose out of other people’s business,لا تتدخل في شؤون الآخرين
من تصميم فالن,Designed by so-and-so,صممه فلان وفلان
. . . من تفصيل,"Made to measure by, tailored by...",مصنوعة على المقاس، مصممة خصيصاً...
من تلقاء ذاته,"Of one’s own accord, spontaneously, automatically",من تلقاء نفسه، بشكل تلقائي وعفوي وتلقائي
من تلقاء نفسه,"Of one’s own accord, spontaneously, automatically",من تلقاء نفسه، بشكل تلقائي وعفوي وتلقائي
َّمن ث َ م,"Hence, therefore, for that reason",ومن ثم، لهذا السبب، لهذا السبب
َّمن ث ُ م,"Then, thereupon",ثم، بعد ذلك
من جانب ومن جانب آخر,On the one hand – on the other hand,من ناحية - من ناحية أخرى
من جانبه,On his part,من جانبه
من جبيني,I alone,أنا وحدي
من جديد,"Anew, again",من جديد، مرة أخرى
من جرّاء,"Because of, due to",بسبب، بسبب
من جرَّاك,"Because of you, on your account, for your sake",بسببك، على حسابك، من أجلك، من أجلك
مِنْ جرائك,"Because of you, on your account, for your sake",بسببك، على حسابك، من أجلك، من أجلك
من جَرَّى,Because of,بسبب
من جريرة,"Because of, on account of",بسبب، على حساب
من جميع النواحي,In every aspect,في كل جانب من الجوانب
من جهة . . . ومن جهة أخرى,On the one hand... on the other hand,من ناحية... ومن ناحية أخرى
من جهتي,"For my part, as for me, I for one",من ناحيتي، بالنسبة لي، أنا شخصياً
من حُرِّ ماله,"With his own cash, with funds at his disposal",بأمواله الخاصة، مع وجود أموال تحت تصرفه
من حسن الحظ,"Fortunately, luckily",لحسن الحظ، ولحسن الحظ
من حسن حظي,Luckily for me,لحسن حظي
من حوله,"Around him, about him",حوله، عنه
من حوليهما,"From their vicinity, from their surroundings (dual)",من محيطهم، من محيطهم (مزدوج)
ُمن حيث,"From where, whence",من أين ومتى
من حيث ُ الثقافة,"With regard to education, as far as education is concerned",فيما يتعلق بالتعليم، وفيما يتعلق بالتعليم، فيما يتعلق بالتعليم
من حيث المبدأ,"In principle, basically",من حيث المبدأ، في الأساس
من حيث أن,Inasmuch as,بقدر ما
من حيث ال,"Without being, doing...",دون أن يكون، القيام بـ...
من حيث هو,"As such, in itself",على هذا النحو، في حد ذاته
من حيث يدري وال يدري,"Whether he knows it or not, knowingly or without his knowledge",سواء كان يعلم أو لا يعلم، بعلمه أو بدون علمه
من حين إلى حين,"From time to time, now and then, once in a while",من وقت لآخر، من حين لآخر، بين الحين والآخر، من حين لآخر
من حين آلخر,"From time to time, now and then, once in a while",من وقت لآخر، من حين لآخر، بين الحين والآخر، من حين لآخر
من خاطره,"Of one’s one accord, voluntarily",من تلقاء نفسه، طوعًا
من خالل,"Across, right through the middle of, from within",عبر، من خلال منتصف، من داخل
من خاليا,"From within, out of, from inside",من الداخل، من الخارج، من الداخل
من خلف,Behind,خلف
ُمن خَل ْ ف,"At the back, in the rear",في الخلف، في الخلف
( من دون )بدون شرط,Unconditional,غير مشروط
من ذلك الحين,"From that time, from then on",ومنذ ذلك الوقت، ومنذ ذلك الوقت
. . . من ذلك أن,Among other things...,من بين أمور أخرى...
( مِن ذِي قبل )عن ذي قبل,(after a comparative)... than before,(بعد المقارنة)... مما قبلها.
من ساعته,"At that moment, right away",في تلك اللحظة، وعلى الفور
من سنة إلى أخرى,From year to year,من سنة إلى أخرى
من سنة مضت,A year ago,منذ عام مضى
. . . من شأنه أن,"It is in his (its) nature that, he (it) tends to, it is his business to...",ومن طبيعته (طبيعته) أنه (طبيعته) يميل إلى، من شأنه أن
من شهر,For a month,لمدة شهر
من صلبه,"His own son, his offspring",ابنه، ذريته
من صميم القلب,"From the bottom of the heart, wholeheartedly, most sincerely",من أعماق القلب وبكل إخلاص وتفانٍ وإخلاص
من صيد خياله,"Dreamed up by him, a product of his fantasy (of a story)",حلم به هو، وهو نتاج خياله (من قصة)
ِ من ض ِ مْن,"Included in, implied in, belonging to, falling under",متضمنة في، متضمنة في، تنتمي إلى، تندرج تحت، تندرج تحت
ْمن ضِمْنِهِم,Among them,من بينها
من طرف,On the part of,من جانب
من طرف إلى طرف,From one end to the other,من طرف إلى آخر
من ط َ رْفٍ خفي,"Secretly, furtively, discreetly",سراً، في الخفاء، في الخفاء، في الخفاء
من طريق,"By means of, through",عن طريق، من خلال
من عائلة عريقة,"From an old, respectable family",من عائلة عريقة ومحترمة
. . . من عجائب األمر أن,The remarkable thing about the matter is that...,والشيء اللافت للنظر في هذه المسألة هو أن...
من عُرض الناس,To belong to the common people,الانتماء إلى عامة الناس
..من على,From above,مما سبق
من عند,"From, from the home of, away from",من، من منزل، من منزل، بعيدًا عن
من عنده,"In his turn, for his part",بدوره، من جانبه
من عهد قريب,"For a short time (past), of late, recent",لفترة قصيرة (في الماضي)، في الآونة الأخيرة، في الآونة الأخيرة
من غير,Without,بدون
من غير احتكاك,Frictionless,عديم الاحتكاك
من غير حساب,Without account,بدون حساب
من غير قيد أو رابط,"Without any reservation, without qualification",بدون أي تحفظ، وبدون أي مؤهلات
من غير لف,"Without much ado, without ceremony",بدون الكثير من اللغط، وبدون مراسم
(من غير مقابل )بدون مقابل,"Without compensation, for nothing, gratis",بدون مقابل، وبدون مقابل، وبدون مقابل
من فضلك,Please! If you please,من فضلك! إذا سمحت
. . . من فضول الكالم أن,"It would be needless talk to, it would be a waste of words if...",سيكون حديثًا لا داعي له، سيكون مضيعة للكلام إذا...
( من فوره )ها,Immediately,على الفور
من فوقه,Above it,فوقها
من ق ُ بُل,"In front, from the front",من الأمام، من الأمام
من قِبَل,"On the part of, on the side of, from, by",من جانب، من جانب، من جانب، من، من، بواسطة
( ً من قبل )قَبال,"Previously, formerly, earlier",سابقا، سابقا، سابقا، في وقت سابق
من قِبَلِ نفسه,"By himself, of his own accord",من تلقاء نفسه ومن تلقاء نفسه
من قَبِيل اإليضاح,"By way of illustration, as an explanation",على سبيل التوضيح، على سبيل التوضيح
من قديم,From times of old,من العصور القديمة
من قريب,From near,من قرب
من قِمَّة الرأس إلى أخمَصِ القدم,From head to toe,من الرأس إلى أخمص القدمين
من كل الوجوه,"In every aspect, every way, completely",من جميع الجوانب، وبكل الطرق، تماماً
من كل أوب,From all sides or directions,من جميع الجهات أو الاتجاهات
من كل بد,"In any case, at any rate",على أي حال، على أي حال، على أي حال
من كل جهة,From all sides,من جميع الجهات
من كل حدب وصوب,"From all sides, from all directions, from all quarters, from everywhere",من جميع الجهات، ومن جميع الاتجاهات، ومن جميع الجهات، ومن كل مكان
من كل خاطر,"With all one’s heart, most gladly",من كل قلب المرء، وبكل سرور
من كل فج عميق,"From all sides, from all directions, from everywhere",من جميع الجهات، من جميع الاتجاهات، من كل مكان
من كل فج وصوب,"From all sides, from all directions, from all quarters, from everywhere",من جميع الجهات، ومن جميع الاتجاهات، ومن جميع الجهات، ومن كل مكان
من كل قَبِيل ودبير,Of every origin (whatsoever),من كل أصل (مهما كان)
من كل قلبه,With all his heart,من كل قلبه
من كل وجه,In every aspect,في كل جانب من الجوانب
من ل َ دُن,"From, on the part of",من، من جانب
من له سوابق,"(One) previously convicted, recidivous convict",(واحد) محكوم عليه سابقاً، معاود الإجرام
من له نظر,A noteworthy man,رجل جدير بالملاحظة
من متعلقاته,"Depending on someone or something, pertaining to someone’s authority",الاعتماد على شخص ما أو شيء ما، يتعلق بسلطة شخص ما
من مدة,For some time (in the past),لبعض الوقت (في الماضي)
من مصدر موثوق به,From a reliable source,من مصدر موثوق
من ناحية,"With regard to, in respect to, as for",فيما يتعلق، فيما يتعلق، بالنسبة لـ
من ناحية أخرى,On the other hand,من ناحية أخرى
. . . من نافلة القول أن,It goes without saying that...,من البديهي أن...
من نحوي,"As far as I am concerned, as for me, for my part, I for one",بالنسبة لي، بالنسبة لي، بالنسبة لي، من جهتي، أنا من جهتي
من هذا القَبِيل,"Of this kind, like this, such",من هذا النوع، مثل هذا
من هذه الجهة,"As seen from this angle, from this viewpoint",من هذه الزاوية، من وجهة النظر هذه، من وجهة النظر هذه
من هذه الوجهة,"In this respect, from this point of view",في هذا الصدد، من وجهة النظر هذه
من هنا,"From here, hereof, hence, for this reason, therefore",من هنا، من هنا، من هنا، لهذا السبب، لذلك
من هناك,"From there, from that place",من هناك، من ذلك المكان
من واقع هذه السِجالت,According to the date contained in these registers,وفقًا للتاريخ الوارد في هذه السجلات
من وجوه كثيرة,In many aspects,في العديد من الجوانب
من وراء,"Behind, beyond, over and above (with following genitive)",وراء، وبعد، وفوق وفوق وفوق (مع المضاف إليه التالي)
من وراء الستار,"Behind the scenes, backstage (fig.)",خلف الكواليس، خلف الكواليس (شكل)
من وقت آلخر,From time to time,من وقت لآخر
من يومه,On the very same day,في اليوم نفسه
ًمن . . . فصاعدا,"From... on, from... upwards",من... على، من... إلى أعلى
مناحج البحث,Research methods,طرق البحث
مناحي الحياة,All walks of life,جميع مناحي الحياة
منازع عليه,"Contested, disputed",متنازع عليها ومتنازع عليها
( مناط الثريا )مناط الجوزاء,"The highest heavens, as far as the Pleiades or Gemini",السماوات العُلى، بقدر الثريا أو الجوزاء
منافع صحية,Sanitary facilities,المرافق الصحية
منافع عامة,Public services,الخدمات العامة
مناقض ذاتَه,Self-contradictory,التناقض الذاتي
المنبوذون,"The untouchables (in India), the pariahs",المنبوذون (في الهند)، المنبوذون (في الهند)، المنبوذون
منثلم الصيت,"Of ill repute, of dubious reputation",سيء السمعة، مشكوك في سمعته
منذ أزمنة غابرة,From time immemorial,منذ زمن بعيد
منذ اآلن,"From now on, henceforth",من الآن فصاعداً، من الآن فصاعداً
منذ البدء,From the very beginning,منذ البداية
منذ القِدَم,"From times of old, by long tradition, of long standing",من قديم الزمان، بتقاليد عريقة، منذ أمد بعيد
منذ القديم,From times of old,من العصور القديمة
منذ اليوم,"As of today, from this day on",اعتبارًا من اليوم، من اليوم فصاعدًا
منذ أمد بعيد,For a long time,لفترة طويلة
منذ أيام,"For the past few days, a few days ago",خلال الأيام القليلة الماضية، قبل أيام قليلة مضت
منذ سنين بعيدة,For many years,لسنوات عديدة
منذ شهر,"For a month (past), a month ago",لمدة شهر (مضى)، منذ شهر مضى
منذ عشرِ سنواتٍ خلت,For the past ten years,على مدى السنوات العشر الماضية
منذ عهد بعيد,A long time ago,منذ فترة طويلة
منذ عهد قريب,"Of late, lately, recently",في الآونة الأخيرة، في الآونة الأخيرة
منذ قرن وبعض قرن,For the last hundred years and more,على مدى المائة عام الماضية وأكثر
منذ كنت طفال ً صغيرًا,Since I was a child,منذ أن كنت طفلاً
منذ نعومة أظفاره,From (the days of) his earliest youth,منذ (أيام) شبابه الأولى
منذ نعومة أظفاره,"From his earliest youth, since his tender age",منذ شبابه المبكر، منذ نعومة أظفاره، منذ نعومة أظفاره
منسرق القوة,"Weakened, debilitated, exhausted",الضعف والوهن والإرهاق والإعياء
مِنَصَّة الحكم,Position of power,موقع السلطة
مُنصَرَفَهُم,"At their departure, when they left",عند مغادرتهم، عندما غادروا
منصوص عليه,"Stipulated, determined, laid down in writing",منصوص عليها ومحددة ومنصوص عليها كتابيًا
منطقة النفوذ,Sphere of influence,مجال التأثير
منطقة مجردة من التجهيزات الحربية,Demilitarised zone,المنطقة منزوعة السلاح
منطو على نفسه,"Self-absorbed, low-spirited, depressed",مستغرق في ذاته، منخفض الروح، مكتئب
منطوق العقد,Exact terms of the contract,الشروط الدقيقة للعقد
منطوق القانون,Legal text,النص القانوني
منطوق الكلمة,Literal meaning of a word,المعنى الحرفي للكلمة
منظر عام,"General view, panorama, landscape, scenery",منظر عام، بانوراما، مناظر طبيعية، مناظر طبيعية
منظر يُشَقُّ له نياط القلوب,A heart-rending sight,مشهد يدمي القلب
منظور إليه,"One under supervision, underling, subordinate, protégé",شخص تحت الإشراف، تابع، مرؤوس، مرؤوس، تابع، محميّ
منقبض الصدر,"Dejected, low spirited, crestfallen, disheartened, depressed",مكتئب، منخفض المعنويات، محبط، محبط، محبط، محبط، محبط
منقطع القرين,"Matchless, peerless, unrivalled, singular",منقطع النظير، لا مثيل له، لا مثيل له، لا مثيل له، فريد من نوعه
منقع الدم,Place of execution,مكان التنفيذ
مُنَك َّ س الرأس,With bowed head,برأس منحني
منكود الحظ,"Unfortunate, unlucky",مؤسف وغير محظوظ
منهاج التعليم,Curriculum,المناهج الدراسية
منهم من,Some of them,بعضها
منهم من – ومنهم من,"Some of them – others..., there are those who – and others who...",البعض منهم - والبعض الآخر - والبعض الآخر - والبعض الآخر - والبعض الآخر
مِنوالك أن تفعل كذا,You must do it this way,يجب عليك القيام بذلك بهذه الطريقة
من ّ ى نفسَه بِـ,"To indulge in the hope of, have every hope that...",أَنْ تَنْغَمِسَ فِي الْأَمَلِ، وَلَكَ كُلُّ الْأَمَلِ
مهام األمور,Important matters,المسائل المهمة
مهام المنصب,"Official duties, official functions",المهام الرسمية والوظائف الرسمية
مهبط الوحي,The cradle of Islam,مهد الإسلام
ًمهال,"Slowly, leisurely, in no hurry",ببطء، على مهل، على مهل، دون عجلة من أمرنا
َمَهْل َ ك,Easy does it! Take it easy!,على رسلك! على رسلك!
مهما كل ّ ف األمر,"Whatever it may cost him, at any cost",مهما كلفه الأمر، وبأي ثمن
مهما يكن من األمر,"Be it as it may, whatever the case may be, whatever may happen",مهما كان الأمر، ومهما كان الحال، ومهما كان ما قد يحدث
مهمل التوقيع,Unsigned,غير موقّع
مواقع اإلطالل,(Sites of) ruins,(مواقع) الأطلال
مواقيت األقالم,Business hours,ساعات العمل
موت أبيض,Natural death,الموت الطبيعي
الموت األحمر,Violent death,الموت العنيف
موت الغفلة,Sudden death,الموت المفاجئ
مؤتمر (منعقد) على أعلى مستوى,Top-level conference,مؤتمر رفيع المستوى
المؤتمر المزمع انعقاده,The conference to be held,المؤتمر الذي سيعقد
مؤثرات صوتية,Sound effects,المؤثرات الصوتية
موثوق به,"Reliable, dependable",موثوقة ويمكن الاعتماد عليها
ًمؤخرا,"Recently, lately, the other day",في الآونة الأخيرة، في الآونة الأخيرة، في اليوم الآخر
المُودَعَ لديه,"Keeper, consignee, depository",أمين الحفظ، المرسل إليه، الوديع
( موزع الخواطر )موزع الفكر,"Absent-minded, distraught, scatter-brained",شارد الذهن، مشتت الذهن، مشتت الذهن، مشتت العقل
الموصى إليه,Executor,المنفذ
الموصى به,"Bequest, legacy, decreed, recommended",الوصية، الوصية، الوصية، الوصية، المرسوم، الموصى به
الموصى عليه,"Legatee, heir",الوارث، الوريث
موضع االعجاب,Object of admiration,موضوع الإعجاب
موضع الحنان,Object of sympathy,موضوع التعاطف
موضوع مطروق,"A much-discussed, frequently treated subject",موضوع تمت مناقشته كثيراً وتمت معالجته بشكل متكرر
موطن الضعف,Soft or sore spot,بقعة لينة أو مؤلمة
موطن العبرة,"The salient point, the crucial point",النقطة البارزة، النقطة الحاسمة
الموطن الوضيع,"The lowest point, the lowest mark, the bottom",أدنى نقطة، أدنى علامة، أدنى علامة، القاع
موظف كتابي,"Clerk, clerical worker (of a government office)",كاتب، عامل كتابي (في مكتب حكومي)
موفور المطالب,Having many wishes,الحصول على العديد من الأمنيات
ًموقتا,"Temporarily, provisionally, for the time being",مؤقتًا، مؤقتًا، في الوقت الحالي
موقع متقدم,Advanced position,مركز متقدم
موقف عدائي,Hostile attitude,الموقف العدائي
موقفه من,His attitude towards,موقفه تجاه
المومأ إليه,"The one referred to, the above- mentioned",المشار إليها، وهي المذكورة أعلاه
المياه العادمة,"Sewage, sullage, waste water",مياه الصرف الصحي، والصرف الصحي، ومياه الصرف الصحي
مياه عذبة,Fresh water,المياه العذبة
ِمِئ َ ة ُ ضِع ْ فِه,"A hundred times as much, the hundredfold of it",مائة ضعف، مائة ضعفه، مائة ضعفه
ميتة األبطال,"Death in battle, death of a hero",الموت في المعركة، موت بطل
مِيزَة ُ السبق,Initiative,المبادرة
ميمون الطائر,"Favourable, auspicious",مواتية وميمونة
ميؤوس منه,Desperate (cause),يائس (السبب)
ِ ناء بالح ِ مل,"To bear a burden with difficulty, to be weighed down by a burden",تحمل العبء بصعوبة، أن تكون مثقلًا بعبء ثقيل
ناء بكلكله,"Oppress someone gravely, weigh heavily upon someone",ظلم شخصًا ظلمًا شديدًا وأثقل كاهل شخصًا ما
ناب منابه,"To represent someone, substitute for someone, act in someone’s behalf",أن تمثل شخصًا ما أو تحل محل شخص ما أو تنوب عن شخص ما أو تتصرف نيابة عن شخص ما
نابذه بالحرب,To declare war on someone,إعلان الحرب على شخص ما
نابض بالحياة,Vibrant with life,نابضة بالحياة
ناجى بنفسه,"To soliloquise, talk to oneself, say to oneself",أن يناجي المرء نفسه ويحدثها ويحدث نفسه ويقول لنفسه
نادر المثال,"Unparalleled, singular",لا مثيل لها وفريدة من نوعها
ًنادرا,Rarely,نادراً ما
نادى (دعا) بالويل والث ُّ بور,"To wail, burst into loud laments",لتنتحب، تنفجر في رثاء صاخب
ناشده أن يفعل,"To adjure, implore someone to do something",حثّ شخص ما على فعل شيء ما أو مناشدته لفعل شيء ما
َناصبه الحرب,To declare war on someone,إعلان الحرب على شخص ما
ناصبه الشر,"To show oneself openly hostile to someone, open hostilities against someone",إظهار العداوة الصريحة لشخص ما، وإظهار العداء الصريح لشخص ما
َ ناصبه العداء,To declare oneself the enemy of someone,أن يعلن المرء نفسه عدواً لشخص ما
ناعم الظ ُّ ف ُ ر,"Youthful, of tender age",شاب، في عمر الزهور
ناعم الملمس,Soft to the touch,ناعم الملمس
نافذ المفعول,"Valid, effective, in force",سارية وفعالة ونافذة المفعول
نافق ضميرَه,To act contrary to the dictates of one’s conscience,التصرف بما يتعارض مع ما يمليه عليه ضمير المرء
ناكر الجميل,Ungrateful,ناكر للجميل
ناكر المعروف,Ungrateful,ناكر للجميل
نال بسوء,To harm someone or something,إيذاء شخص ما أو شيء ما
نال بضر,To harm someone or something,إيذاء شخص ما أو شيء ما
( نال حظوةً عند )لدى,To find favour with someone,أن تجد الحظوة لدى شخص ما
نال من,"To cause damage, do harm, impair",التسبب في ضرر أو إلحاق الضرر أو الإضرار أو الإضرار
نال من عرضه,"To depreciate, discredit, defame, malign",الانتقاص من قيمة أو تشويه سمعة أو تشويه السمعة أو التشهير أو التشهير
ٍ نال من نفسه أبلغ منال,It made the deepest impression on him,لقد ترك هذا الأمر أعمق انطباعًا في نفسه
نال منه أوفر منال,"To do someone untold damage, harm someone grievously",أن تلحق بشخص ما ضررًا لا يوصف، وتؤذي شخصًا ما بشكل خطير
َناهز البلوغ,To attain (the age of) maturity,لبلوغ (سن) الرشد (سن) النضج
ناهز الخمسين,"He was close to fifty, he was pushing fifty",كان قد قارب الخمسين من عمره، وكان قد قارب الخمسين من عمره
ناهيك بِـ,It is enough to mention...,يكفي أن نذكر...
. . . ناهيك بأن,"Let it suffice you to know that, aside from the fact that...",ويكفيك أن تعلم أنه بصرف النظر عن حقيقة أن...
. . . (ناهيك من )عن، بِـ,"How excellent is...!, to say nothing of, not to mention, let alone...",كم هو ممتاز...!!! ناهيك عن ذكر، ناهيك عن...
َ ناوأه العداء,"To be hostile to someone, treat someone with hostility",أن تكون معاديًا لشخص ما، تعامل شخصًا ما بعدائية
نائب,Assistant magistrate (Islamic Law),قاضٍ مساعد (الشريعة الإسلامية)
نائب الرئيس,"Vice chairman, vice president",نائب رئيس مجلس الإدارة، نائب الرئيس
نائب الملك,Viceroy,فايسروي
ُنبا به المكان,He felt unable to remain in the place,شعر بعدم القدرة على البقاء في المكان
نبذ الطاعة,Insubordination,العصيان
ًنبذه (طرحه) ظهريّا,"To pay no attention to something, not to care about something, disregard something",عدم الاهتمام بشيء، عدم الاهتمام بشيء، عدم الاكتراث بشيء، تجاهل شيء ما
نبذه نبذ َ النواة,"To reject or dismiss something or someone with disdain, spurn or scorn something or someone",رفض أو رفض شيء ما أو شخص ما بازدراء أو احتقار أو احتقار شيء ما أو شخص ما
نبغ في,"To excel, be outstanding in",للتفوق والتميز، كن متميزًا في
نجا بحياته,"To save one’s life, save one’s skin",لإنقاذ حياة المرء، إنقاذ حياة المرء، إنقاذ جلده
نجا بنفسه (بروحه) من,To save oneself from,إنقاذ النفس من
نجح في االمتحان,To pass the exam,لاجتياز الامتحان
َنجّد القطن,"To comb, card, tease (cotton)",للتمشيط، والبطاقات، والمشط، والحك (القطن)
نَجَمَ قرن ُ ه,To begin to show,للبدء في إظهار
ًنجوما,In instalments,بالتقسيط
نحا به نحو الباب,To show someone to the door,لإرشاد شخص ما إلى الباب
نحا نحو الباب,To walk towards the door,السير نحو الباب
نحا نحوه,"To follow someone, to follow someone’s example, to be of the same nature, on the same line as",أن تحذو حذو شخص ما، أن تقتدي بشخص ما، أن تكون من نفس الطبيعة، على نفس الخط الذي
نحن أقارب في أقارب,Our social relations are those of kinsfolk,علاقاتنا الاجتماعية هي علاقات ذوي القربى
. . . نحن خليقون أن,It is only fair that we...,من العدل أن...
نحن في واد وأنتم في واد,"We belong to different camps, we stand worlds apart",نحن ننتمي إلى معسكرين مختلفين ونقف في عالمين مختلفين
