Idiom,Meaning
ال تَدمُرِي,"Nobody, not a living soul"
ال تدوم له حال,"No state is of any permanence with him, he is never the same for a very long time"
ال تشوبه شائبة,"Blameless, flawless, unblemished, immaculate"
ال تغيب عنه الشمس,It is not veiled in darkness
ال تفوته شاردة وال واردة,"Nothing escapes him, he doesn’t miss a thing"
ال تَق ُ ل,Don’t say! (expressing negative imperative)
ال تقوم لألعداء قائمة,"There is no resistance against the enemies, resistance against the enemy is futile."
ال تكاد ترى,"You will hardly ever see, you barely see, the moment you see"
ًال تمأل الدنيا شؤما,Talk of the devil and he will appear!
ال تؤاخذوني,Pardon me! Forgive me!
َال جدال,"Incontestably, indisputably"
. . . ال جُنَاحَ عليه أن,"It won’t be held against him if he, it won’t do any harm if he..."
(ِال حاجة إلى )لـ,"It is not necessary, there is no need of"
ال حاجة لي به,I don’t need it
ال حدَّ له,"Boundless, infinite"
ال حرج,There is no objection
ال حرج عليك,"Nothing stands in your way, you are at liberty"
ال حصر له,"Immeasurable, innumerable"
ال حظ له من علم,He has no knowledge
ال حفلَ به,"Indifferent, of no consequence"
ال حول له وال حيلة,"He is completely powerless, he can do nothing"
ال حول وال قوة إال باهلل,There is no might or power but through God
ال حيفَ به,"It is not out of place, it is quite appropriate"
ال حيلة لي في,"I have no possibility to, I am in no position to"
. . . ال خَفَاءَ في أن,"It is quite evident, it is quite obvious that..."
ال خالقَ له,"Despicable, a worthless fellow"
ال خيرَ فيه,"There is no good in it, it’s no good"
ال رجعة فيه,Irrevocable
ال ساحل له,Shoreless
ال سبيل إلى الشك فيه,"Doubtless, indubitable, beyond any doubt"
ال سالح بين يديه,He is unarmed
ال سِيَّمَا,"Especially, particularly"
ال شأن له في ذلك,"He hasn’t anything to do with this, he has no part in this"
ال شأن لي به,"I haven’t anything to do with it, it’s none of my business"
َّال شك,No doubt
ال شيء,"A nothing, nil, non-entity"
ال صبرَ لِي,I cannot bear it! This is unbearable!
(ال طائل تحته )فيه,"Of no avail, useless, futile"
ال عبرة به,"It deserves no attention, it is of no consequence"
. . . ال عبرة لمن,It is of no consequence if someone..
َال عجب,No wonder!
ال عداد له,"Innumerable, countless"
ال عليك,Don’t worry!
ال عليه,Never mind! It’s nothing! No harm done!
ال عهد له بِـ,"Not to know something, not have experienced something, being unacquainted with"
ال غبار عليه,"Clear, plain, incontestable, impeccable (morally)"
ال غَنَاء فيه,"Useless, it is inadequate, it is of little use"
ال غنى عنه,Indispensable
ال غير,"And that’s all, no more, only"
ال فتيل وال نقيل,"Nothing at all, not the least bit"
َال ف ُ ضَّ ف ُ وك,How well you have spoken!
ال في العير وال في النفير,"In no way, in no manner, unimportant, of no consequence"
ال قام وال قعد,Not be lasting and durable
ال قِبَل له به,"He has no power over it, it is not in his power, he is incapable of accomplishing it"
ال قدّر هللا,(which) God forbid!
ال قرارَ له,"Unstable, inconstant, unfathomable"
ًال قطعا,"Absolutely not, not at all, by no means, not in the least"
َال قوة له وال حَيْل,Completely helpless and paralysed
ال قيمةَ له,Worthless
ال مأخذ فيه,"Flawless, irreproachable"
(ال مانع )عن,"There is nothing in the way, nothing prevent me (you...) from"
ال مباالة,Indifference
ال مبرر له,Unjustifiable
ال مثيل له,"Incomparable, matchless, unrivalled, unparalleled"
ال مجال لِـ,There is no possibility of or for
ال مجال للطعن فيه,It is incontestable
َال محالة,"It is inevitable, there is no doubt about it"
ال محالةَ منه,"It is inevitable, there is no doubt about it, absolutely, most certainly"
ال محلَّ لِـ,"There is no room for, it is out of place"
ال محيدَ عنه,It is unavoidable
ال مخرجَ منه,Hopeless situation
(ال مراء فيه )بال مراء,"Incontestable, indisputable"
. . . ال مراء فيه أن,"It is an incontrovertible fact that, unquestionably..."
. . . ال مشاحةَ أن,"It is incontestable that, indisputably..."
ال مشاحةَ في ذلك,That is incontestable
ال مَعْدَى عنه,"Inevitable, unavoidable, inescapable"
ال مفر منه,"Unavoidable, inevitable"
ال مناصَ منه,"Inevitable, unavoidable"
ال مندوحةَ له عن,"It is imperative for him, absolutely necessary for him"
ال مُن ْ صَرَفَ عنه,"Indispensable, inevitable"
ال مهرب منه,"Inescapable, unavoidable"
ال موجبَ لِـ,"There is no reason for, one need not"
ال ناقة لي في األمر وال جمل,"I have no hand in this matter, I have nothing to do with it"
ال نَدحَةَ عنه,"It is indispensable, inevitable"
ال نزاع فيه,"Undisputed, unquestioned"
َال ن ُ كران,It is incontestable
ًال نهتز له كثيرا,"This won’t affect us greatly, this is not likely to disconcert us, this will hardly cause us any headache"
ال وجه له من الصحة,It has no validity at all
(ال وزن له )عديم الوزن,"Imponderable, insignificant, of no consequence, negligible"
ال يأخذ الكَرَى بمعقد جفنه,No slumber closed his lids
ال يألو,"To stop at nothing, be tireless in doing something"
ال يألو جهدا ً في,"He will go to any length, he spares no effort, goes out of his way for"
ًال يألوه نُصْحاً وإرشَادا,He never lets up giving him advice and guidance
ًال يألوها إسعادا,He is constantly striving to make her happy
ال يبالي,"Unconcerned, careless"
ًال يبتغون عنه حِوَال,"They don’t want it otherwise, they ask for it"
ُال يُبَرَّر,Unjustifiable
. . . ال يبعد أن,It is not unlikely that...
ال يبيّض من صحيفته,This doesn’t show him in a favourable light
ُال يتصوره العقل,"Unimaginable, inconceivable, unthinkable"
ال يتطرق إليه شك,"Not open to doubt, admitting no doubt"
ال يتعاظمه شأن العدو,The enemy’s importance does not unduly impress him
ال يتفق ومبادئَهم,It is not in agreement with their principles
ُال يُثَمَّن,"Invaluable, priceless"
ال يجد مفيضا ً إلى الكالم,He can’t find an opportunity to speak freely
ال يجد مفيضا ً من,He must by all means
ال يُجدِي شَرْوَى نقير,It is of no use at all
ًال يجدي فتيال,It is of no use at all
ًال يُجديك فتيال,He can’t think of a blessed thing to say
ال يجرّ لسانَه بكلمة,He won’t let a word escape his lips
ال يجوز نقضه,"(It is) no longer open to an appeal, incapable of revision, legally valid final (sentence)"
ال يحب الخيرَ له,"He doesn’t want him to be happy, he grudges him everything"
ًال يحرّك ساكنا,"He doesn’t budge, he doesn’t lift his finger, he remains immobile"
. . . ال يُحسِن أن,"He is not capable of, he is not able to..."
ال يُحْصَى,Innumerable
ال يخرج عن,"It is limited to, it is nothing but"
. . . ال يخفى أن,"It is well known that, as everybody knows, it is obvious that..."
ال يخفى عليك,You know very well...
ال يخلو من جمال,It is not without a certain beauty
ال يخلو من فائدة,It is not quite useless
ال يخلو من مبالغة,It is slightly exaggerated
ال يدخل تحت الحصر,"Immeasurable, innumerable"
ال يدخل في حيّز المعقول,It is not within the bounds of reason
ال يرى حرجا ً من,"He feels no hesitation about, will not hesitate to, he doesn't see a problem with..."
ًال يساوي ملءَ أذنه نخالة,He wasn’t worth a plug nickel
ُال يُستَبْعَد,"It is not inconceivable, not improbable"
ال يُستَغ ْ نَى عنه,Indispensable
ٌال يستقر له قرار,"To be restless, undecided"
ال يستهان به,"Not to be sneezed at, not to be overlooked"
ال يسعنى أن أقول,I cannot say
ال يُشَقُّ غبارُه,"He is unsurpassable, he is incomparable, there is no one like him he is unequalled, unrivalled, peerless"
ال يُشَقُّ له غبار,"He is unsurpassable, he is unequalled, unrivalled, peerless"
َال يَصُد ُّ الن َّ ظ َ ر,"It does not offend the eye, it is nice to look at"
ُال يُصَدَّق,"Incredible, unbelievable, unreliable, untrustworthy"
ال يُصْط َ ل َ ى بناره,"Invincible, a great hero"
ال يُعْبَأ ُ به,"Unimportant, insignificant"
. . . ال يعت ّ م أن,"It does not (did not) take long until, before long, presently..."
ال يعدو أن يفعله,"Not to fail to do something, to do something inevitably"
ال يعدو أن يكون,It is no more than
َال يعرف الك ُ وعَ من البُوع,He doesn’t know his knee from his elbow (proverbially of a stupid person)
ُال يُعَوَّض,"Irreplaceable, irreparable"
ال يعي,Unconscious
ال يعي ما يقول,He doesn’t know what he is saying
ُال يُغتَفَر,Unforgiveable
. . . ال يغرب عنك أن,"You will not have failed to notice that, you are no doubt aware (of the fact) that, you know very well that..."
ُال يُغفَر,"Unpardonable, inexcusable"
(ال يغني فتيال ً )من ال يغني عنه فتيال,"It is of no use at all It won’t help him a bit, it isn’t worth a farthing"
ال يفنى,"Imperishable, inexhaustible"
ال يُقَامُ له وزن,"To be negligible, be of no consequence"
ال يُقَاوَم,Irresistible
ال يقبل الجدال,"Incontestable, indisputable"
ال يُقَدَّر,"Inestimable, immeasurable, tremendous"
ٌال يَقِرُّ له حال,"To be flighty, be of unstable temperament"
ال يَقِرُّ له قرار,"To be restless, restive, uneasy, wavering, undecided"
ُال يُقصِيهِ البصر,"Out of sight, not within view, invisible"
ال يقطع عقل َ ه,"It won’t get into his head, he can’t understand or believe it"
ال يقف دونَه شيء,"Nothing will stand in his way, nothing can stop him"
ال يَقِلُّ عنه باال,No less significant than this
ال يُقَوَّمُ بثمن,"Inestimable, invaluable, priceless"
ال يقيم له قيامة,He forestalls any resistance on his part
ال يكاد,"(with negative, corresponding to English ‘hardly, scarcely, barely, no sooner, as soon as’)"
ال يكاد يعي,(He is) almost unconscious
ّال يَكِل,"Indefatigable, untiring"
ال يُلمس,"Intangible, impalpable"
ال يلوي على شيء,"Not to care about anything, be utterly reckless"
ال يلين,"Unbending, inflexible"
ال يُمحَى,"Ineffaceable, indelible"
ال يمكن,It is impossible
ال يمل,"Indefatigable, untiring"
ٍ ال يملك شَرْو َ ى نقِير,"He hasn’t a penny to his name, he has absolutely nothing"
ال يُنتهك,"Sacrosanct, sacred, consecrated"
ال ينضب,"Inexhaustible, incessant"
ال ينفع,"Useless, of no use"
ُال يُنقَض,"Irrefutable, incontestable, irrevocable"
ال يُنكَف,"Irresistible, resistless, immeasurable"
ال يهن,"Untiring, inexhaustible"
ال يُؤذِي,"Innocuous, harmless"
ال يوصف,"Indescribable, nondescript"
ال . . . قيد أ ُ نمُل َ ة,"Not one inch, not one iota"
ال . . . وحده بل,Not only... but
ٍال . . . قدرَ شعرة,Not by a hair’s breadth
الأبالية,"Indifferent attitude, indifference"
الأدرية,Scepticism: agnosticism
الالأنا,The non-ego (philosophy)
الأنانية,"Selflessness, unselfishness"
الت حين مناص,It’s too late to escape
أل َ جل,"Because of, on account of, for"
ألجل خاطرك,For your sake
ألجل قريب,For a short time
الجنسية,"Stateless, being without nationality"
ًالحظ عليه شيئا,To observe or notice something in someone
آلخر درجة,"Exceedingly, in the highest degree"
(آلخر مرة )للمرة األخيرة,For the last time
الديني,"Anti-religious, irreligious, without religion"
الدينية,"Irreligion, godlessness"
السامي,"Anti-Semitic, anti-Semite"
السِلكي,"Wireless, radio"
الشتداد وطأة المرض,Because of the violence with which the disease struck
الالشعور,"The unconscious, unconscious mind, unconsciousness"
الشعوري,"Unconscious, unaware"
الالشيء,The nothing
الشيء,"Nothing, nonentity, nil"
الشيئية,"Non-existence, nothingness, nullity, nihility"
الطفه على كتفه,To pat someone on the shoulder
العب الجنباز,"Gymnast, athlete"
القط األلغام,Minesweeper
ًالقى ترحيبا,To gain support
ًالقى آذاناً صاغية,To find willing ears
الك الكالم,"To be inhibited in one’s speech, stammer, express oneself imperfectly"
الك سمعتَه,To bring into discredit (someone’s reputation)
ألأل بذنبه,To wag the tail
(المباالة )المبالية,Indifference
المّة,Evil eye
ألمر ما,"Because of something or other, for some reason or other"
المركزية,Decentralisation
المسؤولية,Irresponsibility
َّألن,"On the grounds that, because, for"
ْألن,"That, so that, in order that, in order to"
النت قناته,"To show oneself compliant, yield, relent, give in"
النظام,"Lack of system, confusion"
الالنهاية,The infinite
النهائي,Infinite
الالهوت,"Godhead, deity: divinity"
الالهوتية,Theological
ألول مرة,For the first time
ٍألول وهلة,"At first sight, right away, at once"
الئحة السفر,"Timetable, schedule"
الئحة القانون,"Bill, draft"
الئحة قانونية,"Bill, draft"
ًاليق طبيا,Physically fit
(الئم بين )و,"To bring about a reconciliation, make peace between, reconcile"
لباس التقوى,"Modesty, decency"
لباس الرأس,Headgear
لباس رسمي,Uniform
لباس عسكري,Military uniform
(لبث )يفعل,"To persist in an activity, keep doing something"
لبث بِـ,"To abide, remain, stay"
لبث يفعله,He did it for a time
لبست المسوح,"To take the veil, become a nun (Christian)"
ل َ بَطِ – الحصان,To gallop about (animal)
َل َ بَط َ – به األرض,To throw someone to the ground
ل َ بِقَ – القميص بِـ,"To fit, suit, (clothes) someone"
لبلبت األم بطفلها,The mother caressed her child
ل ُ بُود من الغمائم,Thick masses of cloud
لبّى نداءَ ربِّه,"To be called away by the Lord, pass away"
لت ّ وعَجَنَ في مسألة,"To bring up a problem time and again, harp on a question"
لتوطئة,"In preparation of, for the purpose of"
لتوها,"(I have, she has) just..."
لتوي,"(I have, she has) just..."
ل َ جَّ – في,"To persist, keep doing"
ل َ جَّ على,"To pester, trouble, bother, inconvenience someone"
لجنة إدارية,Administrative board
لجنة اإلمتحان,"Board of examiners, examination board"
لجنة االنضباط,Disciplinary board
لجنة التحقيق,Investigating committee
لجنة تنفيذية,Executive board
لجنة صلحية,Arbitration committee
لجنة فرعية,Subcommittee
لجنة قارة,"Permanent committee, standing committee"
( لجنة قارة )مستديمة,"Standing committee, permanent committee"
لحاجة في نفس يعقوب,"For some unknown reason, from secret motives"
. . . لحالة أن,"In case that, in the event that..."
لِحد,"Until, up to, to the extent of"
ل َ حَدَ – إلى,"To lean, incline, tend to"
لحد اآلن,"Up to now, so far"
لحساب فالن,"To someone’s credit, to someone’s advantage"
لحسن الحظ,"Fortunately, luckily"
لحسن طالعي,"Luckily for me, fortunately"
لحظات,For a few moments
اللحظة الراهنة,"The present moment, the immediate present"
لحظة خاطفة,A fleeting glance
ل َ حِقَ بخدمة,To enter a service
لحق بخدمته,"To take up a position with s.o, enter the services of someone"
ل َ حِقَ بمدرسة,To enter a school
ِلحكمة,"On account of, because of"
لخير,For the benefit of
لخير أنفسهم,For their own good
. . . ل َ دُن أن,"Since, from the moment when..."
لدى الطلب,"On demand, by request"
ل َ دَى حاجة,"In case of need, if necessary"
لديه,He has
لذع البنادق,Rifle fire
لذلك,"Therefore, hence, that is why, for that reason"
( لِزقَه )بِلزقِه,"Close to his side, close by"
َلَزِمَ الصمت,"To keep silent, maintain silence"
لزم الوساد,To be confined to bed
ل َ زِمَ دارَه,To stay home
ل َ زِمَ فراشَه,To stay in bed
لسان الحال,"The language which things themselves speak, silent language, mute expression (as distinguished from the spoken word)"
لسان الق ُ فل,Bolt of the lock
لسان القوم,Spokesman (of a crowd)
لسان المفتاح,Bit of the key
لسان رسمي,Official organ
لسبع ليال خَل َ ون من شعبان,When seven nights of Shaban had passed
ٍ لست بفاعل,I can’t do it
لست من فرسان ذلك الميدان,"I am unfamiliar with this field, I am not competent in this field"
. . . لسنا في معرض الكالم عن,"Let us not speak of, now, this is not the place to speak of..."
لسوء الحظ,Unfortunately
لشدّما,"How much...! Very often...! Very much, exceedingly"
. . . لشَدَّما كان سرورنا إذ,Tremendous was our joy when...
لطائف النِّكات,Nice jokes
لط ّ فـ(ـه) من,"To moderate, temper, lessen, reduce something"
لعاب الشمس,Air threads
َل َ عِبَ األوراق,To play cards
ل َ عِبَ الشطرنج,To play chess
لعب العَصَا,Fencing (single-stick)
ل َ عبُ الق ُ مار,Gambling
ل َ عِبَ الموسيقي,To make music
ًلَعِبَ دورا,To play a part or role
لعب على الحبلين,"To play a double game, work both sides of the street"
ل َ عِبَ في عقله,To turn someone’s head
ل َ عِبَت به الهموم,To become the sport of sorrows
لعمر هللا,By the everlasting of God! By the Eternal God!
َل َ عَمرُك,By your life!
لعمري,Upon my life!
لعنة هللا عليه,God’s curse be upon him!
لغاية,"As far as, up to, until, till"
لغة أجنبية,Foreign language
لغة الكتابة,Literary language
لغة المحادثة,Spoken language
لغة المهنة,"Professional jargon, slang"
لغة المولد,Mother tongue
لغة عامية,Colloquial language
لغز الكلمات المتقاطعة,Crossword puzzle
ل َ غط عن,Lamentation over or for something
لفّ لف ُّ ه,"To do just like someone, be of the same kind as someone, belong to the same sort as someone"
الل َّ ف والدوران,Detours and evasions
لف ونشر,"Folding and unfolding, involution and evolution"
لفات من الرَّق,Parchment scrolls
لف ّ ة بريدية,Postal package
لفت (ألفت) نظرَه إلى,To turn one’s eyes or one’s attention to
َلفت الناس,"To attract, interest or captivate people"
َلفت النظر,"To catch the eye, attract attention"
لفظ الجاللة,"The Majestic Word (Allah, instead of saying the word ‘Allah’)"
لفظ النفس األخير,"To breathe one’s last, die, expire"
لفظ أنفاسه,"To be in throes of death, breathe one’s last"
ًلفظا,"Verbally, literally"
ً لفظاً ومعنى,In letter and spirit
لفظه لفظ َ النواة,"To spit something out like a date pit, brush something aside, reject something, dismiss something"
ل َ فَعَ (لف ّ ع) الشيبُ رأسَه,Grey hair covered his head
لفق ما شاء له التلفيق,To fabricate the most outrageous lies
اللفيف األجنبي,The Foreign Legion
لفيف الناس,"Mob, rabble, riff-raff"
لفيف من,"A cluster, body, swarm, group of"
لقاء كفالة,On bail
لقب البطولة,Title of champion (in sports)
ل َ قِس النفس,"Annoyed, cross"
لق ّ م القهوة,To stir ground coffee into hot water
لقمة سائغة,"Titbit, choice morsel"
لقي حتفَه,"To find death, die"
ل َ قِيَ سوءَ الحساب,"He got a raw deal, he was in for it"
ًلقي نجاحا,"To meet with success, to have success"
لك عنه مندوحة,"It is up to you, it is optional for you"
( لك هذا )لك ذلك,"You can have that! It’s up to you, it’s alright with me! All right! OK! Agreed!"
لكانة في الكالم,"Speech defect, faltering way of speaking"
لكل ألف,Per (one) thousand
لكل سن حكمه,"Every age has its own set of rules, must be judge by its own standards"
. . . ( ً لكونه )مجنونا,The fact that someone or something is...
لِكَي,"So that, in order that, in order to"
(َلكي )يفعل,"That, so that, in order that, in order to"
لكي ال,"In order not to, lest"
لكيما,"That, so that, in order that, in order to"
لإليجار,"For rent, to let"
ِّلِلت َّ و,"At once, right away"
للجنون فنون,"Madness has many varieties, manifests itself in many ways"
للضرورة أحكام,"Necessity has its own rules, necessity knows no law"
للغاية,"Extremely, very much"
للمرة األولى,For the first time
للمرة السادسة,For the sixth time
للنظر في,"For the study of, for further examination"
للنهاية,To the greatest extent
هلل في خلقه شؤون,Strange things can happen in this world!
(للوقت )لوقته,"At once, right away, immediately"
لم,Why? Wherefore?
لم – إال,"Only, nothing but, just"
ًلم أعد أستطيع صبرا,I could not stand it any longer
لم أعِرْهُ جانبَ اهتمام,I paid not the least attention to him
لم تقم له قائمة بعد,"He was no longer able to put up any resistance, he was as good as finished"
لم تنطلِ عليه هذه الحيلة,"He wouldn’t be deceived by this ruse, this trick couldn’t fool him"
ل َ مَّ شعث َ ه,"To put something in order again, straighten something out, put something right"
ل َ مَّ شمل القطيع,To round up the herd
لم نستقر بعد على حال,We haven’t yet attained a definitive position
لم يأت بعد,He hasn’t come yet
ًلم يبق طفال,He is no longer a child
لم يبق في قوس صبري مِنزَع,My patience is at an end
. . . لم يتأخر بعد ذلك من أن,"After that, he did not hesitate long before he, presently, he..."
لم يتزحزح عن رأيه قيد أنملة,He didn’t budge from his position one bit
لم يجد حيلة ً إال,"He couldn’t do anything except, he had no other choice than..."
لم يجد متسعا من الوقت لِـ,Not to have enough time for
ًلم يدّخر جهدا,To spare no effort
لم ير بأسا ً بِـ,He saw nothing wrong in (doing it)
لم ير مندوحة ً من,"To feel obliged, feel compelled to"
لم يسبق له مثيل,"(As) there has never been one before, (which is) unprecedented"
. . . لم يسبق لي أن,I have never before...
. . . ( لم يشعر إال بِـ )و,"Before he even realised it, there was all of a sudden, then all of a sudden, there was, it happened that..."
لم يصبح له وجود,It no longer existed
لم يصبح يفعل,He no longer did so
ُلم يطرأ على الحالة تبدل يُذكَر,The situation remained substantially unchanged
ًلم يطق صبرا,"He could not stand or bear it, he could not control himself"
. . . لم يعت ّ م أن,"It does not (did not) take long until, before long, presently..."
لم يَعُد إليه سبيل,There is no longer any possibility for it
لم يَعُد له طاقة ٌ به,He no longer had any power over it
لم يَعْذِرْنِي,"He wouldn’t let me give any excuses, he wouldn’t take no for an answer, he kept insisting"
ًلم يُعطِني حتى وال قِرشا,"He did not give me even a piaster, he did not give me as much as a piaster"
. . . لم يَف ُ ت ْ هُ أن,"He did not fail to, he did not neglect to..."
. . . لم يقصِّر في,"He spared no pains or expense in or with, he left nothing undone to, he did not fail to"
حتى- )لم يكد (ما كاد,"No sooner – than..., as soon as he – he..., the moment he – he..."
لم يكد يراها,"No sooner had he seen her, the moment he saw her"
. . . لم يكن أمامه إال أن,He had no other alternative but to...
لم يكن عند رأيهم,He was not what they expected
لم يكن في الوقت متسع لِـ,Not to have enough time for
(ْلم يكن لـ(يفعلْ) (ما كان) لـ )يفعل,"He is (or was) not the right man for, he was not capable of, he was not in a position to (with following subjunctive)"
. . . لم يكن لهم محيص من أن,"They couldn’t but, they had no other alternative but to..."
. . . لم يكن لِيَصعُبَ عليه أن,It wouldn’t have been difficult for him to...
لم يكن معرفة ً في قومه,He was unknown among his people
لم يكن يعرف موقع وقته ذاك من الليل,He did not know what time of the night it was at that moment
ًلم يلق لقولي باال,He didn’t pay any attention to what I said!
لم يمض غير قليل حتى,"It did not take long until, before long"
. . . لم يملك أن,"He could not refrain from, he couldn’t help it, he had to..."
(لم ينشب )ما نشب,Not to hesitate
لم ينعقد له زهر وال ثمر,"To remain without blossom and fruit, be without any effect and consequence"
لم ينفك,"Keep doing, not to stop doing"
لما,Why? Wherefore? For what reason?
لما,Why? For what reason?
لماذا؟,Why (on earth)?
. . . لمجرّد أن,For the simple reason that...
. . . لمجرّدِ أن,For the simple reason that...
لمح البصر,Glance of an eye
لمحض صالحها,"Solely in her own interest, only for her own good"
لمس الحقائق,"To take things as they are, face the facts"
لمصلحة فالن,"In someone’s favour, for the benefit of someone, to someone’s advantage"
ل َ مَعَ بسيفه,To brandish the sword
ل َ مَعَ بيده,To wave one’s hand
ل َ مَعَ في رأسه خاطر,A though flashed through his mind
(ل َ مل َ م )ه,"To gather, gather up something"
لندن بأكملها,All London
له إصبَعٌ في هذا األمر,He has a hand in this matter
له الحق في,He is entitled to
له القدح المعل ّ ى في,"To be the principal agent in, have a major impact on, exert decisive influence on, be of crucial importance"
له اليد الطولى في,"To be in powerful in, have decisive influence on"
. . . له أن,"He has a right to, he is entitled to, he may, he can, it is possible for him to..."
له بصرٌ بِـ,"He is knowledgeable in, he is familiar with"
له شأن في ذلك,"He has something to do with this, he has a hand in this"
له عند الناس يد,"He has great influence on other people, he can accomplish a great deal with other people"
له عندي يد,I am obliged to him for a favour
له غناء عنه,He does not need it
له مساس بِـ,"It is connected with, it touches upon, it concerns"
له يد بيضاء في,"To be versed, skilled, experienced in, to have the upper hand in"
له يد في,He has a hand in
ل ُ هاث الموت,"Death rattle, agony of death"
ل َ هِجَ بالثناء عليه,To extol someone fervently
ل َ هِجَ بالضراعة,To resort to humble pleas
ل َ هِجَ بذكره,"To speak constantly of someone, mention someone’s name continually with praise"
ل َ هِجَ بشكره,To launch forth into profuse thanks or praises
لهذا,"Therefore, hence, that is why, for that reason"
لهذا,"Therefore, for this reason"
لهذا الوقت,At this time
لهذه المناسبة,"Due to these circumstances, consequently, hence"
اللهم,O God! (‘Dear Lord’ invocations)
اللهم إذا,If only
اللهم إال,"Unless, were it not that, or at best"
ُاللهم إني بلَغت,"In any case, I have fulfilled my task, done or said everything I could"
لهم جباه ناصعة,They have a clean slate
اللهم نعم,"By God, yes! Most certainly!"
لهنا,"Here, over here, to this place, up to this point, so far,"
(َلو )فعلت,If only...! would that...! I wish...!
لو أن,If (introducing nominal clauses)
لو كنت تفعل هذا لكان انفع,"If you did this, it would be more useful (as a correlative of law)"
لو كنت مكانَك,"If I were in your place, if I were you"
لو يعلم,I wish he knew! If he only knew!
(لواعج )المحبة,"Ardent love, ardour (of love)"
ل ُ وثة في,"Passion, weakness for"
لوجه هللا,"For the sake of God, for nothing (in return)"
لوح ا َ ردُوَاز,Slab of slate
لوح الجليد,Block of ice
لوّح بيديه,To wave with the hands
لوحة اإلسم,"Name plate, doorplate"
لوحة التوزيع,Switchboard
لوحة الشطرنج,Chessboard
لوحة الكتابة,"Slate, blackboard, writing tablet"
لوحة زيتية,Oil painting
لوال,If not
لوال تاب ل َ هَل َ ك,"If he had not repented, he would have perished (as a correlative of law)"
لوالنا,If it weren’t (hadn’t been) for us
َلوى فيه اللسان,"To speak ill of someone, backbite someone"
لي عليه مال,He owes me money
لي قِبَله دين,"He owes be a debt, he is indebted to me"
لي كلمة معك,I’ve got to talk to you
لي معه شأن آخر,I still have a bone to pick with him
لي ملء الحرية في,"I have complete freedom to, I am at complete liberty to"
ليت شِعري,I wish I knew...! Would that I knew...!
لِيَتَبَيَّنَ مبلغَ قولِي من الجد,In order to find out to what extent my words were meant seriously
ليتني مت ألجلك,Would God I had died for you!
ليته كان هنا,I wish he were here! If only he were here!
لِيَحْيَى الملك,Long live the king!
ليس أحسن منها حظا,He is no better off than she is
ليس إال,"Only, no more, and nothing less"
ليس بِـ,To be unable to (+ participle)
. . . ليس بالفضول أن,It is not superfluous that...
ليس بشيء,"It is nothing, it is of no consequence"
ليس بي أن,It is not my intention to...
َلَيْسَ ثَمَّة,There isn’t
ليس ذلك بنوال,"That’s improper, that isn’t right"
ليس سوى,"nothing but, only, merely"
ليس على شيء من الحقيقة,There is not a grain of truth in it
ليس عليَّ في ذلك سبيل,"There is nothing to keep me from doing that, I am free to do that, it is no sin if I do that"
ليس عليه بأس من,He will be none the worse for
ليس عليه معوَّل,"He (it) is not reliable, one cannot rely on him (it)"
ُليس غير,"And that’s all, no more, only"
ليس فقط بل,Not only – but also
ليس في اإلمكان,"It is impossible, unthinkable, inconceivable"
ليس في حال من األحوال,"By no means, in no way"
ليس في وُسعِهِ إال,"He has no other possibility but, he cannot but"
ليس لِـ,"Not to have, not to possess"
. . . ليس لدينا غير ما,We know no more than what...
ليس لنا شيء,We don’t have anything
ليس لنا منه مفيض,"We cannot help doing it, we cannot but do it"
. . . ليس له أن,"He has no right to, he mustn’t..."
ليس له حقيقة,"It does not really exist, it is not real"
ليس له قدم في,"He has no part in, he is not involved in"
ليس له مثيل,"Unequalled, one of a kind"
ليس له نظير,"Unequalled, one of a kind"
ليس لها حظ من عقل,She has no brains at all
. . . ليس لي أن,"I have no right to, it does not behove me to..."
ليس لي شأن في ذلك,"I shall have nothing to do with that, that is none of my business, I shan’t meddle in that"
ليس مع الحكومة,He doesn’t side with the government
. . . ليس من المنطق أن,It is illogical to...
. . . ليس من شأنه أن,"It is not his affair or business to, it is inappropriate for him to, it does not tend to, is not conducive to..."
. . . ليس من منازع في,No one will deny that...
ليس من هذا األمر في قبيل وال دبير,"He is not in the least involved in this affair, he has absolutely nothing to do with this affair"
ليس من هذا كله على شيء,"All this is unfamiliar to him, he doesn’t understand a thing about it"
. . . ليس من,"Not belong to, have nothing to do with..."
ليس منه ال بقليل وال بكثير,To have absolutely nothing to do with something
ليس هذا على شيء,"There is nothing in it, it’s worthless"
ليس هذا في شيء من ذلك,This has absolutely nothing to do with that
ليس هذا من باب الصُّدْفة,That’s no coincidence
ليس هناك ال خَيْلَ وال خيّالة,"All is desolate and empty, there is nothing here"
(. . . لِيَسق ُ ط . . . )فليسقط,Down with...!
لِيَعِش الملك,Long live the king!
لِيكت ُ ب,"(expressing an order, an invitation) He shall write, let him write (with preceding"
ليكن في علمه,"Be it known to him, may he know, for his information"
َليلَ نهار,Day and night
ًليال,At night
لِئَال,In order not to
الليلة,Tonight
ليلة االفتتاح,"Premiere, opening night"
ليلة الدخلة,Wedding night
ليلة القدر,Twenty-seventh of Ramadan
ليلة أمس,"Last night, yesterday evening"
ليلة خيرية,Charity night
ليلة زاهرة,Evening party
ليلة ليالء,Dark night
ٍليلتئذ,"(In) that night, (on) that evening"
لين األعطاف,"Tractable, docile, pliant"
ليّن الجانب,"Gentle, compliant"
