Idiom,Meaning
우황 든 소 같다,가슴속의 분을 이기지 못하여 어쩔 줄 모르고 괴로워함을 비유적으로 이르는 말. 
우황 든 소 앓듯,"벙어리가 안타까운 마음을 하소연할 길이 없어 속만 썩이듯 한다는 뜻으로, 답답한 사정이 있어도 남에게 말하지 못하고 혼자만 괴로워하며 걱정하는 경우를 비유적으로 이르는 말. "
운달다,앞선 말을 강조하거나 긍정한다는 의미로 말을 덧붙이다. 
운떼다,어떤 이야기를 하기 위하여 말을 하기 시작하다. 
운밟다,「1」남이 지은 한시에 화답하거나 그 운자를 따라 한시를 짓다. 「2」남의 행동을 따라서 그와 같거나 비슷한 행동을 하다. 
운수가 사나우면 짖던 개도 안 짖는다,운수가 나쁘면 모든 것이 제대로 되지 않음을 비유적으로 이르는 말. 
운자떼다,어떤 이야기를 하기 위하여 말을 하기 시작하다. 
운전대놓다,자동차 따위의 운전을 아니 하다. 
운전대잡다,자동차 따위의 운전을 하다. 
울고 가다,도저히 감당할 수 없다고 느끼고 몹시 한탄하며 물러서다. 
울고 먹는 씨아라,"씨아가 울음소리 같은 소리를 내면서 솜을 먹으며 목화씨를 골라낸다는 뜻으로, 징징거리면서도 하라는 일을 어쩔 수 없이 다 함을 비유적으로 이르는 말. "
울고 싶자 때린다,무슨 일을 하고 싶으나 마땅한 구실이 없어 못하다가 때마침 좋은 핑계가 생김을 비유적으로 이르는 말. 
울려는 아이 뺨 치기,"아이가 울려고 할 때 잘 달래지는 않고 뺨을 치면 울음은 크게 터진다는 뜻으로, 일이 좀 틀어져 가려고 할 때 오히려 더 충동하여 더욱 큰 분란을 일으키게 됨을 비유적으로 이르는 말. "
울려서 아이 뺨 치기,아무렇지도 않은 일을 공연히 건드려서 걱정을 일으킨 경우를 비유적으로 이르는 말. 
울력걸음에 봉충다리,"여러 사람이 함께 걷는 경우에 절름발이도 덩달아 걸을 수 있다는 뜻으로, 여럿이 공동으로 하는 바람에 평소에 못하던 사람도 할 수 있게 됨을 비유적으로 이르는 말. "
울며 겨자 먹기,"맵다고 울면서도 겨자를 먹는다는 뜻으로, 싫은 일을 억지로 마지못하여 함을 비유적으로 이르는 말. "
울바자가 헐어지니 이웃집 개가 드나든다,자신에게 약점이 있으니까 남이 그것을 알고 업신여김을 비유적으로 이르는 말. 
울 수 없으니까 웃는다,"울어야 하는 상황에서 너무나 어이가 없어 울 수 없으니까 마지못하여 웃는다는 뜻으로, 너무나 놀랍게 낭패를 보아서 어이없어함을 이르는 말. "
울음에 젖다,(비유적으로) 울면서 말하다. 
울음을 삼키다[깨물다],울음을 억지로 참다. 
울음 큰 새라,"울음만 컸지 볼품없는 새라는 뜻으로, 명성은 자자하나 실제로는 보잘것없음을 비유적으로 이르는 말. "
울이 세다,일가나 친척이 많다. 
울지 않는 아이 젖 주랴,무슨 일에 있어서나 자기가 요구하여야 쉽게 구할 수 있음을 이르는 말. 
울타리가 허니까 이웃집 개가 드나든다,자신에게 약점이 있으니까 남이 그것을 알고 업신여김을 비유적으로 이르는 말. 
울타리를 벗어나다,비교적 좁고 제한된 생활 범위에서 나오다. 
울타리 밖을 모르다,일정한 범위 안에만 머물러 세상 물정을 전혀 모름을 비유적으로 이르는 말. 
움묻다,움을 만들다. 
움도 싹도 없다,「1」장래성이라고는 도무지 없음을 이르는 말. 「2」사람이나 물건이 감쪽같이 없어져 그 간 곳을 아주 모르겠다는 말. 
움막의 단 장,가난한 집의 음식이 맛있을 때 이르는 말. 
움 안에 간장,외양은 좋지 않으나 내용은 훌륭함을 이르는 말. 
움 안에서 떡 받는다,자기가 구하지도 않았는데 뜻밖에 좋은 물건이 자기 손에 들어옴을 이르는 말. 
움을 지르다,자라기 시작하는 세력이나 힘 따위를 꺾어 버리다. 
움이 질리다,자라기 시작하는 힘이나 세력 따위가 꺾이다. 
웃고 사람[뺨] 친다,겉으로는 좋은 체하면서 실제로는 해롭게 하는 경우를 비유적으로 이르는 말. 
웃기는 선떡을 먹고 취했나,"선떡을 먹고 취해서 자주 웃느냐는 뜻으로, 싱겁게 웃기 잘하는 사람을 놀림조로 이르는 말. "
웃날이 들다,흐렸던 날씨가 개다. 
웃느라 한 말에 초상난다,"농담으로 한 말이 듣는 사람에게 치명적인 영향을 주어 마침내는 죽게 한다는 뜻으로, 말을 매우 조심스럽게 해야 한다는 말. "
웃는 낯에 침 못 뱉는다,"웃는 낯으로 대하는 사람에게 침을 뱉을 수 없다는 뜻으로, 좋게 대하는 사람에게 나쁘게 대할 수 없다는 말. "
웃는 낯에 침 뱉으랴,"웃는 낯으로 대하는 사람에게 침을 뱉을 수 없다는 뜻으로, 좋게 대하는 사람에게 나쁘게 대할 수 없다는 말. "
웃는 집에 복이 있다,집안이 화목하여 늘 웃음꽃이 피는 집에는 행복이 찾아들게 된다는 말. 
웃어른 모시고 술을 배워야 점잖은 술을 배운다,술은 윗사람 앞에서 배워야 예절 바르게 마시는 좋은 술버릇을 붙이게 됨을 이르는 말. 
웃으며 뺨 치듯,겉으로는 좋은 체하면서 실제로는 해롭게 하는 경우를 비유적으로 이르는 말. 
웃음 끝에 눈물,"처음에는 재미나게 잘 지내다가도 나중에는 슬픈 일, 괴로운 일이 생기는 것이 세상사임을 비유적으로 이르는 말. "
웃음 속에 칼이 있다,겉으로는 좋은 체하면서 실제로는 해롭게 하는 경우를 비유적으로 이르는 말. 
웃음을 사다,남들에게 비웃음과 놀림을 받다. 
웃음을 팔다,여자가 화류계 생활을 하다. 
웃짐을 치다,「1」마소에다 웃짐을 싣다. 「2」본래의 것에 덧붙이다. 
원보고 송사(도) 본다,"뽕 따러 나가니 누에 먹이를 장만할 뿐만 아니라 사랑하는 애인도 만나 정을 나눈다는 뜻으로, 두 가지 일을 동시에 이룸을 비유적으로 이르는 말. "
원경 늦은 경으로,그렇게 느직이. 
원 내고 좌수내고,한집안에서 훌륭한 인물이 많이 났을 때 이르는 말. 
원님과 급창이 흥정을 하여도 에누리가 있다,"대하기 어려운 사람과도 흥정을 하게 되면 에누리가 있다는 뜻으로, 흥정에는 반드시 에누리가 있게 됨을 비유적으로 이르는 말. "
원님과 급창이 흥정을 해도 에누리가 없다,"대하기 어려운 사람과 흥정을 할 때도 에누리가 없다는 뜻으로, 흥정은 상하의 구별이나 친분과 관계없음을 비유적으로 이르는 말. "
원님 덕에 나팔[나발] 분다,"사또와 동행한 덕분에 나팔 불고 요란히 맞아 주는 호화로운 대접을 받는다는 뜻으로, 남의 덕으로 당치도 아니한 행세를 하게 되거나 그런 대접을 받고 우쭐대는 모양을 비유적으로 이르는 말. "
원님도 보고 환자 탄다,"뽕 따러 나가니 누에 먹이를 장만할 뿐만 아니라 사랑하는 애인도 만나 정을 나눈다는 뜻으로, 두 가지 일을 동시에 이룸을 비유적으로 이르는 말. "
원님에게 물건을 팔아도 에누리가 있다,"대하기 어려운 사람과도 흥정을 하게 되면 에누리가 있다는 뜻으로, 흥정에는 반드시 에누리가 있게 됨을 비유적으로 이르는 말. "
원님은 책방에서 춘다,"수령의 비서(祕書) 사무(事務)를 하는 책방에서 그 원님이 훌륭하다고 추어올린다는 뜻으로, 사람의 진가를 드러내는 일은 그를 잘 알고 있는 자이어야 함을 이르는 말. "
원님이 심심하면 좌수 볼기를 친다,심심풀이로 만만한 사람을 건드리는 경우를 비유적으로 이르는 말. 
원두부치다,밭에 원두의 씨를 심다. 
원두한이 사촌을 모른다,"원두막에서 참외나 수박 따위를 파는 사람이 사촌이 와도 하나도 거저 주지 아니한다는 뜻으로, 물건을 팔아서 이익을 얻는 장사치는 아는 사람이라고 해서 거저 주거나 더 헐하게 주는 등 인심을 쓰는 법이 없음을 비유적으로 이르는 말. "
원두한이 쓴 외 보듯,"원두한이 팔 수 없는 쓴 오이를 본다는 뜻으로, 남을 멸시하거나 무시함을 이르는 말. "
원살이가 고공살이,"고을의 원이 되어 하는 노릇은 고용되어 품을 파는 사람의 생활이나 다를 바가 없다는 뜻으로, 벼슬하는 사람이 언제 밀려날지 몰라 걱정하며 불안한 생활을 함을 비유적으로 이르는 말. "
원수는 순로 풀라,원수를 원수로써 갚으면 다시 원한을 사게 되어 끝이 없으니 원수는 반드시 순리로 풀어야 후환이 없다는 말. 
원수는 외나무다리에서 만난다,「1」꺼리고 싫어하는 대상을 피할 수 없는 곳에서 공교롭게 만나게 됨을 비유적으로 이르는 말. 「2」남에게 악한 일을 하면 그 죄를 받을 때가 반드시 온다는 말. 
원숭이 달 잡기,"원숭이가 물에 비친 달을 잡으려다가 빠져 죽는다는 데서 유래한 말로, 사람이 제 분수에 맞지 아니하게 행동하다가 화를 당함을 비유적으로 이르는 말. "
원숭이도 나무에서 떨어진다,아무리 익숙하고 잘하는 사람이라도 간혹 실수할 때가 있음을 비유적으로 이르는 말. 
원숭이 똥구멍같이 말갛다,취할 것 하나도 없거나 몹시 보잘것없는 것을 비유적으로 이르는 말. 
원숭이 볼기짝인가,"선짓국을 먹고 발등걸이를 당한 것 같은 얼굴빛이라는 뜻으로, 술을 먹고 얼굴이 불그레해진 사람을 비유적으로 이르는 말. "
원숭이의 고기 재판하듯,"이솝 우화에서 고기를 똑같이 나눠 준다고 하면서 야금야금 자기가 베어 먹어 마침내 다 먹는 원숭이 이야기에서 나온 말로, 겉으로는 공정한 척하면서 실지로는 교활하게 남을 속이고 제 잇속을 차리는 모양을 비유적으로 이르는 말. "
원숭이 이 잡아먹듯,"「1」샅샅이 뒤지는 모양을 비유적으로 이르는 말. 「2」원숭이가 늘 이를 잡는 것 같지만 실제로는 잡는 것이 아닌 것처럼, 사람이 무슨 일을 하는 체하면서 실제로는 아무것도 하지 않는 경우를 비유적으로 이르는 말. "
원숭이 흉내[입내] 내듯,생각 없이 남 하는 대로 덩달아 따라 함을 비유적으로 이르는 말. 
원앙이 녹수 만났다,적합한 배필을 만남을 이르는 말. 
원을 만나거나 시주를 받거나,무슨 기적적인 도움이 있어야만 일이 해결될 것이라 할 때 이르는 말. 
원의 부인이 죽으면 조객이 많아도 원이 죽으면 조객이 없다,"원의 부인이 죽으면 원의 호감을 사기 위하여 조문을 하나 혜택을 주는 원이 죽으면 더 이상 조문하지 않는다는 뜻으로, 세상인심이 제게 이로운 쪽으로 움직임을 비유적으로 이르는 말. "
월천꾼에 난쟁이 빠지듯,"체격 조건이 적합하지 아니한 난쟁이는 월천꾼에 끼지 못한다는 뜻으로, 무엇을 하는 데 일정한 축에 못 들고 빠지게 되는 경우를 비유적으로 이르는 말. "
월천꾼처럼 다리부터 걷는다,어떤 일을 하려 함에 있어 너무 미리부터 서둘러 대는 모양을 조롱하여 이르는 말. 
웬 떡이냐,뜻밖의 행운이나 횡재를 만났을 때 이르는 말. 
웬 불똥이 튀어 박혔나,"어떤 좋지 못한 일을 당하였기에, 얼굴에 불똥이 튀어 박힌 때처럼 그토록 찡그린 얼굴을 하고 있느냐는 뜻으로 이르는 말. "
위로 진 물이 발등에 진다,"「1」머리 위에 떨어진 물이 발등에 떨어진다는 뜻으로, 좋지 못한 짓을 하는 사람은 그 조상도 그렇기 때문이라는 말. 「2」윗사람이 하는 일이 아랫사람에게 영향을 준다는 말. "
위에는 위가 있다,최상은 쉽게 말할 수 없음을 이르는 말. 
위 조금 아래 골고루,대접을 하는 경우에는 윗사람과 아랫사람을 골고루 하라는 말. 
윗돌도 못 믿고 아랫돌도 못 믿는다,이것도 저것도 다 믿을 수 없고 어찌하여야 할지 모름을 비유적으로 이르는 말. 
윗돌 빼서 아랫돌 괴고 아랫돌 빼서 윗돌 괴기,일이 몹시 급하여 임시변통으로 이리저리 둘러맞추어 일함을 비유적으로 이르는 말. 
윗물이 맑아야 아랫물이 맑다,윗사람이 잘하면 아랫사람도 따라서 잘하게 된다는 말. 
윗입술이 아랫입술에 닿느냐,상대편이 불손한 말을 했을 때에 화내어 이르는 말. 
유가[유도] 아니다,비교가 되지 아니할 정도로 높거나 심하다. 
유년내다,유년사주를 풀다. 
유리와 처녀는 깨어지기[깨기] 쉽다,"잘못하면 깨지기 쉬운 유리처럼, 처녀는 몸가짐에 조심하여야 한다는 말. "
유마잡다,군용으로 마소를 거두어 들이다. 
유명을 달리하다,‘죽다01’를 완곡하게 이르는 말. 
유복한 과수[과부]는 앉아도 요강 꼭지에 앉는다,운이 좋은 사람은 하는 일마다 운이 따른다는 말. 
유비가 한중믿듯,모든 일을 굳게 믿어 의심하지 아니함을 비유적으로 이르는 말. 
유비냐 울기도 잘한다,잘 우는 사람을 비유적으로 이르는 말. 
유세통 졌나,세력을 믿고 남에게 못되게 굶을 비유적으로 이르는 말. 
유월 장마에 돌도 큰다,6월에 장맛비가 올 때에는 농작물이 매우 잘 자란다는 말. 
유종의 미,어떤 일 따위의 끝을 잘 마무리하는 성과. 
육각잡히다,육각을 갖추어 음률을 아뢰다. 
육갑을 짚다,「1」나이를 가지고 태어난 해의 육갑을 헤아리다. 「2」생년월일을 가지고 길흉화복을 간단히 헤아리다. 
육모얼레에 연줄 감듯,"장사치가 솜씨 있게 통비단을 감듯 한다는 뜻으로, 무엇을 줄줄 익숙하게 잘 감음을 비유적으로 이르는 말. "
육장내다,(속되게) 초주검이 되게 몹시 때리다. 
육장 줄로 친 듯하다,한 번도 빼지 않고 늘 변함없음을 비유적으로 이르는 말. 
육칠월 늦장마에 물 퍼내어 버리듯,끝이 없고 한이 없는 모양을 비유적으로 이르는 말. 
윤달에 만난 회양목,"「1」회양목이 윤달이 되면 그 키가 한 치씩 준다는 전설에서, 키가 작은 사람을 놀림조로 이르는 말. 「2」일이 진행되는 정도가 더딤을 이르는 말. "
윤동짓달 스무 초하룻날 주겠다,윤달은 동짓달에는 좀처럼 들지 아니하므로 결국 꿔 준 돈을 떼어먹겠다는 말. 
윤섣달엔 앉은 방석도 안 돌려놓는다,윤섣달에는 무슨 일이든 하지 아니하는 것이 좋다는 말. 
윤이월 제사냐,자주 돌아오지 아니하는 윤이월 제사처럼 자꾸 빼먹고 거름을 핀잔하는 말. 
윷짝 가르듯,판단이 분명함을 비유적으로 이르는 말. 
으슥한 데 꿩알 낳는다,「1」뜻밖의 장소에서 좋은 것이 발견되었음을 이르는 말. 「2」평소에 얌전한 듯한 사람이 남 보지 않는 곳에서 이상한 행동을 하는 경우를 비유적으로 이르는 말. 
은 나라[나오라] 뚝딱 금 나라[나오라] 뚝딱,"도깨비들이 이런 말을 하면서 방망이를 치느라 떠들썩하다는 뜻으로, 시끄러운 상태를 이르는 말. "
은방울을 굴리는 듯하다,소리가 매우 아름답고 좋다. 
은에서 은 못 고른다,"은이 많지만 그 가운데서 마음에 꼭 맞는 은을 골라내지 못한다는 뜻으로, 많은 것 중에서 자기가 원하는 것을 찾기란 매우 어려움을 비유적으로 이르는 말. "
은진은 강경으로 꾸려 간다,"은진은 강경이 있기 때문에 버티어 나갈 수가 있다는 뜻으로, 남의 힘을 빌려서 겨우 버티고 견디어 나가는 경우를 이르는 말. "
은행나무도 마주 서야 연다,"「1」은행나무의 수나무와 암나무가 서로 바라보고 서야 열매가 열린다는 뜻으로, 사람이 마주 보고 대하여야 더 인연이 깊어짐을 이르는 말. 「2」남녀가 결합하여야 집안이 번영한다는 말. "
은혜를 원수로 갚는다,감사로써 은혜에 보답해야 할 자리에 도리어 해를 끼침을 이르는 말. 
을러방망이치다,때리려고 으르다. 
음식 같잖은 개떡수제비에 입천장덴다,변변치 아니하여 우습게 알고 대한 일에 뜻밖에 큰 손해를 입는 경우를 이르는 말. 
음식 구경을 못 하다,「1」맹물조차 전혀 입에 대지 못하고 완전히 굶다. 「2」음식이 완전히 동이 나서 아무것도 먹을 것이 없다. 또는 먹을 것이 매우 부족하다. 
음식 싫은 건 개나 주지 사람 싫은 건 할 수 있나,"먹기 싫은 음식은 안 먹어도 그만이지만 배우자는 누구에게 줄 수도 버릴 수도 없다는 뜻으로, 어쩔 수 없이 참고 살아감을 이르는 말. "
음식은 갈수록 줄고 말은 갈수록 는다,"먹을 것은 옮길수록 줄어들고 말은 할수록 더 보태게 된다는 뜻으로, 말을 삼가고 조심하여야 함을 이르는 말. "
음식은 한데 먹고 잠은 따로 자라,음식은 차별을 하지 말고 잠자리는 구별하라는 말. 
음으로 양으로,남이 알게 모르게 이런저런 방식으로. 
음지가 양지 되고 양지가 음지 된다,"운이 나쁜 사람도 좋은 수를 만날 수 있고 운이 좋은 사람도 늘 좋기만 하는 것이 아니라 어려운 시기가 있다는 말로, 세상사는 늘 돌고 돈다는 말. "
음지도 양지 될 때가 있다,운이 나쁜 사람도 좋은 일을 만날 수 있음을 이르는 말. 
음지의 개 팔자,하는 일 없이 놀고먹는 편한 팔자를 비유적으로 이르는 말. 
음해를 잡다,남을 음해할 꾀를 단단히 내다. 
읍에서 매 맞고 장거리에서 눈 흘긴다,욕을 당한 자리에서는 아무 말도 못 하고 뒤에 가서 불평함을 비유적으로 이르는 말. 
응달에도 햇빛 드는 날이 있다,"햇빛이 들지 아니하여 그늘진 곳도 해가 들어 양지가 될 수 있다는 뜻으로, 아무리 어려운 처지에 놓여 있더라도 끝까지 노력하면 성과를 거둘 수 있음을 비유적으로 이르는 말. "
응석으로 자란 자식,"부모가 응석을 받아 주기만 하면서 키운 자식이라는 뜻으로, 버릇없이 제 욕심만 내세우고 아무 데도 쓸모없는 사람을 비유적으로 이르는 말. "
응혈이 지다,마음속에 쓰라린 고통이 생기거나 있다. 
의가 나다,사이가 나빠지다. 
의가 좋으면 세 어이딸이 도토리 한 알을 먹어도 시장 멈춤은 한다,사이좋은 어머니와 두 딸처럼 서로 사이가 좋고 마음이 맞는 사람끼리는 어떤 힘든 상황 가운데서도 별 불평 없이 서로가 도우며 잘 지낸다는 말. 
의가 좋으면 처갓집 말뚝에도 절한다,아내가 좋으면 아내 주위의 보잘것없는 것까지 좋게 보인다는 말. 
의가 좋으면 천하도 반분한다,사이가 좋으면 무엇이나 나누어 가진다는 말. 
의논이 맞으면 부처도 앙군다,여러 사람의 뜻이 합쳐지고 마음이 맞으면 무슨 일이라도 해낼 수 있다는 말. 
의뭉하기는 노전 대사라,겉으로는 아주 어리석은 듯이 행동하면서도 속은 실속 있게 깐깐하거나 알면서도 모르는 체하는 사람을 비유적으로 이르는 말. 
의뭉하기는 음창벌레라,겉으로는 아주 어리석은 듯이 행동하면서도 속은 실속 있게 깐깐하거나 알면서도 모르는 체하는 사람을 비유적으로 이르는 말. 
의뭉한 두꺼비 옛말 한다,의뭉한 사람이 남의 말이나 옛말을 끌어다가 자기가 하고 싶은 말을 함을 이르는 말. 
의복이 날개,옷을 잘 입으면 누구나 돋보인다는 말. 
의붓아비 돼지고기 써는 데는 가도 친아비 나무 패는 데는 가지 마라,의붓아비가 아무리 저를 미워하더라도 떡을 치는 데 가면 혹 떡 하나 줄지 모르지만 친아비가 아무리 사랑하더라도 도끼질하는 데서는 잘못하여 다칠 수도 있으니 자신에게 조금이라도 해가 미칠 듯한 곳에는 가지 말라는 말. 
의붓아비 떡 치는 데는 가도 친아비 도끼질하는 데는 안 간다,의붓아비가 아무리 저를 미워하더라도 떡을 치는 데 가면 혹 떡 하나 줄지 모르지만 친아비가 아무리 사랑하더라도 도끼질하는 데서는 잘못하여 다칠 수도 있으니 자신에게 조금이라도 해가 미칠 듯한 곳에는 가지 말라는 말. 
의붓아비 묘의 벌초,일에 정성을 들이지 아니하고 마지못하여 건성으로 함을 비유적으로 이르는 말. 
의붓아비 소 팔러 보낸 것 같다,심부름하러 가서 오래도록 돌아오지 않음을 비유적으로 이르는 말. 
의붓아비 아비라 하랴,아무리 어렵고 궁하더라도 의리에 닿지 않는 일은 할 수 없다는 말. 
의붓아비 제삿날 물리듯,마음에 없는 일을 차일피일 뒤로 미룸을 비유적으로 이르는 말. 
의붓어미가 티를 내는 것이 아니라 의붓자식이 티를 낸다,계모가 계모 티를 내며 의붓자식을 멀리하고 학대하는 것이 아니라 의붓자식이 계모를 멀리하는 것이라는 말. 
의붓어미 눈치 보듯,대하기 어려운 사람이나 무서운 사람의 눈치를 살핌을 비유적으로 이르는 말. 
의붓자식 다루듯,남의 것처럼 하찮게 다루거나 차별 대우를 한다는 말. 
의붓자식 소 팔러 보낸 것 같다,도무지 믿음성이 없어 마음이 안 놓임을 비유적으로 이르는 말. 
의붓자식 옷 해 준 셈,해 주어서 별 보람 없고 보답받지 못할 일을 남을 위하여 함을 비유적으로 이르는 말. 
의사가 제 병 못 고친다,자기가 자신에 관한 일을 좋게 해결하기는 어려운 일이어서 남의 손을 빌려야만 이루기 쉬움을 비유적으로 이르는 말. 
의사와 변호사는 나라에서 내놓은 도둑놈이라,국가의 허가를 얻어 개업하고 있는 의사와 변호사 중에 보수를 무리하게 많이 요구하는 사람이 있음을 비꼬는 말. 
의식이 풍족한 다음에야 예절을 차리게 된다,"살림이 넉넉하여야 예절을 차릴 수 있다는 뜻으로, 먹고 입는 문제가 중요하다는 말. "
의심이 병,쓸데없이 지나친 의심을 하면서 속을 태움을 이르는 말. 
의젓잖은 며느리가 사흘 만에 고추장 세 바탱이 먹는다,못난 자가 미운 짓만 하느라고 사람을 놀라게 하는 경우를 비유적으로 이르는 말. 
의주를 가려면서 신날도 안 꼬았다,큰일을 하려고 하면서도 조금도 준비가 되어 있지 않음을 비유적으로 이르는 말. 
의주 파발도 똥 눌 때[새]가 있다,아무리 급한 일이 있어도 잠시 틈을 낼 수 있음을 비유적으로 이르는 말. 
의주 파천도 곱똥은 누고 간다,"「1」임금이 난을 피하여 의주로 피난을 가는 다급한 정황에도 이질(痢疾)이 걸리면 곱똥은 누고 가지 않을 수 없다는 뜻으로, 아무리 급한 일이 있어도 그보다 먼저 할 일은 하여야 함을 비유적으로 이르는 말. 「2」아무리 급한 일이 있어도 잠시 틈을 낼 수 있음을 비유적으로 이르는 말. "
이갈리다,몹시 화가 나거나 분을 참지 못하여 독한 마음이 생기다. 
이떨리다,참을 수 없이 몹시 분하거나 지긋지긋하다. 
이빠지다,「1」그릇의 가장자리나 칼날의 일부분이 떨어져 나가다. 「2」갖추어져야 할 것 가운데서 어떤 부분이 빠져서 온전하지 못하다. 
이갈다[갈아 마시다],몹시 화가 나거나 분을 참지 못하여 독한 마음을 먹고 벼르다. 
이떨다,몹시 분해하거나 지긋지긋해하다. 
이가 자식보다 낫다,"이가 있으면 먹고 살아갈 수 있으며 때로는 맛있는 음식도 먹게 된다는 뜻으로, 이의 중요성을 이르는 말. "
이가 칼을 쓰겠다,이가 기어다니다가 모가지가 끼어 마치 옛날 죄인이 칼을 쓴 모양이 될 정도로 옷감이 매우 성기다는 말. 
이것은 다방골 잠이냐,"옛날 서울의 다동(茶洞)에는 부자가 많이 살고 있었는데 일 없이 잠을 즐기어 아침에 늦도록 일어나지 않았다는 데서, 늦잠 자는 것을 비꼬는 말. "
이것은 재관 풍류냐,"한 재상이 자신의 수연(壽宴)에 임금이 내린 어악(御樂)을 굳이 사양하고 받지 아니하여 하루에 아홉 번의 왕래가 있었다는 데서, 사람이 자주 왕래함을 이르는 말. "
이것은 형조 패두의 버릇이냐,옛날 형조에서 볼기 치는 일을 맡았던 패두의 버릇처럼 경거망동으로 사람을 마구 때림을 꾸짖는 말. 
이고 지고 가도 제 복 없으면 못산다,"친정이 가난하여 입은 옷과 머리빗밖에는 가지고 간 것이 없지만 잘살려면 얼마든지 행복하게 잘산다는 뜻으로, 예장(禮裝)을 많이 하여야 잘사는 것은 아니라는 말. "
이 골 원을 하다가 저 골에 [가서] 좌수 노릇도 한다,낯선 고장에 가면 낮은 지위도 감수해야 할 경우가 있음을 비유적으로 이르는 말. 
이 굿에는 춤추기 어렵다,어떤 일을 주관하는 사람이 많아 누구의 말을 따라야 할지 알 수 없음을 비유적으로 이르는 말. 
이기는 것이 지는 것,서로 싸우면 한이 없고 또 끝까지 버틴들 좋지 못한 일만 생기니 빨리 지는 척하고 그만두는 것이 좋다는 말. 
이기면 충신지면 역적(이라),강한 것이 정의(正義)가 된다는 말. 
이날 이때까지,오늘에 이르기까지. 
이날 저 날 한다,일의 결정을 자꾸 미룬다. 
이날 춤추기 어렵다,어떤 일을 주관하는 사람이 많아 누구의 말을 따라야 할지 알 수 없음을 비유적으로 이르는 말. 
이놈의 장기 흉년에 배웠나,흉년에 굶어서 닥치는 대로 먹으려 하는 것처럼 덥석덥석 잡아 먹기 잘하는 장기 수를 비유적으로 이르는 말. 
이 덕 저 덕이 다 하늘 덕,사람이 살아가는 모든 것은 하늘의 덕택이라는 말. 
이도 아니 나서 콩밥을 씹는다,아직 준비가 안 되고 능력도 없으면서 또는 절차를 넘어서 어려운 일을 하려고 달려듦을 비유적으로 이르는 말. 
이도 아니 나서 황밤을 먹는다,아직 준비가 안 되고 능력도 없으면서 또는 절차를 넘어서 어려운 일을 하려고 달려듦을 비유적으로 이르는 말. 
이도 안 나다,어떤 일을 감당하기에는 수준이나 준비 정도가 적당하지 않다. 
이도 안 난 것이 뼈다귀 추렴하겠단다[추렴한다],아직 준비가 안 되고 능력도 없으면서 또는 절차를 넘어서 어려운 일을 하려고 달려듦을 비유적으로 이르는 말. 
이도 안 들어가다,어떤 말이나 행동을 하여도 도무지 반응이 없거나 받아들이지 않다. 
이 떡 먹고 말 말아라,뇌물을 주고 비밀을 발설하지 말라는 말. 
이랑이 고랑 되고 고랑이 이랑 된다,「1」잘살던 사람이 못살게도 되고 못살던 사람이 잘살게도 됨을 비유적으로 이르는 말. 「2」무엇이나 고정불변하지 않고 변하게 됨을 비유적으로 이르는 말. 
이래도 일생 저래도 일생,「1」사람이 잘살거나 못살거나 한평생 사는 것은 마찬가지라는 말. 「2」어떻게 살든 한평생 사는 것은 마찬가지니 둥글둥글 원만하게 살자는 말. 
이래도 한세상 저래도 한세상,「1」사람이 잘살거나 못살거나 한평생 사는 것은 마찬가지라는 말. 「2」어떻게 살든 한평생 사는 것은 마찬가지니 둥글둥글 원만하게 살자는 말. 
이렇게 대접할 손님이 있고 저렇게 대접할 손님이 따로 있다,사람을 상대할 때 존비 혹은 친소 따위의 차이를 두게 된다는 말. 
이렇다 저렇다 말이 없다,어떤 일에 대하여 이러하다거나 저러하다거나 하는 의사 표시를 하지 아니하다. 
이렇다 저렇다 말이 없이,어떤 일에 대하여 이러하다거나 저러하다거나 하는 의사 표시 없이. 
이레 안에 경풍 죽으나 여든에 상한병(傷寒病)에 죽으나 죽기는 일반이라,「1」어떻게 죽든지 죽는다는 사실과 죽은 결과는 같다는 말. 「2」이유는 다르지만 결과는 같으니 동일하게 취급해야 함을 이르는 말. 
이레 안에 백구친다,"태어나서 이레도 되기 전에 백구 타령을 친다는 뜻으로, 놀랍게 조숙한 경우를 비유적으로 이르는 말. "
이른 새끼가 살 안 찐다,"「1」알에서 일찍 깬 새끼가 살이 안 찌고 크게 자라지 못한다는 뜻으로, 사람이 어려서 나이 든 체하며 너무 일되면 도리어 훌륭하게 되지 못함을 이르는 말. 「2」무슨 일이 처음에 쉽게 잘되면 도리어 좋지 아니함을 이르는 말. "
이를 데[것] 없다,「1」정도가 굉장하여 이루 다 말할 수 없다. 「2」생각 따위가 아주 옳거나 마땅하여 더 말할 필요가 없다. 
이를 데[것] 없이,「1」정도가 굉장하여 이루 다 말할 수 없이. 「2」생각 따위가 아주 옳거나 마땅하여 더 말할 필요가 없이. 
이를 악물다[깨물다/물다/사리물다],「1」힘에 겨운 곤란이나 난관을 헤쳐 나가려고 비상한 결심을 하다. 「2」매우 어렵거나 힘든 상황을 애써 견디거나 꾹 참다. 
이름없다,세상에 그 이름이 널리 알려져 있지 않다. 
이름있다,세상에 그 이름이 널리 알려져 있다. 
이름난 잔치 배고프다,떠들썩한 소문이나 큰 기대에 비하여 실속이 없거나 소문이 실제와 일치하지 아니하는 경우를 비유적으로 이르는 말. 
이름도 성도 모른다,전혀 모르는 사람임을 강조하여 이르는 말. 
